$$$Vapor-Liquid Equilibrium Data Set 25583
No.	Formula	Molar Mass	CAS Registry Number	Name
1	ClK	74.551	7447-40-7	Potassium chloride
2	H2O	18.015	7732-18-5	Water
P [kPa]	T [K]	x1 [mol/mol]	y1 [mol/mol]
5374.038	543.15	0.02615	1.25659993522E-9
6217.409	553.15	0.02615	2.89980004453E-8
7139.239	563.15	0.02615	7.97429944299E-9
8178.741	573.15	0.02615	1.90900006913E-8
9404.573	583.15	0.02615	5.07459994026E-8
10738.277	593.15	0.02615	1.32910003003E-7
12189.664	603.15	0.02615	3.38310002235E-7
13768.468	613.15	0.02615	8.69929976943E-7
15386.601	623.15	0.02615	3.86640022043E-6
17171.388	633.15	0.02615	1.2808000065E-5
19172.023	643.15	0.02615	4.10849970649E-5
21398.107	653.15	0.02615	9.66879961197E-5
23781.111	663.15	0.02615	0.000258769985521
26428.893	673.15	0.02615	0.000651360023767
28733.504	683.15	0.02615	0.001651700004
32116.825	693.15	0.02615	0.003296
38167.528	703.15	0.02615	0.005907
38677.352	713.15	0.02615	0.00966
Source
Khaibullin I.K.; Borisov N.M.: Experimental Investigation of the Thermal Properties of Aqueous and Vapor Solutions of Sodium and Potassium Chlorides at Phase Equilibrium. High Temp. 4 (1966) 489-494
Source
Khaibullin I.K.; Borisov N.M.: Experimental Investigation of the Thermal Properties of Aqueous and Vapor Solutions of Sodium and Potassium Chlorides at Phase Equilibrium. High Temp. 4 (1966) 489-494
