$$$Vapor-Liquid Equilibrium Data Set 1801	
No.	Formula	Molar Mass	CAS Registry Number	Name	
330.95	0.47400	0.38400	0.58100	0.35400	
330.25	0.47100	0.45700	0.56900	0.39800	
332.05	0.63800	0.07500	0.73900	0.09700	
331.25	0.62200	0.15800	0.70800	0.18200	
330.35	0.61900	0.23100	0.68100	0.24600	
329.75	0.63500	0.26600	0.69300	0.26300	
330.35	0.76800	0.08200	0.81500	0.10300	
329.25	0.76700	0.16600	0.76500	0.18300	
329.15	0.89900	0.06800	0.89300	0.08000	
Source	
Amer H.H.; Paxton R.R.; van Winkle M.: Vapor-liquid equilibria. Ind.Eng.Chem. 48 (1956) 142-146	
$$$Vapor-Liquid Equilibrium Data Set 9017	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C2H6O	46.069	64-17-5	Ethanol	
3	C3H6O	58.080	67-64-1	Acetone	
Pressure	101.33	kPa	
T [K]	x1 [mol/mol]	x2 [mol/mol]	
348.25	0.07000	0.89100	
347.35	0.13900	0.82300	
346.35	0.20500	0.75800	
345.25	0.26700	0.69600	
344.45	0.32700	0.63700	
343.75	0.38500	0.58000	
343.05	0.44100	0.52500	
342.35	0.49500	0.47100	
341.75	0.54500	0.42100	
341.15	0.59500	0.37200	
340.55	0.64300	0.32500	
339.95	0.68900	0.28000	
339.45	0.73400	0.23500	
338.95	0.77700	0.19300	
338.45	0.81800	0.15200	
337.85	0.85800	0.11200	
337.55	0.89800	0.07300	
337.25	0.93500	0.03600	
344.35	0.07300	0.80800	
343.45	0.14200	0.74100	
342.75	0.20900	0.67700	
342.15	0.27300	0.61500	
341.35	0.33400	0.55600	
340.65	0.39200	0.50000	
340.05	0.44900	0.44600	
339.35	0.50300	0.39300	
338.55	0.55600	0.34300	
338.15	0.60600	0.29500	
337.65	0.65400	0.24800	
337.15	0.70100	0.20300	
336.65	0.74600	0.16000	
336.15	0.79000	0.11800	
335.75	0.83200	0.07700	
335.35	0.87200	0.03800	
341.25	0.07400	0.72200	
340.45	0.14500	0.65600	
339.85	0.21300	0.59200	
339.15	0.27800	0.53100	
338.55	0.34000	0.47300	
337.75	0.40000	0.41700	
337.25	0.45800	0.36300	
336.65	0.51300	0.31100	
336.05	0.56600	0.26200	
335.55	0.61600	0.21400	
335.15	0.66600	0.16800	
334.75	0.71300	0.12400	
334.25	0.75900	0.08100	
333.85	0.80300	0.04000	
338.65	0.07600	0.63300	
337.95	0.14800	0.56600	
337.15	0.21700	0.50400	
336.55	0.28400	0.44300	
335.95	0.34700	0.38600	
335.35	0.40800	0.33000	
334.75	0.46600	0.27800	
334.25	0.52200	0.22700	
333.75	0.57600	0.17800	
333.35	0.62700	0.13100	
332.95	0.67800	0.08600	
332.55	0.72600	0.04200	
336.35	0.07700	0.53900	
335.75	0.15200	0.47400	
335.05	0.22200	0.41100	
334.35	0.29000	0.35200	
333.75	0.35400	0.29600	
333.15	0.41600	0.24100	
332.65	0.47500	0.18900	
332.25	0.53200	0.13900	
331.85	0.58700	0.09000	
331.35	0.63900	0.04400	
334.65	0.07900	0.44100	
333.85	0.15500	0.37700	
333.05	0.22700	0.31600	
332.55	0.29600	0.25700	
331.85	0.36200	0.20100	
331.35	0.42500	0.14800	
330.85	0.48500	0.09600	
330.45	0.54300	0.04700	
332.75	0.08100	0.33900	
332.15	0.15800	0.27600	
331.35	0.23200	0.21500	
330.75	0.30300	0.15700	
330.25	0.36900	0.10300	
329.75	0.43400	0.05000	
331.25	0.08300	0.23100	
330.55	0.16200	0.16900	
329.85	0.23800	0.11000	
329.15	0.30900	0.05400	
329.95	0.08500	0.11800	
329.15	0.16600	0.05800	
329.55	0.08700	0.06100	
Source	
Amer H.H.; Paxton R.R.; van Winkle M.: Ternary Methanol-Ethanol Acetone and Three Related Binary Solutions. Anal.Chem. 25 (1953) 1204-1206	
Source	
