Formula	Molar Mass	CAS Registry Number	Name	
C6H14	86.177	110-54-3	Hexane	
$$$Boiling Point	
T [K]	P [kPa]	State	Reference	
341.85	101.325	Vapor-Liquid	1	
Number	Source	
1	Suresh Reddy K.V.N.; Sankara Reddy G.; Krishnaiah A.: Excess Volumes, Densities, Speeds of Sound and Viscosities for the Binary Systems of Diisopropyl Ether with Hydrocarbons at 303.15 K. Thermochim.Acta 440 (2006) 43-50	
$$$Compressibility (isentropic)	
T [K]	Compressibility (isentropic) [/kPa]	State	Reference	
298.15	1.31460001285E-006	Liquid	5	
298.15	1.31499996314E-006	Liquid	2	
298.15	1.31668002723E-006	Liquid	6	
298.15	1.31761999E-006	Liquid	4	
298.15	1.3176900211E-006	Liquid	1	
298.15	1.31781996515E-006	Liquid	3	
Number	Source	
1	Junquera E.; Tardajos G.; Aicart E.: n-hexane or n-heptane or n-octane or n-decane) at 298.15 K. J.Chem.Thermodyn. 20 (1988) 1461-1467	
2	de Cominges B.E.; Iglesias T.P.; Pineiro M.M.; Legido J.L.; Paz Andrade M.I.: Refractive Indices and Speeds of Sound of Binary Mixtures of n-Octane with 1-Alkanol at the Temperature 298.15 K. Phys.Chem.Liq. 37 (1999) 683-699	
3	Aicart E.; Kumaran M.K.; Halpin C.J.; Benson G.C.: Ultrasonic Speeds and Isentropic Compressibilities of 2-Methylpentan-1-ol with Hexane Isomers at 298.15 K. J.Chem.Thermodyn. 15 (1983) 1189-1197	
4	Aicart E.; Kumaran M.K.; Halpin C.J.; Benson G.C.: Ultrasonic speeds and isentropic compressibilities of n-heptane + each of the hexane isomers at 298.15 K.. J.Chem.Thermodyn. 15 (1983) 919-925	
5	Dominguez M.; Pardo J.; Santafe J.; Royo F.M.; Urieta J.S.: Densities, Speeds of Sound and Isentropic Compressibilities of Binary and Ternary Mixtures containing Benzene, Cyclohexane and Hexane at 298.15 K. Fluid Phase Equilib. 118 (1996) 227-240	
6	Tardajos G.; Diaz Pena M.; Aicart E.: Speed of sound in pure liquids by a pulse-echo-overlap method. J.Chem.Thermodyn. 18 (1986) 683-689	
$$$Compressibility (isothermal)	
T [K]	Compressibility (isothermal) [/kPa]	State	Reference	
293.20	1.64999994468E-006	Liquid	1	
298.15	1.67399991824E-006	Liquid	2	
303.20	1.77750007424E-006	Liquid	1	
313.20	1.92159996004E-006	Liquid	1	
318.15	2.03299987334E-006	Liquid	2	
Number	Source	
1	Technische Hochschule Carl Schorlemmer Leuna-Merseburg, Merseburg (GDR): Unpublished data. Unpublished Data  (1989) 1-360	
2	Bauder A.; Guenthard H.H.: Thermodynamic properties of formamide. (Ger). Helv.Chim.Acta 41 (1958) 670-673	
$$$Compressibility Factor (isothermal)	
T [K]	P [kPa]	Compressibility Factor (isothermal) [-]	State	Reference	
233.00		713.000	Liquid	4	
243.00		705.300	Liquid	4	
253.00		695.200	Liquid	4	
263.00		690.200	Liquid	4	
273.00		677.800	Liquid	4	
283.00		668.200	Liquid	4	
288.15		663.700	Liquid	2	
293.00		659.300	Liquid	4	
293.15		659.500	Liquid	2	
293.15		659.700	Liquid	3	
293.15	98.066	659.400	Liquid	6	
293.15	114247.000	731.600	Liquid	6	
293.15	159848.000	749.600	Liquid	6	
293.15	323619.000	797.200	Liquid	6	
293.15	407957.000	815.600	Liquid	6	
293.15	502591.000	834.100	Liquid	6	
293.15	504062.000	834.200	Liquid	6	
293.15	612916.000	852.800	Liquid	6	
293.15	757564.000	871.600	Liquid	6	
293.15	883579.000	890.600	Liquid	6	
298.15		654.800	Liquid	2	
298.15		655.800	Liquid	5	
303.00		650.900	Liquid	4	
303.15		650.000	Liquid	2	
303.15		650.700	Liquid	3	
308.15		645.200	Liquid	2	
308.15		645.500	Liquid	1	
313.00		640.900	Liquid	4	
313.15		642.000	Liquid	3	
323.00		631.900	Liquid	4	
333.00		621.900	Liquid	4	
Number	Source	
1	Levichev S.A.: Oberflächenspannung, Dichte und Exzessvolumina in binären und ternären Lösungen. Fiziko-chimiceskie Svojstva Rastvorov (J.80)  (1964) 219-226	
2	Rusanov A.I.; Levichev S.A.; Tyushin V.Ya.: Composition of the Surface Layer in the n-Hexane-Acetone System. Vestn.Leningr.Univ.  (1966) 121-127	
3	Lomova N.N.; Shakhparonov M.I.: Dielektrische Dürchlässigkeit und Molekularstruktur der Nitrobenzen-Lösungen im Hexan und Cyclohexan. Vestn.Mosk.Univ.Ser.2 Khim. 1 (1960) 11-17	
4	Mekhtiev S.I.; Mamedov A.A.; Khalilov Sh.Kh.; Aleskerov M.A.: Experimentelle Untersuchung des Einflusses von Octylmethacrylat auf  Viskosität und Dicht der Kohlenwasserstoffe. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1975) 64-100	
5	Park S.-J.; Han K.-J.; Choi M.-J.; Gmehling J.: Isothermal vapor-liquid equilibria and excess molar volumes for the ternary mixtures containing 2-methyl pyrazine. Fluid Phase Equilib. 193 (2002) 109-121	
6	Borzunov V.A.; Razumikhin V.N.; Stekolnikov V.A.: Bestimmung der Dichte von n-Hexan und Wasser bei Drücken bis 10000 kg/cm². Teplofiz.Svoistva Vesh.Mater.  (1970) 146-152	
$$$Dielectric Constant	
T [K]	P [kPa]	Dielectric Constant [-]	State	Reference	
223.15	101.325	1.99080	Liquid	1	
223.15	10233.800	2.00150	Liquid	1	
223.15	20366.301	2.01120	Liquid	1	
223.15	40631.301	2.02940	Liquid	1	
223.15	60896.301	2.04490	Liquid	1	
223.15	81161.305	2.05960	Liquid	1	
223.15	101426.000	2.07320	Liquid	1	
223.15	126758.000	2.08810	Liquid	1	
223.15	152089.000	2.10210	Liquid	1	
248.15	101.325	1.95400	Liquid	1	
248.15	10233.800	1.96580	Liquid	1	
248.15	20366.301	1.97780	Liquid	1	
248.15	40631.301	1.99790	Liquid	1	
248.15	60896.301	2.01580	Liquid	1	
248.15	81161.305	2.03190	Liquid	1	
248.15	101426.000	2.04620	Liquid	1	
248.15	126758.000	2.06260	Liquid	1	
248.15	152089.000	2.07800	Liquid	1	
248.15	177420.000	2.01950	Liquid	1	
248.15	202751.000	2.10450	Liquid	1	
273.15	101.325	1.91780	Liquid	1	
273.15	10233.800	1.93200	Liquid	1	
273.15	20366.301	1.94490	Liquid	1	
273.15	40631.301	1.96790	Liquid	1	
273.15	60896.301	1.98740	Liquid	1	
273.15	81161.305	2.00450	Liquid	1	
273.15	101426.000	2.02040	Liquid	1	
273.15	126758.000	2.03800	Liquid	1	
273.15	152089.000	2.05410	Liquid	1	
273.15	177420.000	2.06900	Liquid	1	
273.15	202751.000	2.08280	Liquid	1	
293.15		1.92800	Liquid	3	
298.15		1.89000	Liquid	2	
298.15	101.325	1.87990	Liquid	1	
298.15	10233.800	1.89720	Liquid	1	
298.15	20366.301	1.91230	Liquid	1	
298.15	40631.301	1.93790	Liquid	1	
298.15	60896.301	1.95990	Liquid	1	
298.15	81161.305	1.97890	Liquid	1	
298.15	101426.000	1.99550	Liquid	1	
298.15	126758.000	2.01480	Liquid	1	
298.15	152089.000	2.03170	Liquid	1	
298.15	177420.000	2.04780	Liquid	1	
298.15	202751.000	2.06200	Liquid	1	
Number	Source	
1	Mopsik F.I.: Dielectric Constant of n-Hexane as a Function of Temperature, Pressure and Density. J.Res. NBS Sect.A 71 (1967) 287-292	
2	Iglesias T.P.; Legido J.L.; Pereira S.M.; De Cominges B.; Paz Andrade M.I.: Relative Permittivities and Refractive Indices on Mixing for (N-Hexane + 1-Pentanol, or 1-Hexanol, or 1-Heptanol) at T=298.15 K. J.Chem.Thermodyn. 32 (2000) 923-930	
3	Joerges M.; Nikuradse A.: Ueber die Konzentrationsabhaengigkeit von Volumeneffekt und Dipolmoment binaerer und ternaerer Gemische einiger organischer Fluessigkeiten. Z.Naturforsch.A 5 (1950) 259-269	
$$$Diffusion Coefficient	
T [K]	P [kPa]	Diffusion Coefficient [cm2/s]	State	Reference	
193.20		6.19999991613E-0006	Liquid	1	
213.20		1.04999999166E-0005	Liquid	1	
233.20		1.6300000425E-0005	Liquid	1	
253.20		2.25000003411E-0005	Liquid	1	
273.20		0.00003	Liquid	1	
293.20		3.85000021197E-0005	Liquid	1	
294.15		3.93000009353E-0005	Liquid	6	
298.10		4.43999997515E-0005	Liquid	2	
298.15		4.2100000428E-0005	Liquid	3	
299.15	100.000	0.000044	Liquid	5	
299.15	10000.000	4.0099999751E-0005	Liquid	5	
299.15	16800.000	3.66999993275E-0005	Liquid	5	
299.15	24200.000	3.54000003426E-0005	Liquid	5	
313.20		4.85999989905E-0005	Liquid	1	
323.10		5.95999990765E-0005	Liquid	2	
323.15	100.000	5.59000000067E-0005	Liquid	5	
323.15	10000.000	5.05999996676E-0005	Liquid	5	
323.15	16500.000	4.76999994135E-0005	Liquid	5	
323.15	24300.000	4.540000009E-0005	Liquid	5	
333.20		0.00006	Liquid	1	
348.15	100.000	0.00007	Liquid	5	
348.15	9900.000	6.28999987384E-0005	Liquid	5	
348.15	16600.000	5.88000002608E-0005	Liquid	5	
348.15	24200.000	5.57000021217E-0005	Liquid	5	
Number	Source	
1	Panchenkov G.M.; Erchenkov V.V.: Temperature Variation of the Coordination Number and Diffusion Coefficient in a Liquid. Russ.J.Phys.Chem. 36 (1962) 455-457	
2	Iwahashi M.; Yamaguchi Y.; Ogura Y.; Suzuki M.: Dynamical Structures of Normal Alkanes, Alcohols, and Fatty Acids in the Liquid State as Determined by Viscosity, Self-Diffusion Coefficient, Infrared Spectra, and CNMR Spin-Lattice Relaxation Time Measurements. Bull.Chem.Soc.Japan 63 (1990) 2154-2158	
3	Douglass D.C.; McCall D.W.: Diffusion in Paraffin Hydrocarbons. J.Phys.Chem. 62 (1958) 1102-1107	
4	McCall D.W.; Douglass D.C.; Anderson E.W.: Paraffin Hydrocarbons. Phys.Fluids 2 (1959) 87-91	
5	Awan M.A.; Dymond J.H.: XI. Mutual Diffusion Coefficients for Toluene + n-Hexane and Toluene + Acetonitrile at Temperatures from 273 to 348 K and at Pressures up to 25 MPa. Int.J.Thermophys. 22 (2001) 679-700	
6	D'Agostino C.; Mantle M.D.; Gladden L.F.; Moggridge G.D.: HexaneNitrobenzene near its Consolute Point. Chem.Eng.Sci. 66 (2011) 3898-3906	
$$$Dynamic Viscosity	
T [K]	P [kPa]	Dynamic Viscosity [mPas]	State	Reference	
223.00		0.7439	Liquid	2	
233.00		0.6398	Liquid	2	
243.00		0.5525	Liquid	2	
253.00		0.4788	Liquid	2	
263.00		0.4284	Liquid	2	
273.00		0.3827	Liquid	2	
283.00		0.3442	Liquid	2	
293.00		0.3131	Liquid	2	
303.00		0.2892	Liquid	2	
303.15	4900.000	0.2984	Liquid	1	
303.15	9800.000	0.31126	Liquid	1	
303.15	19600.000	0.3422	Liquid	1	
303.15	29400.000	0.3723	Liquid	1	
303.15	34300.000	0.3799	Liquid	1	
303.15	39200.000	0.4019	Liquid	1	
313.00		0.2673	Liquid	2	
313.15	101.000	0.26723	Liquid	1	
313.15	4900.000	0.2731	Liquid	1	
313.15	9800.000	0.2865	Liquid	1	
313.15	19600.000	0.30966	Liquid	1	
313.15	29400.000	0.3439	Liquid	1	
313.15	39200.000	0.3653	Liquid	1	
323.00		0.2482	Liquid	2	
323.25	101.000	0.2311	Liquid	1	
323.25	4900.000	0.2429	Liquid	1	
323.25	9800.000	0.2594	Liquid	1	
323.25	19600.000	0.2867	Liquid	1	
323.25	29400.000	0.3164	Liquid	1	
323.25	39200.000	0.3465	Liquid	1	
333.00		0.2285	Liquid	2	
333.15	101.000	0.2033	Liquid	1	
333.15	4900.000	0.2363	Liquid	1	
333.15	9800.000	0.2413	Liquid	1	
333.15	19600.000	0.2721	Liquid	1	
333.15	29400.000	0.29685	Liquid	1	
333.15	39200.000	0.3318	Liquid	1	
Number	Source	
1	Naziev Ya.M.; Gusejnov S.O.; Akhmedov A.K.: Untersuchung der Viskosität von einigen Kohlenwasserstoffen bei verschiedenen Drücken und Temperaturen. Izv.Vyssh.Uchebn.Zaved.Neft Gaz 15 (1972) 65-68	
2	Mekhtiev S.I.; Mamedov A.A.; Khalilov Sh.Kh.; Aleskerov M.A.: Experimentelle Untersuchung des Einflusses von Octylmethacrylat auf  Viskosität und Dicht der Kohlenwasserstoffe. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1975) 64-100	
$$$Entropy	
T [K]	Molar Entropy [J/(mol*K)]	State	Reference	
298.00	386.81	Vapor	2	
298.00	388.40	Vapor	1	
Number	Source	
1	Person W.B.; Pimentel G.C.: Thermodynamic properties and the characteristic CH2 frequencies of n-paraffins.. J.Am.Chem.Soc. 75 (1953) 532-538	
2	Pitzer K.S.; Kilpatrick J.E.: The entropies and related properties of branched paraffin hydrocarbons.. Chem.Rev. 39 (1946) 435-447	
3	Pitzer K.S.: Thermodynamics of Gaseous Paraffins. Specific Heat and Related Properties.. Ind.Eng.Chem. 36 (1944) 829-831	
$$$Flash Point	
T [K]	P [kPa]	State	Reference	
240.20		Liquid	5	
247.15		Liquid	1	
262.15		Liquid	4	
Number	Source	
1	Choe M.-H.: Experimentelle und theoretische Untersuchungen zur Flammpunktbestimmung von Flüssigkeitsgemischen. Thesis  (1988)	
2	Thorne P.F.: Flash Points of Mixtures of Flammable and Non-flammable Liquids. Fire & Materials 1 (1976) 134-139	
3	Shebeko Yu.N.; Kruglyakova N.M.; Ivanov A.V.; Korol'chenko A.Ya.: Method for Calculation of Lower Temperature Limits of Ognition and the Flashpoint of Mixtures of Combustible and Noncombustible Liquids. Lakokras.Mater.Primen.  (1983) 63-66	
4	Ellis W.H.: Solvent Flash Points -  Expected and Unexpected. J.Coat.Technol. 48 (1976) 44-57	
5	Iwata Y.; Koseki H.; Hasegawa K.: Lower and Upper Flash Points of Flammable Liquids with Flame-Suppressing Agents. J.Fire Sci. 17 (1999) 459-476	
6	Thorne P.F.: Flash Points of Mixtures of Flammable and Non-Flammable Liquids. Report  (1975) 1-25	
$$$G-function (G-G0)/T	
T [K]	G-function (G-G0)/T [J/(mol*K)]	State	Reference	
298.16	-295.47	Vapor	1	
298.16	-292.92	Vapor	2	
300.00	-296.10	Vapor	1	
300.00	-293.51	Vapor	2	
400.00	-325.31	Vapor	1	
400.00	-323.01	Vapor	2	
500.00	-351.92	Vapor	1	
500.00	-349.99	Vapor	2	
600.00	-376.81	Vapor	1	
600.00	-375.22	Vapor	2	
600.00	-374.89	Vapor	3	
700.00	-400.53	Vapor	1	
700.00	-399.20	Vapor	2	
800.00	-423.17	Vapor	1	
800.00	-422.17	Vapor	3	
800.00	-422.12	Vapor	2	
900.00	-444.84	Vapor	1	
900.00	-444.09	Vapor	2	
1000.00	-465.72	Vapor	1	
1000.00	-465.18	Vapor	2	
1100.00	-485.76	Vapor	1	
1100.00	-485.34	Vapor	2	
1200.00	-505.18	Vapor	1	
1200.00	-504.76	Vapor	2	
1300.00	-523.80	Vapor	1	
1300.00	-523.42	Vapor	2	
1400.00	-541.79	Vapor	1	
1400.00	-541.41	Vapor	2	
1500.00	-559.15	Vapor	1	
1500.00	-558.69	Vapor	2	
1500.00	-558.65	Vapor	3	
Number	Source	
1	Person W.B.; Pimentel G.C.: Thermodynamic properties and the characteristic CH2 frequencies of n-paraffins.. J.Am.Chem.Soc. 75 (1953) 532-538	
2	Pitzer K.S.; Kilpatrick J.E.: The entropies and related properties of branched paraffin hydrocarbons.. Chem.Rev. 39 (1946) 435-447	
3	Pitzer K.S.: Thermodynamics of Gaseous Paraffins. Specific Heat and Related Properties.. Ind.Eng.Chem. 36 (1944) 829-831	
$$$Heat of Fusion	
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference	
176.35		12920.00	Solid-Liquid	5	
177.82	101.325	13029.00	Solid-Liquid	4	
177.84		13079.60	Solid-Liquid	4	
177.90		12342.70	Solid-Liquid	3	
177.90	101.325	13030.00	Solid-Liquid	2	
178.15	101.325	13010.00	Solid-Liquid	1	
Number	Source	
1	Parks G.S.; Huffman H.M.: Some Fusion and Transition Data for Hydrocarbons. Ind.Eng.Chem. Ind.Ed. 23 (1931) 1138-1139	
2	Huffman H.M.; Parks G.S.; Barmore M.: X. Further Studies on the Heat Capacities Entropies and Free Energies of Hydrocarbons. J.Am.Chem.Soc. 53 (1931) 3876-3888	
3	Stull D.R.: A Semi-micro Calorimeter for Measuring Heat Capacities at Low Temperatures. J.Am.Chem.Soc. 59 (1937) 2726-2733	
4	Cines M.R.: Solid-Liquid Equilibria of Hydrocarbons. Physical Chemistry of the Hydrocarbons. Volume 1  (1950) 315-362	
5	Brun M.; Quinson J.F.; Claudy P.; Letoffe J.M.: Etude des Transformations Solide - Solide et Solide - Liquide de Quelques n-Alcanes en Milieu Poreux par Analyse Calorimetrique Differentielle. Thermochim.Acta 44 (1981) 289-302	
$$$Heat of Vaporization	
T [K]	Molar Enthalpy [J/mol]	State	Reference	
298.15	31500.00	Vapor-Liquid	1	
298.15	31510.00	Vapor-Liquid	3	
298.15	31540.00	Vapor-Liquid	5	
308.75	30932.00	Vapor-Liquid	4	
310.93	30684.60	Vapor-Liquid	6	
327.59	29558.10	Vapor-Liquid	6	
327.59	29614.20	Vapor-Liquid	6	
327.95	29769.00	Vapor-Liquid	4	
341.85	28853.00	Vapor-Liquid	4	
342.00	28900.00	Vapor-Liquid	2	
344.26	28646.00	Vapor-Liquid	6	
360.92	27395.20	Vapor-Liquid	6	
360.92	27407.30	Vapor-Liquid	6	
377.59	26198.60	Vapor-Liquid	6	
377.59	26252.70	Vapor-Liquid	6	
394.26	24841.50	Vapor-Liquid	6	
394.26	24921.70	Vapor-Liquid	6	
410.92	23418.30	Vapor-Liquid	6	
427.59	21734.60	Vapor-Liquid	6	
444.26	19854.00	Vapor-Liquid	6	
Number	Source	
1	Dionisio M.S.; Moura Ramos J.J.; Goncalves R.M.: The enthalpy and entropy of cavity formation in liquids and Corresponding States Principle. Can.J.Chem. 68 (1990) 1937-1949	
2	Matyushov D.V.; Schmid R.: Properties of Liquids at the Boiling Point: Equation of State, Internal Pressure and Vaporization Entropy. Int.J.Phys.Chem.Ber.Bunsen-Ges. 98 (1994) 1590-1595	
3	Varushchenko R.M.; Pashchenko L.L.; Druzhinina A.I.: Enthalpies of Vaporization of some Mono- and Polycyclic Hydrocarbons. Zh.Fiz.Khim. 70 (1996) 228-231	
4	Waddington G.; Douslin D.R.: Experimental vapor heat capacities and heats of vaporization of n-hexane and 2,2-dimethylbutane.. J.Am.Chem.Soc. 69 (1947) 2275-2279	
5	Fuchs R.; Hallman J.H.; Perlman M.O.: Thermochemistry of conjugation of simple cyclopropane derivatives. Can.J.Chem. 60 (1982) 1832-1835	
6	Huisman J.; Sage B.H.: Latent Heat of Vaporization of n-Hexane. J.Chem.Eng.Data 9 (1964) 223-226	
$$$Ideal Gas Heat Capacity	
T [K]	Ideal Gas Heat Capacity [J/(mol*K)]	State	Reference	
298.16	143.09	Ideal Gas	1	
298.16	146.69	Ideal Gas	2	
300.00	143.80	Ideal Gas	1	
300.00	147.78	Ideal Gas	2	
333.85	156.27	Ideal Gas	4	
365.15	168.28	Ideal Gas	4	
398.85	181.17	Ideal Gas	4	
400.00	181.88	Ideal Gas	1	
400.00	184.26	Ideal Gas	2	
433.70	194.10	Ideal Gas	4	
451.00	205.48	Ideal Gas	5	
468.90	206.94	Ideal Gas	4	
500.00	216.86	Ideal Gas	1	
500.00	219.20	Ideal Gas	2	
574.00	241.79	Ideal Gas	5	
600.00	246.81	Ideal Gas	1	
600.00	247.74	Ideal Gas	3	
600.00	248.45	Ideal Gas	2	
700.00	272.38	Ideal Gas	1	
700.00	273.42	Ideal Gas	2	
800.00	294.39	Ideal Gas	1	
800.00	295.01	Ideal Gas	2	
900.00	313.51	Ideal Gas	1	
900.00	313.84	Ideal Gas	2	
1000.00	330.08	Ideal Gas	1	
1000.00	330.29	Ideal Gas	2	
1100.00	344.43	Ideal Gas	1	
1200.00	356.90	Ideal Gas	1	
1300.00	367.73	Ideal Gas	1	
1400.00	377.06	Ideal Gas	2	
1400.00	377.15	Ideal Gas	1	
1500.00	385.01	Ideal Gas	2	
1500.00	385.35	Ideal Gas	1	
Number	Source	
1	Person W.B.; Pimentel G.C.: Thermodynamic properties and the characteristic CH2 frequencies of n-paraffins.. J.Am.Chem.Soc. 75 (1953) 532-538	
2	Pitzer K.S.; Kilpatrick J.E.: The entropies and related properties of branched paraffin hydrocarbons.. Chem.Rev. 39 (1946) 435-447	
3	Pitzer K.S.: Thermodynamics of Gaseous Paraffins. Specific Heat and Related Properties.. Ind.Eng.Chem. 36 (1944) 829-831	
4	Waddington G.; Douslin D.R.: Experimental vapor heat capacities and heats of vaporization of n-hexane and 2,2-dimethylbutane.. J.Am.Chem.Soc. 69 (1947) 2275-2279	
5	Eucken A.; Sarstedt B.: Molar heat capacity of organic vapors. I. Measuring and results.. Z.Phys.Chem.Abt.B 50 (1941) 143-170	
$$$Kinematic Viscosity	
T [K]	Kinematic Viscosity [m2/s]	State	Reference	
178.15	2.95599988931E-06	Liquid	1	
183.15	2.56699991041E-06	Liquid	1	
198.15	1.73899991296E-06	Liquid	1	
213.15	1.27399994199E-06	Liquid	1	
228.15	9.94999936665E-07	Liquid	1	
243.15	8.06999992164E-07	Liquid	1	
258.15	6.78999981574E-07	Liquid	1	
283.15	5.14100008786E-07	Liquid	5	
288.15	4.91100024647E-07	Liquid	5	
293.15	4.69500008649E-07	Liquid	2	
298.15	4.45799997806E-07	Liquid	4	
298.19	4.50399994634E-07	Liquid	5	
303.15	4.52300014331E-07	Liquid	6	
313.15	4.24700004942E-07	Liquid	6	
313.23	3.99399993967E-07	Liquid	5	
318.15	3.859999822E-07	Liquid	3	
318.26	3.84299994494E-07	Liquid	5	
323.15	3.92200007582E-07	Liquid	6	
333.15	3.69100007447E-07	Liquid	6	
333.36	3.44999989466E-07	Liquid	5	
338.36	3.34800006385E-07	Liquid	5	
353.29	3.02800003738E-07	Liquid	5	
