Formula	Molar Mass	CAS Registry Number	Name	
C6H12	84.161	110-82-7	Cyclohexane	
$$$Boiling Point	
T [K]	P [kPa]	State	Reference	
353.95	101.325	Vapor-Liquid	1	
Number	Source	
1	Suresh Reddy K.V.N.; Sankara Reddy G.; Krishnaiah A.: Excess Volumes, Densities, Speeds of Sound and Viscosities for the Binary Systems of Diisopropyl Ether with Hydrocarbons at 303.15 K. Thermochim.Acta 440 (2006) 43-50	
$$$Compressibility (isentropic)	
T [K]	Compressibility (isentropic) [/kPa]	State	Reference	
298.15	8.18999978947E-007	Liquid	5	
298.15	8.21300034204E-007	Liquid	6	
298.15	8.21699984499E-007	Liquid	3	
298.15	8.21800028916E-007	Liquid	3	
298.15	8.2190001649E-007	Liquid	3	
298.15	8.22000004064E-007	Liquid	2	
298.15	8.22790013899E-007	Liquid	1	
303.15	8.58999953834E-007	Liquid	4	
308.15	8.94999971024E-007	Liquid	5	
Number	Source	
1	Junquera E.; Tardajos G.; Aicart E.: n-hexane or n-heptane or n-octane or n-decane) at 298.15 K. J.Chem.Thermodyn. 20 (1988) 1461-1467	
2	Iglesias M.; Orge B.; Tojo J.: Speeds of sound, densities, refractive indices, and isentropic compressibilities of {x1C6H6 + x2c-C6H12 + (1-x1-x2)C6H5Cl} at the temperature 298.15 K. J.Chem.Thermodyn. 26 (1994) 1179-1185	
3	Ohomuro K.; Tamura K.; Murakami S.: Speeds of sound, excess molar volumes, and isentropic compressibilities of {xCH3COC2H5 + (1 - x)C7H16}, {xCH3COC2H5 + (1 - x)c-C6H12}, {xCH3COC2H5 + (1 - x)c-C6H11CH3}, {xC2H5COC2H5 + (1 - x)C7H16}, and {xC2H5COC2H5 + (1 - x)c-C6H12} at 298.15 K. J.Chem.Thermodyn. 19 (1987) 163-169	
4	Oswal S.; Patel A.T.: 1. Tri-n-alkylamines with Cycloxehane and Benzene. J.Chem.Eng.Data 39 (1994) 366-371	
5	Nath J.; Dixit A.P.: Ultrasonic Velocities in, and Adiabatic Compressibilities and Excess Volumes for, Binary Liquid Mixtures of Acetone with Tetrachloroethylene, Trichloroethylene, Methylene Chloride, 1,2-Dichloroethane, and Cyclohexane. J.Chem.Eng.Data 29 (1984) 313-316	
6	Dominguez M.; Pardo J.; Santafe J.; Royo F.M.; Urieta J.S.: Densities, Speeds of Sound and Isentropic Compressibilities of Binary and Ternary Mixtures containing Benzene, Cyclohexane and Hexane at 298.15 K. Fluid Phase Equilib. 118 (1996) 227-240	
$$$Compressibility (isothermal)	
T [K]	Compressibility (isothermal) [/kPa]	State	Reference	
293.20	1.12930001706E-006	Liquid	1	
298.15	1.11969995942E-006	Liquid	3	
298.20	1.18299999485E-006	Liquid	2	
308.15	1.21879998005E-006	Liquid	3	
313.20	1.27800001337E-006	Liquid	1	
318.15	1.33080004616E-006	Liquid	3	
333.15	1.51950007421E-006	Liquid	3	
333.20	1.45550006891E-006	Liquid	1	
Number	Source	
1	Technische Hochschule Carl Schorlemmer Leuna-Merseburg, Merseburg (GDR): Unpublished data. Unpublished Data  (1989) 1-360	
2	Polzin B.; Weiss A.: VIII. Molar Volume and Selfdiffusion of Organic Liquids at Pressures up to 200 MPa. Ber.Bunsen-Ges.Phys.Chem. 94 (1990) 746-758	
3	Aicart E.; Tardajos G.; Diaz Pena M.: Isothermal Compressibility of Cyclohexane + n-Tridecane and +N-Pentadecane at 298.15, 308.15, 318.15, and 333.15 K. J.Chem.Thermodyn. 13 (1981) 783-788	
$$$Critical Data	
T [K]	P [kPa]	State	Reference	
553.15	4033.300	Critical Point	4	
553.35		Critical Point	1	
554.10		Critical Point	2	
554.15	3978.560	Critical Point	5	
Number	Source	
1	Richardson M.J.; Rowlinson J.S.: The Solubility of Mercury in Gases at High Density. Trans.Faraday Soc. 55 (1959) 1333-1337	
2	Rätzsch M.: Kritische Temperaturen binärer Systeme. Z.Phys.Chem.(Leipzig) 243 (1970) 212-220	
3	Simon M.: Methods and instruments employed at the Bureau of physisochemical standards. XV. Critical constants and straight-line diameters of 10 hydrocarbons. (Fr). Bull.Soc.Chim.Belg. 66 (1957) 375-381	
4	Young S.; Fortey E.C.: The vapour pressures, specific volumes and critical constants of hexamethylene. J.Chem.Soc.London 75 (1899) 873-883	
5	Glaser F.; Rüland H.: Untersuchungen über Dampfdruckkurven und kritische Daten einiger technisch wichtiger organischer Substanzen. Chem.Ing.Tech. CIT 29 (1957) 772-775	
6	Cheng D.C.-H.: Critical temperatures and volumes of some binary systems. Chem.Eng.Sci. 18 (1963) 715-724	
$$$Density	
T [K]	P [kPa]	Density [kg/m3]	State	Reference	
4	George J.; Sastry N.V.: Densities, Excess Molar Volumes, Viscosities, Speeds of Sound, Excess Isentropic Compressibilities, and Relative Permittivities for CmH2m+1(OCH2CH2)nOH (m= 1 or 2 or 4 and n=1) + Benzene, + Toluene, + (o-, m-, and p-) Xylenes, + Ethylbenzene, and + Cyclohexane. J.Chem.Eng.Data 48 (2003) 977-989	
5	Philippe R.; Piette A.M.: VII. Contribution à l'étude de la constante diélectrique des composés organiques purs. Bull.Soc.Chim.Belg. 64 (1955) 600-627	
$$$Diffusion Coefficient	
T [K]	P [kPa]	Diffusion Coefficient [cm2/s]	State	Reference	
283.47	100.000	1.07200003185E-0005	Liquid	4	
283.53	100.000	1.08499998532E-0005	Liquid	4	
288.20	101.000	1.19300002552E-0005	Liquid	3	
288.20	3900.000	1.1430000086E-0005	Liquid	3	
288.20	4200.000	1.13500000225E-0005	Liquid	3	
288.31	100.000	1.19099995572E-0005	Liquid	4	
288.32	100.000	1.19899996207E-0005	Liquid	4	
298.12	100.000	1.4569999621E-0005	Liquid	4	
298.15		1.43300003401E-0005	Liquid	1	
298.15	100.000	1.47000000652E-0005	Liquid	4	
298.20		1.39000003401E-0005	Liquid	2	
298.20	101.000	1.45000003613E-0005	Liquid	3	
298.20	11400.000	1.32100003611E-0005	Liquid	3	
298.20	17700.000	1.18899997688E-0005	Liquid	3	
298.20	27300.000	1.04700002339E-0005	Liquid	3	
298.20	33100.000	1.0210000255E-0005	Liquid	3	
308.02	100.000	1.7279999156E-0005	Liquid	4	
308.03	100.000	1.75799996214E-0005	Liquid	4	
308.16	100.000	1.71199990291E-0005	Liquid	4	
308.17	100.000	1.71800002136E-0005	Liquid	4	
313.20	101.000	1.95100001292E-0005	Liquid	3	
313.20	21000.000	1.54200006364E-0005	Liquid	3	
313.20	35800.000	1.34199999593E-0005	Liquid	3	
313.20	46800.000	1.22700002976E-0005	Liquid	3	
317.68	100.000	2.02999999601E-0005	Liquid	4	
317.73	100.000	2.07800003409E-0005	Liquid	4	
318.22	100.000	2.05300002563E-0005	Liquid	4	
318.25	100.000	2.04799998755E-0005	Liquid	4	
323.04	100.000	2.23400002142E-0005	Liquid	4	
328.13	100.000	2.46899999183E-0005	Liquid	4	
328.15	100.000	2.46500003414E-0005	Liquid	4	
328.20	101.000	2.5449999157E-0005	Liquid	3	
328.20	16300.000	2.08500005101E-0005	Liquid	3	
328.20	26900.000	1.84900000022E-0005	Liquid	3	
328.20	49600.000	1.49500001498E-0005	Liquid	3	
328.20	65900.000	1.38499999593E-0005	Liquid	3	
328.20	66100.000	1.36400003612E-0005	Liquid	3	
328.20	82100.000	1.24700000015E-0005	Liquid	3	
333.02	100.000	2.59799999185E-0005	Liquid	4	
333.05	100.000	2.64600002993E-0005	Liquid	4	
342.79	100.000	2.96799989883E-0005	Liquid	4	
348.16	100.000	3.25100008922E-0005	Liquid	4	
Number	Source	
1	Kulkarni M.V.; Allen G.F.; Lyons P.A.: Diffusion in Carbon Tetrachloride-Cyclohexane Solutions. J.Phys.Chem. 69 (1965) 2491-2493	
2	Fischer J.; Weiss A.: VII. Viscosity, Excess Volumes, and Self-Diffusion of Binary Mixtures of Donor-Acceptor and of CCl4-Carboxylic Acid Systems. Ber.Bunsen-Ges.Phys.Chem. 90 (1986) 1141-1153	
3	McCool M.A.; Woolf L.A.: theory of the method, and experimental results for cyclohexane. High Temp.-High Press. 4 (1972) 85-95	
4	Harris K.R.; Ganbold B.; Price W.S.: Viscous Calibration Liquids for Self-Diffusion Measurements. J.Chem.Eng.Data 60 (2015) 3506-3517	
$$$Dynamic Viscosity	
T [K]	P [kPa]	Dynamic Viscosity [mPas]	State	Reference	
290.65	101.000	0.9900	Liquid	3	
290.65	1080.000	1.0100	Liquid	3	
290.65	2550.000	1.0250	Liquid	3	
290.65	5005.000	1.0580	Liquid	3	
290.65	9910.000	1.1580	Liquid	3	
290.65	14810.000	1.2200	Liquid	3	
290.65	19720.000	1.3020	Liquid	3	
290.65	29530.000	1.4500	Liquid	3	
290.65	39340.000	1.6100	Liquid	3	
290.65	49150.000	1.7600	Liquid	3	
293.00		0.9748	Liquid	1	
293.15		0.9930	Liquid	2	
303.00		0.8156	Liquid	1	
303.15		0.8300	Liquid	2	
313.00		0.6965	Liquid	1	
313.15		0.7080	Liquid	2	
323.00		0.6009	Liquid	1	
323.15		0.6000	Liquid	2	
323.15	101.000	0.6060	Liquid	3	
323.15	1080.000	0.6120	Liquid	3	
323.15	2550.000	0.6240	Liquid	3	
323.15	5005.000	0.6420	Liquid	3	
323.15	9910.000	0.6880	Liquid	3	
323.15	14810.000	0.7430	Liquid	3	
323.15	19720.000	0.7910	Liquid	3	
323.15	29530.000	0.8820	Liquid	3	
323.15	39340.000	0.9680	Liquid	3	
323.15	49150.000	1.0510	Liquid	3	
333.00		0.5190	Liquid	1	
333.15		0.5330	Liquid	2	
343.00		0.4571	Liquid	1	
348.15	101.000	0.4580	Liquid	3	
348.15	1080.000	0.4620	Liquid	3	
348.15	2550.000	0.4790	Liquid	3	
348.15	5005.000	0.5030	Liquid	3	
348.15	9910.000	0.5100	Liquid	3	
348.15	14810.000	0.5460	Liquid	3	
348.15	19720.000	0.5900	Liquid	3	
348.15	29530.000	0.6700	Liquid	3	
348.15	39340.000	0.7190	Liquid	3	
348.15	49150.000	0.7600	Liquid	3	
353.15		0.4150	Liquid	2	
373.15		0.3310	Liquid	2	
374.65	1080.000	0.3600	Liquid	3	
374.65	2550.000	0.3700	Liquid	3	
374.65	5005.000	0.3810	Liquid	3	
374.65	9910.000	0.4020	Liquid	3	
374.65	14810.000	0.4250	Liquid	3	
374.65	19720.000	0.4500	Liquid	3	
374.65	29530.000	0.4900	Liquid	3	
374.65	39340.000	0.5280	Liquid	3	
374.65	49150.000	0.5870	Liquid	3	
393.15		0.2710	Liquid	2	
413.15		0.2260	Liquid	2	
433.15		0.1870	Liquid	2	
453.15		0.1580	Liquid	2	
473.15		0.1300	Liquid	2	
493.15		0.1080	Liquid	2	
503.15		0.0970	Liquid	2	
508.15		0.0910	Liquid	2	
Number	Source	
1	Mekhtiev S.I.; Mamedov A.A.; Khalilov Sh.Kh.; Aleskerov M.A.: Experimentelle Untersuchung des Einflusses von Octylmethacrylat auf  Viskosität und Dicht der Kohlenwasserstoffe. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1975) 64-100	
2	Zakurenov V.M.; Konyakhin V.P.; Nozdrev V.F.: The Viscosities of Ethanol-Cyclohexane Mixtures. Zh.Fiz.Khim. 49 (1975) 548-549	
3	Guseinov S.O.; Naziev Ya.M.; Akhmedov A.K.: Viskosität von Cyclohexan bei hohen Drücken. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1973) 65-67	
$$$Enthalpy (H-H298)	
T [K]	Molar Enthalpy [J/mol]	State	Reference	
80.00		Crystal 2	1	
90.00		Crystal 2	1	
100.00		Crystal 2	1	
110.00		Crystal 2	1	
120.00		Crystal 2	1	
130.00		Crystal 2	1	
140.00		Crystal 2	1	
150.00		Crystal 2	1	
160.00		Crystal 2	1	
170.00		Crystal 2	1	
180.00		Crystal 2	1	
190.00		Crystal 1	1	
200.00		Crystal 1	1	
210.00		Crystal 1	1	
220.00		Crystal 1	1	
230.00		Crystal 1	1	
240.00		Crystal 1	1	
250.00		Crystal 1	1	
260.00		Crystal 1	1	
270.00		Crystal 1	1	
290.00		Liquid	1	
298.15		Liquid	1	
300.00		Liquid	1	
310.00		Liquid	1	
320.00		Liquid	1	
330.00		Liquid	1	
340.00		Liquid	1	
350.00		Liquid	1	
Number	Source	
1	Nan Z.D.; Tan Z.-C.: Low-temperature heat capacities and derived thermodynamic functions of cyclohexane. J.Therm.Anal.Calorim 76 (2004) 955-963	
$$$Entropy	
T [K]	Molar Entropy [J/(mol*K)]	State	Reference	
298.00	297.30	Vapor	3	
298.00	298.03	Vapor	4	
298.00	298.24	Vapor	2	
298.00	298.78	Vapor	1	
Number	Source	
1	Brickwedde F.G.; Moskow M.; Aston J.G.: Equilibrium Constants of some Reactions Involved in the Production Of1,3-Butadiene.. J.Res. NBS 37 (1946) 263-279	
2	Beckett C.W.; Pitzer K.S.; Spitzer R.: The thermodynamic properties and molecular structure of cyclohexane,methylcyclohexane, ethylcyclohexane and the seven dimethylcyclohexanes.. J.Am.Chem.Soc. 69 (1947) 2488-2495	
3	Dorofeeva O.V.; Gurvich L.V.; Jorish V.S.: Thermodynamic properties of twenty-one monocyclic hydrocarbons.. J.Phys.Chem.Ref.Data 15 (1986) 437-464	
4	Aston J.G.; Szasz G.J.; Fink H.L.: The Heat Capacity and Entropy. Heats of Transition, Fusion and Vaporization and the Vapor Pressures of Cyclohexane. The Vibrational Frequencies of Alicyclic Ring Systems. J.Am.Chem.Soc. 65 (1943) 1135-1139	
$$$Flash Point	
T [K]	P [kPa]	State	Reference	
255.15		Liquid	1	
256.15		Liquid	2	
Number	Source	
1	Magdanz H.; Wacha H.: II. Berechnete und gemessene Flammpunkte von binären Lösungsmittelmischungen. Plaste Kautschuk 25 (1978) 707-712	
2	Ellis W.H.: Solvent Flash Points -  Expected and Unexpected. J.Coat.Technol. 48 (1976) 44-57	
$$$G-function (G-G0)/T	
T [K]	G-function (G-G0)/T [J/(mol*K)]	State	Reference	
100.00	-190.55	Vapor	3	
200.00	-217.93	Vapor	3	
298.15	-238.43	Vapor	3	
298.16	-239.66	Vapor	1	
298.16	-238.78	Vapor	2	
300.00	-240.04	Vapor	1	
300.00	-239.16	Vapor	2	
300.00	-238.80	Vapor	3	
400.00	-259.41	Vapor	1	
400.00	-258.57	Vapor	2	
400.00	-258.08	Vapor	3	
500.00	-277.78	Vapor	2	
500.00	-277.69	Vapor	1	
500.00	-277.07	Vapor	3	
600.00	-297.57	Vapor	1	
600.00	-296.90	Vapor	2	
600.00	-296.00	Vapor	3	
700.00	-316.48	Vapor	1	
700.00	-315.89	Vapor	2	
700.00	-314.83	Vapor	3	
800.00	-335.18	Vapor	1	
800.00	-334.64	Vapor	2	
800.00	-333.46	Vapor	3	
900.00	-353.55	Vapor	1	
900.00	-353.13	Vapor	2	
900.00	-351.80	Vapor	3	
1000.00	-371.50	Vapor	1	
1000.00	-371.29	Vapor	2	
1000.00	-369.77	Vapor	3	
1100.00	-389.11	Vapor	2	
1100.00	-389.03	Vapor	1	
1100.00	-387.34	Vapor	3	
1200.00	-406.27	Vapor	2	
1200.00	-406.06	Vapor	1	
1200.00	-404.47	Vapor	3	
1300.00	-423.00	Vapor	2	
1300.00	-422.71	Vapor	1	
1300.00	-421.14	Vapor	3	
1400.00	-439.32	Vapor	2	
1400.00	-438.90	Vapor	1	
1400.00	-437.37	Vapor	3	
1500.00	-455.22	Vapor	2	
1500.00	-454.63	Vapor	1	
1500.00	-453.14	Vapor	3	
Number	Source	
1	Brickwedde F.G.; Moskow M.; Aston J.G.: Equilibrium Constants of some Reactions Involved in the Production Of1,3-Butadiene.. J.Res. NBS 37 (1946) 263-279	
2	Beckett C.W.; Pitzer K.S.; Spitzer R.: The thermodynamic properties and molecular structure of cyclohexane,methylcyclohexane, ethylcyclohexane and the seven dimethylcyclohexanes.. J.Am.Chem.Soc. 69 (1947) 2488-2495	
3	Dorofeeva O.V.; Gurvich L.V.; Jorish V.S.: Thermodynamic properties of twenty-one monocyclic hydrocarbons.. J.Phys.Chem.Ref.Data 15 (1986) 437-464	
$$$Heat of Fusion	
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference	
279.30	101.325	2611.00	Solid-Liquid	6	
279.35	101.325	2730.00	Solid-Liquid	3	
279.80		2760.20	Solid-Liquid	1	
279.84		2626.72	Solid-Liquid	2	
279.85	101.325	2626.00	Solid-Liquid	5	
280.00		2660.00	Solid-Liquid	4	
Number	Source	
1	Aufderhaar O.: Experimentelle Bestimmung kalorischer Daten mit einem Tian-Calvet Kalorimeter und Korrelation von Dampfdruckdaten reiner Stoffe mit einer erweiterten Antoine-Gleichung. Master's Thesis  (1996)	
2	Aston J.G.; Szasz G.J.; Fink H.L.: The Heat Capacity and Entropy. Heats of Transition, Fusion and Vaporization and the Vapor Pressures of Cyclohexane. The Vibrational Frequencies of Alicyclic Ring Systems. J.Am.Chem.Soc. 65 (1943) 1135-1139	
3	Ziegler W.T.; Andrews D.H.: The Heat Capacity of Benzene-D6.. J.Am.Chem.Soc. 64 (1942) 2482-2485	
4	Sergeev G.B.; Morozov Yu.N.; Shabatina T.I.; Batyuk V.A.: Radical Reactions in Plastic Crystals at Low Temperatures. Ukr.Khim.Zh.(Russ.Ed.) 59 (1993) 1171-1181	
5	Kaarsemaker S.; Coops J.: Thermal quantities of some cycloparaffins. Part III. Results of measurements.. Recl.Trav.Chim.Pays-Bas 71 (1952) 261-276	
6	Parks G.S.; Huffman H.M.; Thomas S.B.: VI. The Heat Capacities, Entropies and Free Energies of Some Saturated, Non-Benzeniod Hydrocarbons. J.Am.Chem.Soc. 52 (1930) 1032-1041	
$$$Heat of Transition	
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference	
185.95		6736.00	Solid-Solid	1	
186.00		6824.60	Solid-Solid	3	
186.05	101.325	6990.00	Crystal 2 > Crystal 1	6	
186.09		6687.29	Solid-Solid	4	
186.10		6740.00	Solid-Solid	2	
186.35		6825.00	Crystal 2 > Crystal 1	5	
Number	Source	
1	Parks G.S.; Huffman H.M.: Some Fusion and Transition Data for Hydrocarbons. Ind.Eng.Chem. Ind.Ed. 23 (1931) 1138-1139	
2	Ruehrwein R.A.; Huffman H.M.: Thermal Data. XVII. The Heat Capacity, Entropy, and Free Energy of Formation of Cyclohexane. A New Method of Heat Transfer in Low Temperature Calorimetry. J.Am.Chem.Soc. 65 (1943) 1620-1625	
3	Aufderhaar O.: Experimentelle Bestimmung kalorischer Daten mit einem Tian-Calvet Kalorimeter und Korrelation von Dampfdruckdaten reiner Stoffe mit einer erweiterten Antoine-Gleichung. Master's Thesis  (1996)	
4	Aston J.G.; Szasz G.J.; Fink H.L.: The Heat Capacity and Entropy. Heats of Transition, Fusion and Vaporization and the Vapor Pressures of Cyclohexane. The Vibrational Frequencies of Alicyclic Ring Systems. J.Am.Chem.Soc. 65 (1943) 1135-1139	
