Formula	Molar Mass	CAS Registry Number	Name	
C2H3N	41.053	75-05-8	Acetonitrile	
$$$Compressibility (isentropic)	
T [K]	Compressibility (isentropic) [/kPa]	State	Reference	
303.15	8.17000000097E-007	Liquid	1	
Number	Source	
1	Narayanaswamy G.; Dharmaraju G.; Kodanda Raman G.: Excess Volumes and Isentropis Compressibilities of Acetonitrile +N-Propanol, +I-Propanol, +N-Butanol, +I-Butanol, and +Cyclohexanol at 303.15 K.. J.Chem.Thermodyn. 13 (1981) 327-331	
$$$Critical Data	
T [K]	P [kPa]	State	Reference	
544.99	4934.000	Critical Point	5	
545.50	4830.000	Critical Point	3	
545.50	4890.000	Critical Point	2	
547.89		Critical Point	1	
Number	Source	
1	Ter-Gazarian G.: Orthobaric densities of acetonitrile and propionitrile up to the critical point. (Ger). Chem.Zentralbl. 2 (1906) 105-106	
2	Castillo-Lopez N.; Trejo A.: The Critical Temperatures and Pressures of Several n-Alkanenitriles.. J.Chem.Thermodyn. 19 (1987) 671-672	
3	Rodriguez A.T.; McLure I.A.: Critical Temperature and Pressure of Ethanenitrile.. J.Chem.Thermodyn. 11 (1979) 1113-1114	
4	Rodriguez A.T.; McLure I.A.: II. Gas-Liquid Pressure-Temperature-Composition Critical Loci for Ethanenitrile with C-4-C11 n-Alkanes.. Fluid Phase Equilib. 12 (1983) 297-305	
5	Kay W.B.; Young C.L.: Gas-Liquid Critical Properties. Int.Data Series Sel.Data Mixtures Ser. A 1975 (1975) 52-65	
6	Ter-Gazarian G.: Orthobaric densities of acetonitrile and propionitrile up to the critical poin.. J.Chim.Phys. 4 (1906) 140-169	
$$$Density	
T [K]	Density [kg/m3]	State	Reference	
253.00	826.600	Liquid	3	
263.00	815.500	Liquid	3	
273.00	804.300	Liquid	3	
278.00	797.800	Liquid	5	
283.00	793.100	Liquid	3	
283.15	792.490	Liquid	4	
288.00	787.000	Liquid	5	
288.15	787.990	Liquid	2	
293.00	782.000	Liquid	3	
293.15	782.600	Liquid	2	
293.15	783.000	Liquid	1	
298.00	776.400	Liquid	3	
298.00	776.700	Liquid	5	
298.15	775.900	Liquid	6	
298.15	776.390	Liquid	4	
298.15	777.250	Liquid	2	
303.00	770.800	Liquid	3	
303.15	771.700	Liquid	6	
303.15	771.830	Liquid	2	
303.15	774.800	Liquid	1	
308.00	765.700	Liquid	5	
308.15	766.200	Liquid	6	
308.15	766.280	Liquid	2	
313.00	759.600	Liquid	3	
313.15	759.950	Liquid	4	
313.15	760.560	Liquid	2	
313.15	760.900	Liquid	6	
313.15	766.600	Liquid	1	
318.00	754.700	Liquid	5	
318.15	754.980	Liquid	2	
318.15	755.900	Liquid	6	
323.00	748.400	Liquid	3	
323.15	749.190	Liquid	2	
323.15	758.400	Liquid	1	
328.15	743.140	Liquid	4	
328.15	743.600	Liquid	2	
333.00	737.300	Liquid	3	
333.15	735.760	Liquid	2	
Number	Source	
1	Armenskaya S.E.; Lanshina L.V.: Untersuchung der Raylei-Lichtstreuung in Acetonitril-Chloroform-Lösungen. Vestn.Mosk.Univ.Ser.2 Khim. 14 (1973) 227-229	
2	Khimenko M.T.; Gritsenko N.N.: Determination of polarizability and the radius of acetonitrile and dimethylacetamide molecules.. Zh.Fiz.Khim. 54 (1980) 198-199	
3	Demakhin A.G.; Ponomarenko S.M.; Yudina O.Yu.: I.Temperaturabhängigkeit der Volumen-Eigenschaften von Lösungsmitteln. Oniitekhim  (1991) 1-23	
4	Davydova O.I.; Afanasev V.N.; Zhukov B.A.; Krestov G.A.: Untersuchung der Viskosität von System Nitromethan-Acetonitril. Zh.Fiz.Khim. 60 (1986) 982-984	
5	V'yunnik I.N.; Zholnovach A.M.; Belous S.A.; Rudenko A.P.: Untersuchung physikalisch-chemischer Eigenschaften von Acetonitril-Ethylacetat-Mischungen bei 278, 288, 298, 308, 318 K. Oniitekhim  (1983) 1-12	
6	Moumouzias G.; Panopoulos D.K.; Ritzoulis G.: Excess Properties of the Binary Liquid System Propylene Carbonate + Acetonitrile. J.Chem.Eng.Data 36 (1991) 20-23	
$$$Dielectric Constant	
T [K]	P [kPa]	Dielectric Constant [-]	State	Reference	
283.15		0.3983	Liquid	2	
283.15		0.4230	Liquid	1	
288.00		0.3760	Liquid	3	
288.15		0.3880	Liquid	4	
293.15		0.3890	Liquid	1	
298.00		0.3470	Liquid	3	
298.15		0.34234	Liquid	2	
298.15		0.3440	Liquid	5	
298.15		0.3460	Liquid	4	
298.25	100.000	0.3410	Liquid	6	
303.15		0.3280	Liquid	5	
303.15		0.3560	Liquid	1	
308.00		0.3180	Liquid	3	
308.15		0.3080	Liquid	4	
308.15		0.3140	Liquid	5	
313.15		0.29647	Liquid	2	
313.15		0.3010	Liquid	5	
313.15		0.3230	Liquid	1	
318.00		0.2900	Liquid	3	
318.15		0.2890	Liquid	5	
323.13	100.000	0.2715	Liquid	6	
323.15		0.2930	Liquid	1	
328.15		0.2628	Liquid	2	
348.16	100.000	0.2232	Liquid	6	
373.18	100.000	0.1885	Liquid	6	
Number	Source	
1	Pugachev Yu.F.: Absonderung der reinigen Acetonitril und gamma-Butyrlakton nach Zonenschmelzemethode und Untersuchung der Temperaturabhängigkeit von Viskositätskoeffizienten. Izv.Vyssh.Uchebn.Zaved.Khim.Khim.Tekhnol. 34 (1991) 111-113	
2	Davydova O.I.; Afanasev V.N.; Zhukov B.A.; Krestov G.A.: Untersuchung der Viskosität von System Nitromethan-Acetonitril. Zh.Fiz.Khim. 60 (1986) 982-984	
3	V'yunnik I.N.; Zholnovach A.M.; Belous S.A.; Rudenko A.P.: Untersuchung physikalisch-chemischer Eigenschaften von Acetonitril-Ethylacetat-Mischungen bei 278, 288, 298, 308, 318 K. Oniitekhim  (1983) 1-12	
4	Ritzoulis G.; Papadopoulos N.; Jannakoudakis D.: Densities, Viscosities, and Dielectric Constants of Acetonitrile + Toluene at 15, 25,  and 35°C. J.Chem.Eng.Data 31 (1986) 146-148	
5	Moumouzias G.; Panopoulos D.K.; Ritzoulis G.: Excess Properties of the Binary Liquid System Propylene Carbonate + Acetonitrile. J.Chem.Eng.Data 36 (1991) 20-23	
6	Dymond J.H.; Awan M.A.; Glen N.F.; Isdale J.D.: IX. Viscosity Coefficients for Acetonitrile and for Three Mixtures of Toluene + Acetonitrile from 25 to 100 C at Pressures up to 500 MPa. Int.J.Thermophys. 12 (1991) 433-447	
$$$Entropy	
T [K]	Molar Entropy [J/(mol*K)]	State	Reference	
298.00	242.71	Vapor	1	
298.00	243.30	Vapor	2	
298.00	243.47	Vapor	3	
298.00	243.51	Vapor	4	
298.00	243.59	Vapor	5	
298.00	245.48	Vapor	6	
Number	Source	
1	Günthard H.H.; Kováts E.: Thermodynamische Eigenschaften von Methylcyanid (Acetonitril). Helv.Chim.Acta 35 (1952) 1190-1191	
2	Thompson H.W.: The Free Energy of Methyl Cyanide, and Equilibrium Constants of some Related Reactions. Trans.Faraday Soc. 37 (1941) 344-352	
3	Pillai M.G.K.; Cleveland F.F.: Potential energy constants, rotational distortion constants, and calculated thermodynamic properties for methyl cyanide and methyl isocyanide.. J.Mol.Spectrosc. 5 (1960) 212-217	
4	Crowder G.A.; Cook B.R.: Far-Infrared Spectra and Chemical Thermodynamic Properties. Discussion of an Entropy Discrepancy. J.Phys.Chem. 71 (1967) 914-916	
5	Ewell R.H.; Bourland J.F.: Thermodynamic Properties of Methyl Cyanide and Methyl Isocyanide. J.Chem.Phys. 8 (1940) 635-636	
6	Putnam W.E.; McEachern D.M.; Kilpatrick J.E.: Entropy and Related Thermodynamic Properties of Acetonitrile (Methylcyanide). J.Chem.Phys. 42 (1965) 749-755	
$$$Flash Point	
T [K]	P [kPa]	State	Reference	
278.15		Liquid	1	
Number	Source	
1	Astbury G.R.; Bugand-Bugandet J.; Grollet E.; Stell K.M.: Flash Points of Aqueous Solutions of Flammable Solvents. Hazards XVIII 150 (2004) 1-18	
$$$G-function (G-G0)/T	
T [K]	G-function (G-G0)/T [J/(mol*K)]	State	Reference	
100.00	-163.22	Vapor	3	
200.00	-187.49	Vapor	3	
273.00	-199.66	Vapor	5	
273.15	-199.37	Vapor	4	
273.16	-199.37	Vapor	3	
291.16	-202.00	Vapor	2	
298.00	-203.22	Vapor	5	
298.15	-202.88	Vapor	4	
298.16	-202.97	Vapor	2	
298.16	-202.88	Vapor	3	
298.16	-202.46	Vapor	1	
300.00	-203.18	Vapor	2	
300.00	-203.13	Vapor	3	
300.00	-202.72	Vapor	1	
323.00	-206.52	Vapor	5	
350.00	-209.58	Vapor	2	
373.00	-212.63	Vapor	5	
400.00	-215.39	Vapor	2	
400.00	-215.35	Vapor	3	
400.00	-214.89	Vapor	1	
423.00	-218.15	Vapor	5	
450.00	-220.75	Vapor	2	
473.00	-223.38	Vapor	5	
500.00	-225.89	Vapor	2	
500.00	-225.85	Vapor	4	
500.00	-225.77	Vapor	3	
500.00	-225.23	Vapor	1	
550.00	-230.62	Vapor	2	
573.00	-233.01	Vapor	5	
600.00	-235.10	Vapor	4	
600.00	-235.06	Vapor	2	
600.00	-235.02	Vapor	3	
650.00	-239.41	Vapor	2	
673.00	-242.25	Vapor	5	
700.00	-243.59	Vapor	4	
700.00	-243.55	Vapor	2	
700.00	-243.47	Vapor	3	
750.00	-246.81	Vapor	1	
773.00	-249.74	Vapor	5	
800.00	-251.42	Vapor	4	
800.00	-251.38	Vapor	2	
800.00	-251.29	Vapor	3	
900.00	-258.78	Vapor	4	
900.00	-258.70	Vapor	2	
900.00	-258.61	Vapor	3	
1000.00	-266.02	Vapor	2	
1000.00	-265.68	Vapor	4	
1000.00	-265.52	Vapor	3	
1000.00	-264.85	Vapor	1	
1100.00	-272.17	Vapor	2	
1200.00	-278.49	Vapor	2	
Number	Source	
1	Günthard H.H.; Kováts E.: Thermodynamische Eigenschaften von Methylcyanid (Acetonitril). Helv.Chim.Acta 35 (1952) 1190-1191	
2	Thompson H.W.: The Free Energy of Methyl Cyanide, and Equilibrium Constants of some Related Reactions. Trans.Faraday Soc. 37 (1941) 344-352	
3	Pillai M.G.K.; Cleveland F.F.: Potential energy constants, rotational distortion constants, and calculated thermodynamic properties for methyl cyanide and methyl isocyanide.. J.Mol.Spectrosc. 5 (1960) 212-217	
4	Crowder G.A.; Cook B.R.: Far-Infrared Spectra and Chemical Thermodynamic Properties. Discussion of an Entropy Discrepancy. J.Phys.Chem. 71 (1967) 914-916	
5	Ewell R.H.; Bourland J.F.: Thermodynamic Properties of Methyl Cyanide and Methyl Isocyanide. J.Chem.Phys. 8 (1940) 635-636	
$$$Heat of Fusion	
T [K]	Molar Enthalpy [J/mol]	State	Reference	
	8236.40	Solid-Liquid	1	
228.30	8870.08	Solid-Liquid	2	
228.70	6670.00	Solid-Liquid	3	
230.30	8236.40	Solid-Liquid	4	
Number	Source	
1	Kreutz J.: Experimentelle und theoretische Untersuchungen zur Kristallisation eutektischer Systeme. Master's Thesis  (1996)	
2	Van de Vloed A.: Un nouvel Etat Mesomorphe. Bull.Soc.Chim.Belg. 48 (1939) 229-268	
3	Martin C.A.: Specific Heat Anomalies in Some Organic Compounds. Proceedings of the International Conference on Thermal Analysis 7.2 (1982) 829-835	
4	Aufderhaar O.: Experimentelle Bestimmung kalorischer Daten mit einem Tian-Calvet Kalorimeter und Korrelation von Dampfdruckdaten reiner Stoffe mit einer erweiterten Antoine-Gleichung. Master's Thesis  (1996)	
$$$Heat of Transition	
T [K]	Molar Enthalpy [J/mol]	State	Reference	
	879.20	Solid-Solid	2	
216.90	897.90	Solid-Solid	1	
218.00	800.00	Crystal 2 > Crystal 1	3	
218.60	879.20	Solid-Solid	4	
Number	Source	
1	Putnam W.E.; McEachern D.M.; Kilpatrick J.E.: Entropy and Related Thermodynamic Properties of Acetonitrile (Methylcyanide). J.Chem.Phys. 42 (1965) 749-755	
2	Kreutz J.: Experimentelle und theoretische Untersuchungen zur Kristallisation eutektischer Systeme. Master's Thesis  (1996)	
3	Martin C.A.: Specific Heat Anomalies in Some Organic Compounds. Proceedings of the International Conference on Thermal Analysis 7.2 (1982) 829-835	
4	Aufderhaar O.: Experimentelle Bestimmung kalorischer Daten mit einem Tian-Calvet Kalorimeter und Korrelation von Dampfdruckdaten reiner Stoffe mit einer erweiterten Antoine-Gleichung. Master's Thesis  (1996)	
$$$Heat of Vaporization	
T [K]	Molar Enthalpy [J/mol]	State	Reference	
297.93	33238.00	Vapor-Liquid	3	
298.00	34476.20	Vapor-Liquid	4	
298.15	32928.10	Vapor-Liquid	1	
298.15	32940.00	Vapor-Liquid	2	
300.01	33213.00	Vapor-Liquid	3	
349.55	29316.70	Vapor-Liquid	6	
353.65	29819.00	Vapor-Liquid	5	
354.15	31055.00	Vapor-Liquid	5	
Number	Source	
1	Sherman S.R.; Suleiman D.; Hait M.J.; Schiller M.; Liotta C.L.; Eckert C.A.; Li J.; Carr P.W.; Poe R.B.; Rutan S.C.: Correlation of Partial Molar Heats of Transfer at Infinite Dilution by a Linear Solvation Energy Relationship. J.Phys.Chem. 99 (1995) 11239-11247	
2	Howard P.B.; Wadso I.: Enthalpies of vaporization of organic compounds. IV. Alkyl nitriles.. Acta Chem.Scand. 24 (1970) 145-149	
3	Putnam W.E.; McEachern D.M.; Kilpatrick J.E.: Entropy and Related Thermodynamic Properties of Acetonitrile (Methylcyanide). J.Chem.Phys. 42 (1965) 749-755	
4	Hall Jr. H.K.; Baldt J.H.: Thermochemistry of Strained-Ring Bridgehead Nitriles and Esters. J.Am.Chem.Soc. 93 (1971) 140-145	
5	Kahlenberg L.: On an Improved Method of Determining Latent Heat of Evaporation and on the Latent Heat of Evaporation of Pyridine, Acetonitrile and Benzonitrile. J.Phys.Chem. 5 (1901) 215-232	
6	Louguinine W.: The latent heat of vaporization of piperidine, pyridine, acetonitrile and capronitrile. (Fr). C.R.Hebd.Seanc.Acad.Sci.Paris 128 (1899) 366-369	
$$$Ideal Gas Heat Capacity	
T [K]	Ideal Gas Heat Capacity [J/(mol*K)]	State	Reference	
100.00	35.77	Ideal Gas	4	
200.00	44.10	Ideal Gas	4	
273.00	49.915	Ideal Gas	6	
273.15	50.17	Ideal Gas	5	
273.16	50.08	Ideal Gas	4	
291.16	51.67	Ideal Gas	2	
298.00	52.22	Ideal Gas	6	
298.15	52.34	Ideal Gas	5	
298.16	51.88	Ideal Gas	1	
298.16	52.22	Ideal Gas	4	
298.16	52.26	Ideal Gas	2	
300.00	52.05	Ideal Gas	1	
300.00	52.38	Ideal Gas	4	
300.00	52.43	Ideal Gas	2	
300.00	52.51	Ideal Gas	5	
323.00	54.89	Ideal Gas	6	
350.00	56.99	Ideal Gas	2	
373.00	59.08	Ideal Gas	6	
400.00	61.05	Ideal Gas	1	
400.00	61.17	Ideal Gas	4	
400.00	61.34	Ideal Gas	5	
400.00	61.51	Ideal Gas	2	
423.00	63.97	Ideal Gas	6	
450.00	65.81	Ideal Gas	2	
473.00	67.74	Ideal Gas	6	
500.00	69.41	Ideal Gas	4	
500.00	69.50	Ideal Gas	1	
500.00	69.66	Ideal Gas	5	
500.00	69.92	Ideal Gas	2	
550.00	73.97	Ideal Gas	2	
573.00	75.02	Ideal Gas	6	
600.00	76.78	Ideal Gas	4	
600.00	77.07	Ideal Gas	5	
600.00	77.28	Ideal Gas	2	
650.00	80.63	Ideal Gas	2	
673.00	82.09	Ideal Gas	6	
700.00	83.26	Ideal Gas	4	
700.00	83.55	Ideal Gas	5	
700.00	83.68	Ideal Gas	2	
750.00	86.40	Ideal Gas	1	
773.00	88.03	Ideal Gas	6	
800.00	88.95	Ideal Gas	4	
800.00	89.12	Ideal Gas	2	
800.00	89.20	Ideal Gas	5	
900.00	93.93	Ideal Gas	4	
900.00	94.14	Ideal Gas	2	
900.00	94.18	Ideal Gas	5	
1000.00	98.32	Ideal Gas	4	
1000.00	98.45	Ideal Gas	1	
1000.00	98.53	Ideal Gas	5	
1000.00	98.74	Ideal Gas	2	
1100.00	102.51	Ideal Gas	2	
1200.00	105.44	Ideal Gas	2	
1500.00	113.72	Ideal Gas	3	
2000.00	120.88	Ideal Gas	3	
2500.00	124.81	Ideal Gas	3	
3000.00	127.15	Ideal Gas	3	
3500.00	128.62	Ideal Gas	3	
4000.00	129.62	Ideal Gas	3	
4500.00	130.33	Ideal Gas	3	
5000.00	130.83	Ideal Gas	3	
5500.00	131.21	Ideal Gas	3	
6000.00	131.50	Ideal Gas	3	
Number	Source	
1	Günthard H.H.; Kováts E.: Thermodynamische Eigenschaften von Methylcyanid (Acetonitril). Helv.Chim.Acta 35 (1952) 1190-1191	
2	Thompson H.W.: The Free Energy of Methyl Cyanide, and Equilibrium Constants of some Related Reactions. Trans.Faraday Soc. 37 (1941) 344-352	
3	Spangenberg H.-J.; Börger I.; Schirmer W.: Thermodynamische Funktionen verschiedener Kohlenwasserstoff-Stickstoff-Verbindungen und -Radikale bei hohen Temperaturen und die Zusammensetzung von CHN-Plasmen. Z.Phys.Chem.(Leipzig) 255 (1974) 1-15	
4	Pillai M.G.K.; Cleveland F.F.: Potential energy constants, rotational distortion constants, and calculated thermodynamic properties for methyl cyanide and methyl isocyanide.. J.Mol.Spectrosc. 5 (1960) 212-217	
5	Crowder G.A.; Cook B.R.: Far-Infrared Spectra and Chemical Thermodynamic Properties. Discussion of an Entropy Discrepancy. J.Phys.Chem. 71 (1967) 914-916	
6	Ewell R.H.; Bourland J.F.: Thermodynamic Properties of Methyl Cyanide and Methyl Isocyanide. J.Chem.Phys. 8 (1940) 635-636	
$$$Kinematic Viscosity	
T [K]	Kinematic Viscosity [m2/s]	State	Reference	
278.15	5.36699985787E-07	Liquid	1	
278.15	5.4099996305E-07	Liquid	2	
278.15	5.64099991607E-07	Liquid	4	
283.00	5.69999997424E-07	Liquid	3	
288.15	4.89700028083E-07	Liquid	1	
293.00	5.21999993452E-07	Liquid	3	
298.15	4.48400015785E-07	Liquid	1	
303.00	4.80999972297E-07	Liquid	3	
308.15	4.20300011683E-07	Liquid	1	
313.00	4.46000001375E-07	Liquid	3	
318.15	3.87699998328E-07	Liquid	1	
323.00	4.11999991456E-07	Liquid	3	
Number	Source	
1	Nikiforov M.Yu.; Kondratev E.A.; Alper G.A.: Viskosität binärer chloroform- und acetonitrilhaltigen Nichtelektrolyt-Lösungen. Viniti  (1986) 1-7	
2	Anantaraman A.V.: I. Density and Viscosity of Binary Mixtures of n-Methylpyrrolidone - Tetrahydrofuran and Propylene Carbonate - Acetronitrile. Can.J.Chem. 64 (1986) 46-50	
3	Garcia B.; Ortega J.C.: Excess Viscosity n^E, Excess Volume V^E, and Excess Free Energy of Activation Delta G*E at 283, 293, 303, 313, and 323 K for Mixtures of Acetonitrile and Alkyl Benzoates. J.Chem.Eng.Data 33 (1988) 200-204	
4	Chiu R.M.-H.; Twu H.-C.; Huang C.-T.: Viscosities of Binary and Ternary Systems of Acrylonitrile, Acetonitrile and Water. Zhongguo-gongcheng-xuekan 7 (1984) 279-285	
$$$Melting Point	
T [K]	P [kPa]	State	Reference	
227.43	101.325	Solid-Liquid	2	
227.95		Solid-Liquid	5	
228.15		Solid-Liquid	4	
229.21		Solid-Liquid	6	
229.28	101.325	Solid-Liquid	1	
229.30		Solid-Liquid	3	
Number	Source	
1	Ott J.B.; Woodfield B.F.; Guanquan C.; Boerio-Goates J.; Goates J.R.: + trichlorofluoromethane, and + 1,1,1-trichlorotrifluoroethane. J.Chem.Thermodyn. 19 (1987) 177-184	
