Formula	Molar Mass	CAS Registry Number	Name
H2O	18.015	7732-18-5	Water
$$$Compressibility (isentropic)
T [K]	Compressibility (isentropic) [/kPa]	State	Reference
298.15	4.44600004812E-007	Liquid	1
Number	Source
1	Ramkumar D.H.S.; Kudchadker A.P.: 1. Densities of gamma-Butyrolactone + Water at 303.15 - 343.15 K and of Tetrahydrofuran + gamma-Butyrolactone at 278.15 - 298.15 K; Ultrasonic Velocities at 298.15 K for the Three Binary Systems Inclusive of Tetrahydrofurane + Water and the Ternary System Tetrahydrofuran + Water + gamma-Butyrolactone. J.Chem.Eng.Data 34 (1989) 459-463
$$$Compressibility (isothermal)
T [K]	P [kPa]	Compressibility (isothermal) [/kPa]	State	Reference
338.15	98.066	980.590	Liquid	2
338.15	154259.000	1040.400	Liquid	2
338.15	201723.000	1055.500	Liquid	2
338.15	208587.000	1057.800	Liquid	2
338.15	263210.000	1072.900	Liquid	2
338.15	269291.000	1075.200	Liquid	2
338.15	327542.000	1090.400	Liquid	2
338.15	334799.000	1092.700	Liquid	2
338.15	396679.000	1107.900	Liquid	2
338.15	405211.000	1110.200	Liquid	2
338.15	474152.000	1125.400	Liquid	2
338.15	504846.000	1131.900	Liquid	2
338.15	555351.000	1143.000	Liquid	2
338.15	590654.000	1149.900	Liquid	2
338.15	642041.000	1160.600	Liquid	2
338.15	680385.000	1167.400	Liquid	2
338.15	782080.000	1185.300	Liquid	2
338.15	883383.000	1203.400	Liquid	2
633.19	18684.600	514.057	Liquid	3
633.19	18686.600	492.992	Liquid	3
633.19	18732.701	528.198	Liquid	3
633.19	19616.201	542.282	Liquid	3
633.19	21580.500	564.063	Liquid	3
633.19	23532.000	579.599	Liquid	3
633.19	25503.201	592.172	Liquid	3
633.19	27464.500	602.675	Liquid	3
633.19	29432.701	611.920	Liquid	3
633.19	31399.900	620.328	Liquid	3
633.19	33071.000	626.767	Liquid	3
Number	Source
1	Babak S.F.: Viscosity and Density of Binary Mixtures of Nicotine. I.. Zh.Obshch.Khim. 19 (1949) 1604-1609
2	Borzunov V.A.; Razumikhin V.N.; Stekolnikov V.A.: Bestimmung der Dichte von n-Hexan und Wasser bei Drücken bis 10000 kg/cm². Teplofiz.Svoistva Vesh.Mater.  (1970) 146-152
3	Rivkin S.L.; Akhundov T.S.: Experimentelle Untersuchung der spezifischen Volumina von Wasser. Teploenergetika  (1962) 57-65
$$$Dielectric Constant
T [K]	P [kPa]	Dielectric Constant [-]	State	Reference
291.15		81.10000	Liquid	1
301.65	100.000	77.16600	Liquid	2
301.65	1000.000	77.20000	Liquid	2
301.65	4060.000	77.30901	Liquid	2
301.65	6959.000	77.41400	Liquid	2
301.65	9909.000	77.52100	Liquid	2
301.65	12160.000	77.60400	Liquid	2
308.14	100.000	74.91600	Liquid	2
308.14	1000.000	74.94801	Liquid	2
308.14	3995.000	75.05300	Liquid	2
308.14	7025.000	75.16000	Liquid	2
308.14	10009.000	75.26501	Liquid	2
308.14	12572.000	75.35600	Liquid	2
318.10	100.000	71.62200	Liquid	2
318.10	1005.000	71.65200	Liquid	2
318.10	4030.000	71.75301	Liquid	2
318.10	6995.000	71.85400	Liquid	2
318.10	10010.000	71.95500	Liquid	2
318.10	12350.000	72.03600	Liquid	2
328.52	100.000	68.30300	Liquid	2
328.52	1007.000	68.33601	Liquid	2
328.52	4012.000	68.43700	Liquid	2
328.52	7018.000	68.53800	Liquid	2
328.52	9975.000	68.63700	Liquid	2
328.52	12665.000	68.72701	Liquid	2
337.77	98.000	65.51000	Liquid	2
337.77	1005.000	65.54100	Liquid	2
337.77	4012.000	65.64000	Liquid	2
337.77	6999.000	65.73901	Liquid	2
337.77	9965.000	65.83900	Liquid	2
337.77	11765.000	65.90200	Liquid	2
Number	Source
1	Herz W.: Über Atom- und Molvolume beim Absoluten Nullpunkte. II.. Z.Anorg.Allg.Chem. 119 (1921) 221-224
2	Anderson G.S.; Miller R.C.; Goodwin A.R.H.: Static Dielectric Constants for Liquid Water from 300 K to 350 K at Pressures to 13 MPa Using a New Radio-Frequency Resonator. J.Chem.Eng.Data 45 (2000) 549-554
$$$Diffusion Coefficient
T [K]	P [kPa]	Diffusion Coefficient [cm2/s]	State	Reference
283.15		6.02999989496E-0006	Liquid	1
283.15		7.25000018065E-0006	Liquid	1
298.15		7.54999973651E-0006	Liquid	3
298.15		2.28000008065E-0005	Liquid	2
298.15	101.325	0.000023	Liquid	4
303.15		1.03599995782E-0005	Liquid	1
Number	Source
1	Baldauf W.; Knapp H.: Experimental Determination of Diffusion Coefficients, Viscosities, Densities and Refractive Indexes of 11 Binary Liquid Systems. Ber.Bunsen-Ges.Phys.Chem. 87 (1983) 304-309
2	Walderhaug H.; Knudsen K.D.: Effect of Temperature and Oil Concentration. J.Solution Chem. 41 (2012) 367-379
3	Mouquin H.; Cathcart W.H.: Diffusion Coefficients in Alcohol-Water Mixtures. J.Am.Chem.Soc. 57 (1935) 1791-1794
4	Andanson J.-M.; Traikia M.; Husson P.: Ionic association and interactions in aqueous methylsulfate alkyl-imidazolium-based ionic liquids. J.Chem.Thermodyn. 77 (2014) 214-221
$$$Dynamic Viscosity
T [K]	P [kPa]	Dynamic Viscosity [mPas]	State	Reference
298.15		0.8941	Liquid	1
308.15		0.7205	Liquid	1
323.15		0.5497	Liquid	1
548.15	2546.000	0.01896	Vapor	2
548.15	3585.000	0.01878	Vapor	2
573.15	6792.000	0.01962	Vapor	2
573.15	7923.000	0.01942	Vapor	2
598.15	3044.000	0.02107	Vapor	2
598.15	3547.000	0.02107	Vapor	2
598.15	4543.000	0.02094	Vapor	2
598.15	4791.000	0.0209	Vapor	2
598.15	5535.000	0.02097	Vapor	2
598.15	5537.000	0.02096	Vapor	2
598.15	5977.000	0.02107	Vapor	2
598.15	6288.000	0.02085	Vapor	2
598.15	6785.000	0.02083	Vapor	2
598.15	6786.000	0.02092	Vapor	2
598.15	6971.000	0.02098	Vapor	2
598.15	7079.000	0.02094	Vapor	2
598.15	7082.000	0.02105	Vapor	2
598.15	7757.000	0.02094	Vapor	2
598.15	7758.000	0.02098	Vapor	2
598.15	7970.000	0.02102	Vapor	2
598.15	8527.000	0.02089	Vapor	2
598.15	8530.000	0.02082	Vapor	2
598.15	8774.000	0.02076	Vapor	2
598.15	9262.000	0.02065	Vapor	2
598.15	9522.000	0.02072	Vapor	2
598.15	10025.000	0.02076	Vapor	2
598.15	10026.000	0.02078	Vapor	2
598.15	10770.000	0.02092	Vapor	2
598.15	10772.000	0.02087	Vapor	2
598.15	10960.000	0.02086	Vapor	2
623.15	4296.000	0.02227	Vapor	2
623.15	4596.000	0.02237	Vapor	2
623.15	6035.000	0.02228	Vapor	2
623.15	6290.000	0.0222	Vapor	2
623.15	7087.000	0.02218	Vapor	2
623.15	7531.000	0.0223	Vapor	2
623.15	7537.000	0.02227	Vapor	2
623.15	8283.000	0.02211	Vapor	2
623.15	8586.000	0.0222	Vapor	2
623.15	9026.000	0.02216	Vapor	2
623.15	9779.000	0.02206	Vapor	2
623.15	10090.000	0.02217	Vapor	2
623.15	10521.000	0.02215	Vapor	2
623.15	11270.000	0.02209	Vapor	2
623.15	11275.000	0.02211	Vapor	2
623.15	12268.000	0.02227	Vapor	2
623.15	13145.000	0.02231	Vapor	2
623.15	13517.000	0.02241	Vapor	2
623.15	13518.000	0.02233	Vapor	2
623.15	14181.000	0.02244	Vapor	2
648.15	5544.000	0.02365	Vapor	2
648.15	7038.000	0.02352	Vapor	2
648.15	8534.000	0.02356	Vapor	2
648.15	10030.000	0.02341	Vapor	2
648.15	11753.000	0.02338	Vapor	2
648.15	13021.000	0.02363	Vapor	2
648.15	14333.000	0.02367	Vapor	2
Number	Source
1	Babak S.F.: Viscosity and Density of Binary Mixtures of Nicotine. I.. Zh.Obshch.Khim. 19 (1949) 1604-1609
2	Rivkin S.L.; Levin A.Ya.; Izrailevskii L.B.: Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar. Teploenergetika  (1968) 74-78
$$$Enthalpy
T [K]	Molar Enthalpy [J/mol]	State	Reference
273.16	0.011024	Liquid	1
273.16	45055.40	Vapor	1
373.15	7551.64	Liquid	1
373.15	48217.90	Vapor	1
647.14	37589.70	Liquid	1
Number	Source
1	Saul A.; Wagner W.: International Equations for the Saturation Properties of Ordinary Water Substance. J.Phys.Chem.Ref.Data 16 (1987) 893-901
$$$Entropy
T [K]	Molar Entropy [J/(mol*K)]	State	Reference
298.00	188.70	Vapor	3
298.00	188.71	Vapor	2
298.00	188.74	Vapor	1
298.10	188.70	Vapor	4
463.10	203.55	Vapor	4
485.00	205.48	Vapor	4
Number	Source
1	Brickwedde F.G.; Moskow M.; Aston J.G.: Equilibrium Constants of some Reactions Involved in the Production Of1,3-Butadiene.. J.Res. NBS 37 (1946) 263-279
2	McBride B.J.; Gordon S.: Thermodynamic functions of several triatomic molecules in the ideal gas state.. J.Chem.Phys. 35 (1961) 2198-2206
3	Gordon A.R.: Calculation of thermodynamic quantities from spectroscopic data for polyatomic molecules; the free energy, entropy and heat capacity of steam.. J.Chem.Phys. 2 (1934) 65-72
4	Giauque W.F.; Archibald R.C.: The Entropy of Water from the Third Law of Thermodynamics. The Dissociation Pressure and Calorimetric Heat for the Reaction Mg(OH)2 = MgO + H2O. The Heat Capacities of Mg(OH)2 and MgO from 20 to 300°K. J.Am.Chem.Soc. 59 (1937) 561-569
$$$G-function (G-G0)/T
T [K]	G-function (G-G0)/T [J/(mol*K)]	State	Reference
50.00	-96.71	Vapor	3
60.00	-102.64	Vapor	3
70.00	-107.68	Vapor	3
80.00	-112.05	Vapor	3
90.00	-115.92	Vapor	3
100.00	-119.38	Vapor	2
110.00	-122.52	Vapor	3
120.00	-125.38	Vapor	3
130.00	-128.02	Vapor	3
140.00	-130.47	Vapor	3
150.00	-132.75	Vapor	3
160.00	-134.88	Vapor	3
170.00	-136.88	Vapor	3
180.00	-138.77	Vapor	3
190.00	-140.56	Vapor	3
200.00	-142.26	Vapor	2
210.00	-143.87	Vapor	3
220.00	-145.41	Vapor	3
230.00	-146.89	Vapor	3
240.00	-148.30	Vapor	3
250.00	-149.65	Vapor	3
260.00	-150.95	Vapor	3
270.00	-152.22	Vapor	3
