Formula	Molar Mass	CAS Registry Number	Name
C4H10O	74.123	60-29-7	Diethyl ether
$$$Critical Data
T [K]	P [kPa]	State	Reference
463.37		Critical Point	1
466.73		Critical Point	5
466.74	3637.600	Critical Point	3
466.75		Critical Point	6
467.40		Critical Point	2
467.55		Critical Point	4
Number	Source
1	Audant M.: Contribution to the Study on the Critical State of Ethyl Ether. C.R.Hebd.Seanc.Acad.Sci.Paris 170 (1920) 1573-1575
2	Rätzsch M.: Kritische Temperaturen binärer Systeme. Z.Phys.Chem.(Leipzig) 243 (1970) 212-220
3	Ambrose D.; Sprake C.H.S.; Townsend R.: XXIX. The Vapour Pressure of Diethyl Ether. J.Chem.Thermodyn. 4 (1972) 247-254
4	Centnerszwer M.: Determination of the critical volumes using the method of Cailletet and Mathias. (Ger). Z.Phys.Chem.(Leipzig) 46 (1903) 199-207
5	Young F.B.: Critical phenomena at ether. (Ger). Chem.Zentralbl. 2 (1910) 1854-1854
6	Travers M.W.; Usher F.L.: Behaviour of some substances at critical temperature. (Ger). Chem.Zentralbl. 2 (1907) 4-5
$$$Density
T [K]	P [kPa]	Density [kg/m3]	State	Reference
2	Counsell J.F.; Lee D.A.; Martin J.F.: Thermodynamic properties of organic oxygen compounds. Part XXVI. Diethyl ether.. J.Chem.Soc.A  (1971) 313-316
$$$G-function (G-G0)/T
T [K]	G-function (G-G0)/T [J/(mol*K)]	State	Reference
100.00	-199.18	Vapor	1
150.00	-218.73	Vapor	1
200.00	-235.55	Vapor	1
273.15	-257.15	Vapor	1
298.15	-263.88	Vapor	1
300.00	-264.37	Vapor	1
400.00	-288.89	Vapor	1
500.00	-310.76	Vapor	1
600.00	-330.88	Vapor	1
700.00	-349.69	Vapor	1
800.00	-367.44	Vapor	1
900.00	-384.31	Vapor	1
1000.00	-400.41	Vapor	1
1100.00	-415.81	Vapor	1
1200.00	-430.58	Vapor	1
1300.00	-444.78	Vapor	1
1400.00	-458.46	Vapor	1
1500.00	-471.64	Vapor	1
Number	Source
1	Chao J.; Hall K.R.; Marsh K.N.; Wilhoit R.C.: Thermodynamic properties of key organic oxygen compounds in the carbon range C1 to C4. Part 2. Ideal gas properties.. J.Phys.Chem.Ref.Data 15 (1986) 1369-1436
$$$Heat of Fusion
T [K]	Molar Enthalpy [J/mol]	State	Reference
149.86	6820.00	Metastable Solid-Liquid-Vapor	1
156.92	7190.00	Solid-Liquid-Vapor	1
Number	Source
1	Counsell J.F.; Lee D.A.; Martin J.F.: Thermodynamic properties of organic oxygen compounds. Part XXVI. Diethyl ether.. J.Chem.Soc.A  (1971) 313-316
$$$Heat of Vaporization
T [K]	Molar Enthalpy [J/mol]	State	Reference
273.25	28067.00	Vapor-Liquid	3
280.69	28147.00	Vapor-Liquid	6
284.95	27549.00	Vapor-Liquid	3
289.39	27620.00	Vapor-Liquid	6
295.63	27247.00	Vapor-Liquid	6
298.15	27140.00	Vapor-Liquid	4
298.15	27237.80	Vapor-Liquid	1
307.14	26714.00	Vapor-Liquid	5
307.58	26508.00	Vapor-Liquid	6
307.60	26600.00	Vapor-Liquid	2
313.15	26170.00	Vapor-Liquid	4
Number	Source
1	Sherman S.R.; Suleiman D.; Hait M.J.; Schiller M.; Liotta C.L.; Eckert C.A.; Li J.; Carr P.W.; Poe R.B.; Rutan S.C.: Correlation of Partial Molar Heats of Transfer at Infinite Dilution by a Linear Solvation Energy Relationship. J.Phys.Chem. 99 (1995) 11239-11247
2	Matyushov D.V.; Schmid R.: Properties of Liquids at the Boiling Point: Equation of State, Internal Pressure and Vaporization Entropy. Int.J.Phys.Chem.Ber.Bunsen-Ges. 98 (1994) 1590-1595
3	Keyes F.G.; Beattie J.A.: A calorimeter for measuring specific heats and heats of vaporization of liquids. The specific heat and heat of vaporization of liquid ethyl ether at 0° and 12°.. J.Am.Chem.Soc. 46 (1924) 1753-1760
4	Majer V.; Wagner Z.; Svoboda V.; Cadek V.: Enthalpies of vaporization and cohesive energies for a group of aliphatic ethers. J.Chem.Thermodyn. 12 (1980) 387-391
5	Mathews J.H.: The Accurate Measurement of the Heats of Vaporization of Liquids. J.Am.Chem.Soc. 48 (1926) 562-576
6	Counsell J.F.; Lee D.A.; Martin J.F.: Thermodynamic properties of organic oxygen compounds. Part XXVI. Diethyl ether.. J.Chem.Soc.A  (1971) 313-316
$$$Ideal Gas Heat Capacity
T [K]	Ideal Gas Heat Capacity [J/(mol*K)]	State	Reference
100.00	62.50	Ideal Gas	2
150.00	84.80	Ideal Gas	2
200.00	95.97	Ideal Gas	1
200.00	99.70	Ideal Gas	2
273.15	114.30	Ideal Gas	2
280.00	114.00	Ideal Gas	1
298.15	119.46	Ideal Gas	2
300.00	119.86	Ideal Gas	2
317.49	120.21	Ideal Gas	4
340.48	127.95	Ideal Gas	4
372.00	128.03	Ideal Gas	3
372.31	134.47	Ideal Gas	4
400.00	135.14	Ideal Gas	3
400.00	142.81	Ideal Gas	2
450.00	147.70	Ideal Gas	3
500.00	159.83	Ideal Gas	3
500.00	165.77	Ideal Gas	2
600.00	186.35	Ideal Gas	2
700.00	204.35	Ideal Gas	2
800.00	220.04	Ideal Gas	2
900.00	233.74	Ideal Gas	2
1000.00	245.68	Ideal Gas	2
1100.00	256.08	Ideal Gas	2
1200.00	265.12	Ideal Gas	2
1300.00	272.97	Ideal Gas	2
1400.00	279.81	Ideal Gas	2
1500.00	285.76	Ideal Gas	2
Number	Source
1	Eucken A.; Franck E.U.: Rotation in ether and alcohol molecules on the basis of determination of molar heat capacity. (Ger). Z.Elektrochem.Angew.Physik.Chem. 52 (1948) 195-204
2	Chao J.; Hall K.R.; Marsh K.N.; Wilhoit R.C.: Thermodynamic properties of key organic oxygen compounds in the carbon range C1 to C4. Part 2. Ideal gas properties.. J.Phys.Chem.Ref.Data 15 (1986) 1369-1436
3	Valentin F.H.H.: Equilibrium and Thermodynamic Relation in the Vapour-phase Catalytic Dehyrdation of Ethyl Alcohol to Ethyl Ether. J.Chem.Soc.London  (1950) 498-500
4	Jennings W.H.; Bixler M.E.: Specific heat of furan and ethyl ether vapors.. J.Phys.Chem. 38 (1934) 747-751
$$$Kinematic Viscosity
T [K]	P [kPa]	Kinematic Viscosity [m2/s]	State	Reference
205.65		8.72999976309E-07	Liquid	1
213.15		7.86999976299E-07	Liquid	1
220.65		7.09999994797E-07	Liquid	1
228.15		6.42999964384E-07	Liquid	1
235.65		5.83999963055E-07	Liquid	1
243.15		5.32000001385E-07	Liquid	1
250.65		4.88000011956E-07	Liquid	1
258.15		4.48999998071E-07	Liquid	1
265.65		4.16999995423E-07	Liquid	1
273.15		3.88999978895E-07	Liquid	1
280.65		3.6499997691E-07	Liquid	1
457.65	2458.530	3.8199999608E-07	Vapor	2
457.65	2528.150	3.6699998418E-07	Vapor	2
457.65	2641.910	3.47999986161E-07	Vapor	2
457.65	2764.490	3.23999984175E-07	Vapor	2
457.65	2889.040	3.09999990122E-07	Vapor	2
457.65	2964.550	2.91999981528E-07	Vapor	2
457.65	3043.980	2.7699999805E-07	Vapor	2
457.65	3118.510	2.61999986151E-07	Vapor	2
457.65	3133.220	1.6999999275E-07	Vapor	2
457.65	3235.210	1.6999999275E-07	Vapor	2
457.65	3285.230	1.70999996385E-07	Vapor	2
457.65	3344.070	1.70999996385E-07	Vapor	2
457.65	3730.450	1.6999999275E-07	Vapor	2
457.65	4173.710	1.72999989445E-07	Vapor	2
457.65	4261.970	1.7200000002E-07	Vapor	2
457.65	4326.690	1.7200000002E-07	Vapor	2
457.65	4422.800	1.73999993081E-07	Vapor	2
457.65	4704.250	1.76000000351E-07	Vapor	2
457.65	5204.390	1.7200000002E-07	Vapor	2
457.65	5792.790	1.73999993081E-07	Vapor	2
457.65	6260.570	1.73999993081E-07	Vapor	2
457.65	6751.880	1.76000000351E-07	Vapor	2
457.65	7067.650	1.74999996716E-07	Vapor	2
467.75	2627.200	3.76999992113E-07	Vapor	2
467.75	2755.670	3.52000000703E-07	Vapor	2
467.75	2897.860	3.30999995413E-07	Vapor	2
467.75	3038.100	3.10999979547E-07	Vapor	2
467.75	3206.770	2.85999988137E-07	Vapor	2
467.75	3281.300	2.74000001355E-07	Vapor	2
467.75	3382.310	2.61999986151E-07	Vapor	2
467.75	3526.470	2.37999998376E-07	Vapor	2
467.75	3553.930	2.37999998376E-07	Vapor	2
467.75	3595.120	2.21999997052E-07	Vapor	2
467.75	3634.340	2.10999999695E-07	Vapor	2
467.75	3661.800	1.66999996054E-07	Vapor	2
467.75	3701.030	1.63999999359E-07	Vapor	2
467.75	3756.930	1.65999992419E-07	Vapor	2
467.75	3871.670	1.63999999359E-07	Vapor	2
467.75	3926.580	1.64999988783E-07	Vapor	2
467.75	4023.670	1.6799999969E-07	Vapor	2
467.75	4064.860	1.66999996054E-07	Vapor	2
467.75	4275.700	1.65999992419E-07	Vapor	2
467.75	4415.930	1.65999992419E-07	Vapor	2
467.75	4550.290	1.66999996054E-07	Vapor	2
467.75	4911.170	1.66999996054E-07	Vapor	2
467.75	5205.370	1.65999992419E-07	Vapor	2
467.75	5680.990	1.65999992419E-07	Vapor	2
467.75	6176.230	1.64999988783E-07	Vapor	2
467.75	6686.170	1.65999992419E-07	Vapor	2
467.75	7122.570	1.6799999969E-07	Vapor	2
468.75	3601.000	2.31999990774E-07	Vapor	2
468.75	3628.460	2.15000000026E-07	Vapor	2
468.75	3698.090	1.91999987464E-07	Vapor	2
468.75	3747.120	1.68999989114E-07	Vapor	2
468.75	3813.810	1.66999996054E-07	Vapor	2
468.75	3908.930	1.63999999359E-07	Vapor	2
468.75	4112.910	1.63999999359E-07	Vapor	2
468.75	4307.080	1.61999992088E-07	Vapor	2
468.75	4513.020	1.64999988783E-07	Vapor	2
469.75	2656.620	3.8199999608E-07	Vapor	2
469.75	2908.650	3.36999988804E-07	Vapor	2
469.75	3206.770	2.90999992103E-07	Vapor	2
469.75	3479.400	2.56999982184E-07	Vapor	2
469.75	3620.610	2.33999998045E-07	Vapor	2
469.75	3694.160	2.16999993086E-07	Vapor	2
469.75	3765.750	1.84000001013E-07	Vapor	2
469.75	3784.390	1.7200000002E-07	Vapor	2
469.75	3832.440	1.65999992419E-07	Vapor	2
469.75	3893.240	1.63999999359E-07	Vapor	2
469.75	3965.810	1.66999996054E-07	Vapor	2
469.75	4063.880	1.65999992419E-07	Vapor	2
469.75	4118.790	1.6799999969E-07	Vapor	2
469.75	4202.150	1.64999988783E-07	Vapor	2
469.75	4318.850	1.62999995723E-07	Vapor	2
469.75	4435.550	1.65999992419E-07	Vapor	2
469.75	4526.750	1.64999988783E-07	Vapor	2
469.75	4607.160	1.66999996054E-07	Vapor	2
473.15	2953.760	3.35999999379E-07	Vapor	2
473.15	3094.000	3.14000004664E-07	Vapor	2
473.15	3229.330	2.98999992765E-07	Vapor	2
473.15	3378.390	2.79999994746E-07	Vapor	2
473.15	3474.500	2.68999997388E-07	Vapor	2
473.15	3565.700	2.58999989455E-07	Vapor	2
473.15	3662.780	2.44999995402E-07	Vapor	2
473.15	3755.950	2.31999990774E-07	Vapor	2
473.15	3842.250	2.1399999639E-07	Vapor	2
473.15	3916.780	1.93999994735E-07	Vapor	2
473.15	3966.790	1.80999990107E-07	Vapor	2
473.15	4059.950	1.7200000002E-07	Vapor	2
473.15	4138.410	1.68999989114E-07	Vapor	2
473.15	4211.960	1.66999996054E-07	Vapor	2
473.15	4416.920	1.6799999969E-07	Vapor	2
473.15	4515.960	1.66999996054E-07	Vapor	2
473.15	4614.030	1.6799999969E-07	Vapor	2
473.15	4700.330	1.68999989114E-07	Vapor	2
473.15	4804.280	1.6799999969E-07	Vapor	2
473.15	5108.280	1.65999992419E-07	Vapor	2
473.15	5315.200	1.64999988783E-07	Vapor	2
473.15	5402.480	1.64999988783E-07	Vapor	2
473.15	6009.510	1.63999999359E-07	Vapor	2
473.15	6492.000	1.63999999359E-07	Vapor	2
473.15	7389.310	1.65999992419E-07	Vapor	2
Number	Source
1	Simons J.H.; Dresdner R.D.: The Viscosity of Hydrogen Fluoride. J.Am.Chem.Soc. 66 (1944) 1070-1072
2	Schröer E.; Becker G.: V: Beitrag zur Kenntnis der Zähigkeit im kritischen Zustand. Z.Phys.Chem.Abt.A 173 (1935) 178-197
$$$Melting Point
T [K]	P [kPa]	State	Reference
151.15		Solid-Liquid	5
155.45		Solid-Liquid	4
156.75		Solid-Liquid	2
156.90	101.325	Solid-Liquid	1
156.95		Solid-Liquid	3
Number	Source
1	Lebedev B.V.; Kulagina T.G.; Karatayev Ye.N.: Thermodynamics of the complex (C2H5)2Zn.O(C2H5)2 at temperatures from 0 to 330 K.. J.Chem.Thermodyn. 25 (1993) 957-964
2	Sapgir S.: VII. Application de l'analyse thermique à des mélanges binaires de composés organiques fondant à tres basse temperature. Bull.Soc.Chim.Belg. 38 (1929) 392-408
3	Timmermans J.: XII. Application de l'analyse thermique à la détermination de la chaleur de fusion de quelques composés organiques. Bull.Soc.Chim.Belg. 43 (1934) 626-638
4	Hirai M.: Melting Curves of the Systems Hydrogen Chloride-Ethyl Ether and Hydrogen Chloride-Acetone. Bull.Chem.Soc.Japan 1 (1926) 123-125
5	Joukovsky N.I.: XI. Contribution a l'Etude des Proprietes Thermodynamiques des Solutions Concentrees de Composes Organiques Azotes de la Serie Grasse. Bull.Soc.Chim.Belg. 43 (1934) 397-446
$$$Molar Heat Capacity (cP)
T [K]	Molar Heat Capacity (cP) [J/(mol*K)]	State	Reference
15.84	6.889	Crystal 1	3
16.39	7.477	Crystal 1	3
17.56	8.675	Crystal 1	3
19.03	10.31	Crystal 1	3
20.66	12.02	Crystal 1	3
22.52	14.08	Crystal 1	3
24.47	16.31	Crystal 1	3
26.56	18.57	Crystal 1	3
28.87	21.09	Crystal 1	3
31.55	23.96	Crystal 1	3
34.58	27.21	Crystal 1	3
37.76	30.51	Crystal 1	3
41.07	33.75	Crystal 1	3
44.38	36.83	Crystal 1	3
47.48	39.63	Crystal 1	3
50.31	42.09	Crystal 1	3
52.94	44.41	Crystal 1	3
55.39	46.44	Crystal 1	3
57.15	47.86	Crystal 1	3
57.70	48.26	Crystal 1	3
59.04	49.25	Crystal 1	3
59.90	50.07	Crystal 1	3
61.07	50.78	Crystal 1	3
62.02	50.85	Crystal 1	3
62.83	52.03	Crystal 1	3
64.06	52.75	Crystal 1	3
64.33	53.00	Crystal 1	3
65.44	53.72	Crystal 1	3
65.79	53.92	Crystal 1	3
66.01	54.06	Crystal 1	3
67.21	54.84	Crystal 1	3
67.90	55.21	Crystal 1	3
68.71	55.82	Crystal 1	3
69.72	56.47	Crystal 1	3
69.73	56.88	Crystal 1	3
71.52	57.74	Crystal 1	3
72.87	58.45	Crystal 1	3
73.54	58.91	Crystal 1	3
76.10	62.33	Solid	1
76.83	61.08	Crystal 1	3
77.48	61.49	Crystal 1	3
80.61	63.48	Crystal 1	3
81.22	63.87	Crystal 1	3
82.50	65.75	Solid	1
84.22	65.65	Crystal 1	3
84.81	65.98	Crystal 1	3
87.70	67.46	Crystal 1	3
88.27	67.70	Crystal 1	3
89.10	68.85	Solid	1
91.06	69.51	Crystal 1	3
91.62	69.89	Crystal 1	3
93.40	70.40	Solid	1
94.32	71.12	Crystal 1	3
94.87	71.39	Crystal 1	3
95.50	72.26	Solid	1
96.70	72.26	Solid	1
98.03	72.87	Crystal 1	3
98.18	72.95	Crystal 1	3
98.30	73.19	Solid	1
102.60	75.08	Crystal 1	3
103.40	75.67	Solid	1
103.70	75.67	Solid	1
106.88	77.04	Crystal 1	3
110.50	78.77	Solid	1
110.80	79.08	Solid	1
111.05	78.96	Crystal 1	3
112.00	79.39	Solid	1
114.50	80.32	Solid	1
115.12	81.07	Crystal 1	3
119.09	82.42	Crystal 1	3
122.98	83.96	Crystal 1	3
123.30	84.04	Solid	1
123.40	84.04	Solid	1
126.80	84.00	Crystal 1	3
130.70	88.03	Crystal 1	3
131.10	87.76	Solid	1
135.20	89.00	Solid	1
135.68	90.21	Crystal 1	3
139.79	97.52	Metastable Crystal	3
140.36	96.56	Metastable Crystal	3
140.55	92.49	Crystal 1	3
142.43	100.40	Metastable Crystal	3
142.66	100.70	Metastable Crystal	3
144.90	105.80	Metastable Crystal	3
145.00	106.10	Metastable Crystal	3
145.31	95.03	Crystal 1	3
148.26	97.37	Crystal 1	3
149.44	98.65	Crystal 1	3
150.61	100.40	Crystal 1	3
152.63	107.70	Crystal 1	3
159.89	147.60	Liquid	3
160.10	147.70	Liquid	3
162.54	148.20	Liquid	3
163.63	148.40	Liquid	3
164.40	147.31	Liquid	1
167.35	149.20	Liquid	3
171.04	150.00	Liquid	3
174.71	150.70	Liquid	3
178.35	151.40	Liquid	3
181.97	152.10	Liquid	3
185.57	152.80	Liquid	3
186.10	151.96	Liquid	1
189.14	153.50	Liquid	3
195.60	154.44	Liquid	1
200.00	155.65	Liquid	2
201.60	155.37	Liquid	1
205.48	156.10	Liquid	3
205.50	156.61	Liquid	1
210.03	156.80	Liquid	3
213.50	157.23	Liquid	1
214.54	157.50	Liquid	3
219.04	158.30	Liquid	3
223.50	159.10	Liquid	3
225.00	158.99	Liquid	2
227.95	160.00	Liquid	3
232.37	160.50	Liquid	3
236.77	161.20	Liquid	3
239.07	161.50	Liquid	3
241.14	161.90	Liquid	3
241.77	162.00	Liquid	3
243.41	162.20	Liquid	3
245.50	162.60	Liquid	3
246.10	162.60	Liquid	3
249.83	163.20	Liquid	3
250.00	161.92	Liquid	2
250.40	163.40	Liquid	3
254.15	164.00	Liquid	3
254.68	164.10	Liquid	3
258.44	164.80	Liquid	3
258.94	164.80	Liquid	3
262.72	165.50	Liquid	3
263.19	165.60	Liquid	3
266.97	166.20	Liquid	3
267.41	166.20	Liquid	3
271.21	167.00	Liquid	3
271.61	167.10	Liquid	3
273.00	167.78	Liquid	2
275.20	168.70	Liquid	1
275.80	167.80	Liquid	3
279.97	168.60	Liquid	3
280.20	169.64	Liquid	1
284.12	169.50	Liquid	3
286.00	170.26	Liquid	1
288.25	170.30	Liquid	3
290.00	170.88	Liquid	1
290.00	171.13	Liquid	2
291.35	171.00	Liquid	3
