Formula	Molar Mass	CAS Registry Number	Name	
N2	28.013	7727-37-9	Nitrogen	
$$$Compressibility Factor (isothermal)	
T [K]	P [kPa]	Compressibility Factor (isothermal) [-]	State	Reference	
500.00	100000.000	412.000	Supercritical	2	
600.00	100000.000	362.000	Supercritical	2	
700.00	100000.000	323.000	Supercritical	2	
800.00	100000.000	292.000	Supercritical	2	
900.00	100000.000	267.000	Supercritical	2	
1000.00	100000.000	246.000	Supercritical	2	
1100.00	100000.000	228.000	Supercritical	2	
1200.00	100000.000	213.000	Supercritical	2	
1300.00	100000.000	200.000	Supercritical	2	
1400.00	100000.000	188.000	Supercritical	2	
1500.00	100000.000	179.000	Supercritical	2	
1600.00	100000.000	169.000	Supercritical	2	
1700.00	100000.000	161.000	Supercritical	2	
1800.00	100000.000	153.000	Supercritical	2	
Number	Source	
1	Tsiklis D.S.; Polyakov E.V.: Nitrogen Compressibility at Pressures up to 10,000 atm and Temperatures to 400 °. Dokl.Akad.Nauk SSSR 176 (1967) 308-311	
2	Antanovich A.A.; Plotnikov M.A.: Untersuchung  thermodynamischer  Eigenschaften von Stickstoff bei Drücken bis  8kbar und Temperaturen bis  1800K. Inzh.Fiz.Zh. 33 (1977) 280-286	
$$$Dielectric Constant	
T [K]	P [kPa]	Dielectric Constant [-]	State	Reference	
91.00		1.39320	Liquid	2	
91.00	410.000	1.39288	Liquid	3	
91.00	2000.000	1.39666	Liquid	3	
91.00	3940.000	1.40088	Liquid	3	
91.00	5910.000	1.40500	Liquid	3	
91.00	8030.000	1.40900	Liquid	3	
91.00	9990.000	1.41253	Liquid	3	
91.00	12040.000	1.41594	Liquid	3	
91.00	14070.000	1.41920	Liquid	3	
91.00	15960.000	1.42198	Liquid	3	
91.00	18020.000	1.42494	Liquid	3	
91.00	19890.000	1.42748	Liquid	3	
100.00		1.36340	Liquid	2	
100.00	790.000	1.36371	Liquid	3	
100.00	1990.000	1.36780	Liquid	3	
100.00	4050.000	1.37420	Liquid	3	
100.00	5990.000	1.37963	Liquid	3	
100.00	8010.000	1.38472	Liquid	3	
100.00	10010.000	1.38925	Liquid	3	
100.00	12020.000	1.39348	Liquid	3	
100.00	14040.000	1.39743	Liquid	3	
100.00	15940.000	1.40090	Liquid	3	
100.00	17930.000	1.40440	Liquid	3	
100.00	19890.000	1.40780	Liquid	3	
108.00		1.33280	Liquid	2	
108.00	1330.000	1.33301	Liquid	3	
108.00	2030.000	1.33690	Liquid	3	
108.00	3970.000	1.34601	Liquid	3	
108.00	5970.000	1.35417	Liquid	3	
108.00	8030.000	1.36116	Liquid	3	
108.00	10040.000	1.36715	Liquid	3	
108.00	12070.000	1.37256	Liquid	3	
108.00	13930.000	1.37712	Liquid	3	
108.00	16010.000	1.38169	Liquid	3	
108.00	17960.000	1.38581	Liquid	3	
108.00	19950.000	1.38981	Liquid	3	
115.00		1.30010	Liquid	2	
273.15	1013.250	1.00609	Vapor	1	
273.15	2026.500	1.01220	Vapor	1	
273.15	4053.000	1.02468	Vapor	1	
273.15	6079.500	1.03732	Vapor	1	
273.15	8106.000	1.04999	Vapor	1	
273.15	10132.500	1.06262	Vapor	1	
273.15	15198.800	1.09343	Vapor	1	
273.15	20265.000	1.12170	Vapor	1	
273.15	25331.201	1.14730	Vapor	1	
373.15	1013.250	1.00446	Vapor	1	
373.15	2026.500	1.00883	Vapor	1	
373.15	4053.000	1.01770	Vapor	1	
373.15	6079.500	1.02662	Vapor	1	
373.15	8106.000	1.03528	Vapor	1	
373.15	10132.500	1.04389	Vapor	1	
373.15	15198.800	1.06448	Vapor	1	
373.15	20265.000	1.08353	Vapor	1	
373.15	25331.201	1.10060	Vapor	1	
Number	Source	
1	Uhlig H.H.; Kirkwood J.G.; Keyes F.G.: The Dependence of the Dielectric Constants of Gases on Temperature and Density. J.Chem.Phys. 1 (1933) 155-159	
2	Pan W.P.; Mady M.H.; Miller R.C.: Systems Containing Nitrogen, Argon and Light Hydrocarbons. AIChE J. 21 (1975) 283-289	
3	Singh S.P.; Miller R.C.: Compressed-Liquid Dielectric Constants and Derived Excess Volumes for Simple Liquid Mixtures: N2 + CH4 and Ar + CH4. J.Chem.Thermodyn. 10 (1978) 747-763	
$$$Diffusion Coefficient	
T [K]	P [kPa]	Diffusion Coefficient [cm2/s]	State	Reference	
77.65		0.0168	Vapor	2	
194.65		0.1040	Vapor	2	
273.15		0.1850	Vapor	2	
293.15	100.000	0.3040	Vapor	1	
298.15		0.2120	Vapor	2	
353.15		0.2870	Vapor	2	
Number	Source	
1	Stephan K.; Rothacker V.; Hurdelbrink W.: Thermal Diffusivities Determined by Photoacoustic Spectroscopy. Chem.Eng.Process. 26 (1989) 257-261	
2	Winn E.B.: The Temperature Dependence of the Self-Diffusion Coefficients of Argon, Neon, Nitrogen, Oxygen, Carbon Dioxide, and Methane. Phys.Rev. 80 (1950) 1024-1027	
$$$Dynamic Viscosity	
T [K]	P [kPa]	Dynamic Viscosity [mPas]	State	Reference	
273.15	9806.649	0.0189	Vapor	4	
273.15	29419.900	0.0270	Vapor	4	
273.15	49033.199	0.03575	Vapor	4	
273.15	68646.500	0.0440	Vapor	4	
273.15	93163.203	0.0530	Vapor	4	
273.15	133370.000	0.0670	Vapor	4	
273.15	156906.000	0.07505	Vapor	4	
273.15	172597.000	0.0802	Vapor	4	
273.15	211824.000	0.0930	Vapor	4	
273.15	249089.000	0.10475	Vapor	4	
273.15	282432.000	0.1149	Vapor	4	
273.15	327542.000	0.12815	Vapor	4	
280.15	9806.649	0.01925	Vapor	4	
280.15	29419.900	0.02675	Vapor	4	
280.15	49033.199	0.0353	Vapor	4	
280.15	88259.898	0.0502	Vapor	4	
280.15	125525.000	0.0630	Vapor	4	
280.15	156906.000	0.0736	Vapor	4	
280.15	194172.000	0.0857	Vapor	4	
280.15	248108.000	0.1022	Vapor	4	
280.15	276548.000	0.11125	Vapor	4	
280.15	319697.000	0.12345	Vapor	4	
293.15	9806.649	0.01965	Vapor	4	
293.15	29419.900	0.02645	Vapor	4	
293.15	49033.199	0.03445	Vapor	4	
293.15	93163.203	0.0502	Vapor	4	
293.15	121602.000	0.05965	Vapor	4	
293.15	165732.000	0.0740	Vapor	4	
293.15	202998.000	0.0852	Vapor	4	
293.15	241244.000	0.0968	Vapor	4	
293.15	279490.000	0.1079	Vapor	4	
293.15	313813.000	0.1181	Vapor	4	
293.15	351078.000	0.1287	Vapor	4	
300.00	7.000	0.0179	Vapor	3	
300.00	27.000	0.0179	Vapor	3	
375.00		0.02133	Vapor	2	
419.00		0.02303	Vapor	2	
451.00		0.02423	Vapor	2	
500.00		0.0261	Vapor	2	
554.00		0.02799	Vapor	2	
615.00		0.03003	Vapor	2	
667.00		0.03178	Vapor	2	
726.00		0.03366	Vapor	2	
773.00		0.03499	Vapor	2	
826.00		0.03652	Vapor	2	
876.00		0.03802	Vapor	2	
893.00		0.03845	Vapor	2	
925.00		0.03939	Vapor	2	
970.00		0.04075	Vapor	2	
1000.00		0.04149	Vapor	2	
1015.00		0.04186	Vapor	2	
1050.00		0.04282	Vapor	2	
1094.00		0.04406	Vapor	2	
1096.00		0.04393	Vapor	2	
1133.00		0.04489	Vapor	2	
1168.00		0.04569	Vapor	2	
1192.00		0.04657	Vapor	2	
1205.00		0.04655	Vapor	2	
1206.00		0.04682	Vapor	2	
1228.00		0.0475	Vapor	2	
1257.00		0.04796	Vapor	2	
1263.00		0.04845	Vapor	2	
1291.00		0.04901	Vapor	2	
1294.00		0.04888	Vapor	2	
1321.00		0.05005	Vapor	2	
1343.00		0.05029	Vapor	2	
1347.00		0.05023	Vapor	2	
1378.00		0.05117	Vapor	2	
1393.00		0.05141	Vapor	2	
1397.00		0.05156	Vapor	2	
1432.00		0.05265	Vapor	2	
1442.00		0.0529	Vapor	2	
1468.00		0.0534	Vapor	1	
1468.00		0.05343	Vapor	2	
1476.00		0.05377	Vapor	2	
1499.00		0.05419	Vapor	2	
1504.00		0.05412	Vapor	2	
1521.00		0.0549	Vapor	2	
1574.00		0.0562	Vapor	1	
1574.00		0.05621	Vapor	2	
1624.00		0.0572	Vapor	1	
1673.00		0.05838	Vapor	2	
1673.00		0.0584	Vapor	1	
1722.00		0.05949	Vapor	2	
1722.00		0.0595	Vapor	1	
1782.00		0.06079	Vapor	2	
1782.00		0.0608	Vapor	1	
1823.00		0.06177	Vapor	2	
1823.00		0.0618	Vapor	1	
1868.00		0.0625	Vapor	1	
1868.00		0.06251	Vapor	2	
1892.00		0.0631	Vapor	1	
1892.00		0.06312	Vapor	2	
1904.00		0.06345	Vapor	2	
1925.00		0.06386	Vapor	2	
1950.00		0.06434	Vapor	2	
1989.00		0.06542	Vapor	2	
Number	Source	
1	Lyusternik V.E.; Lavushchev A.V.: Untersuchung der Viskosität von Argon bei 2000K. Teplofiz.Vys.Temp. 14 (1976) 970-978	
2	Lavushchev A.V.; Lyusternik V.E.: Experimentelle Bestimmung der Viskosität von Stickstoff bis 2000 K. Teplofiz.Vys.Temp.  (1978) 209-211	
3	Borisov S.F.; Kalinin B.A.; Porodnov B.T.; Suetin P.E.: Bestimmung der Viskositätskoeffizienten von Gasen nach Unstationärstrom-Methode. Inzh.Fiz.Zh. 24 (1973) 67-69	
4	Golubev I.F.; Kurin V.I.: Untersuchung der Viskosität von Gasen bei Drücken bis  4000kgf/cm² und verschiedenen Temperaturen. Teploenergetika 21 (1974) 83-85	
$$$Enthalpy	
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference	
130.00	5070.000	2241.08	Supercritical	1	
140.00	5070.000	3902.28	Supercritical	1	
150.00	5070.000	4790.31	Supercritical	1	
160.00	5070.000	5370.18	Supercritical	1	
170.00	5070.000	5854.82	Supercritical	1	
180.00	5070.000	6331.05	Supercritical	1	
190.00	5070.000	6667.21	Supercritical	1	
200.00	5070.000	7031.38	Supercritical	1	
210.00	5070.000	7395.56	Supercritical	1	
220.00	5070.000	7731.72	Supercritical	1	
230.00	5070.000	8067.88	Supercritical	1	
240.00	5070.000	8404.04	Supercritical	1	
250.00	5070.000	8740.21	Supercritical	1	
260.00	5070.000	9076.37	Supercritical	1	
270.00	5070.000	9384.52	Supercritical	1	
Number	Source	
1	Lammers J.N.J.J.; van Kasteren P.H.G.; Kroon G.F.; Zeldenrust H.: Enthalpy Measurements of Natural Gas Components and Mixed Refrigerants with a Flow Calorimeter. Proceedings, fifty-seventh Annual Convention GPA 57 (1978) 18-24	
$$$Entropy	
T [K]	Molar Entropy [J/(mol*K)]	State	Reference	
77.32	152.72	Vapor	1	
100.00	23.00	Liquid	2	
110.00	24.55	Liquid	2	
115.20	25.30	Liquid	2	
120.30	26.45	Liquid	2	
123.20	27.05	Liquid	2	
124.20	27.35	Liquid	2	
125.20	28.10	Liquid	2	
125.96	29.00	Liquid	2	
298.00	192.05	Vapor	1	
Number	Source	
1	Giauque W.F.; Clayton J.O.: The heat capacity and entropy of nitrogen. Heat of vaporization. Vapor pressures of solid and liquid. The reaction 1/2 N2 + 1/2 O2 = NO from spectroscopic data.. J.Am.Chem.Soc. 55 (1933) 4875-4889	
2	Rodebush W.H.; Andrews J.W.; Taylor J.B.: The Temperature-Entropy Diagrams for Nitrogen and Oxygen. J.Am.Chem.Soc. 47 (1925) 313-319	
$$$Heat of Fusion	
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference	
63.08		715.70	Solid-Liquid	2	
63.14	98.000	726.00	Solid-Liquid	1	
Number	Source	
1	Grilly E.R.; Mills R.L.: Volume change on melting of N2 up to 3500 kg/cm2.. Phys.Rev. 105 (1957) 1140-1145	
2	Clusius K.: Über die spezifische Wärme einiger kondensierter Gase zwischen 10° abs.und ihrem Tripelpunkt.. Z.Phys.Chem.Abt.B 3 (1929) 41-79	
$$$Heat of Transition	
T [K]	Molar Enthalpy [J/mol]	State	Reference	
35.40	215.20	Solid-Solid	1	
35.62	215.00	Solid-Solid	2	
Number	Source	
1	Clusius K.: Über die spezifische Wärme einiger kondensierter Gase zwischen 10° abs.und ihrem Tripelpunkt.. Z.Phys.Chem.Abt.B 3 (1929) 41-79	
2	Lipinski L.; Kowal A.; Szmyrka-Grzebyk A.; Manuszkiewicz H.; Steur P.P.M.; Pavese F.: The alpha - beta Transition of Nitrogen. Int.J.Thermophys. 28 (2007) 1904-1912	
$$$Heat of Vaporization	
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference	
77.00		5656.77	Vapor-Liquid	2	
77.32		5575.98	Vapor-Liquid	1	
77.32		5578.49	Vapor-Liquid	1	
77.32		5583.93	Vapor-Liquid	1	
77.32		5584.35	Vapor-Liquid	1	
77.32	101.325	5576.85	Vapor-Liquid	1	
99.40		4560.56	Vapor-Liquid	3	
111.90		3468.54	Vapor-Liquid	3	
119.50		2581.53	Vapor-Liquid	3	
124.50		1468.58	Vapor-Liquid	3	
Number	Source	
1	Giauque W.F.; Clayton J.O.: The heat capacity and entropy of nitrogen. Heat of vaporization. Vapor pressures of solid and liquid. The reaction 1/2 N2 + 1/2 O2 = NO from spectroscopic data.. J.Am.Chem.Soc. 55 (1933) 4875-4889	
2	England C.: Gas Solubilities in Physical Solvents. Chem.Engineering (NY) 93 (1986) 63-66	
3	Rodebush W.H.; Andrews J.W.; Taylor J.B.: The Temperature-Entropy Diagrams for Nitrogen and Oxygen. J.Am.Chem.Soc. 47 (1925) 313-319	
$$$Ideal Gas Heat Capacity	
T [K]	Ideal Gas Heat Capacity [J/(mol*K)]	State	Reference	
200.00	29.10	Ideal Gas	2	
249.97	29.106	Ideal Gas	3	
249.97	29.11	Ideal Gas	3	
269.83	29.10	Ideal Gas	3	
273.15	29.116	Ideal Gas	1	
289.64	29.093	Ideal Gas	3	
289.64	29.097	Ideal Gas	3	
300.00	29.10	Ideal Gas	2	
303.70	29.06	Ideal Gas	1	
310.23	29.09	Ideal Gas	3	
331.88	29.087	Ideal Gas	3	
331.88	29.09	Ideal Gas	3	
350.81	29.09	Ideal Gas	3	
350.81	29.093	Ideal Gas	3	
400.00	29.104	Ideal Gas	2	
500.00	29.12	Ideal Gas	2	
600.00	29.25	Ideal Gas	2	
700.00	29.585	Ideal Gas	2	
800.00	30.125	Ideal Gas	2	
900.00	30.77	Ideal Gas	2	
1000.00	31.45	Ideal Gas	2	
1100.00	32.116	Ideal Gas	2	
1200.00	32.72	Ideal Gas	2	
1300.00	34.18	Ideal Gas	2	
1500.00	34.87	Ideal Gas	2	
1750.00	35.52	Ideal Gas	2	
2000.00	36.00	Ideal Gas	2	
2500.00	36.656	Ideal Gas	2	
3000.00	37.08	Ideal Gas	2	
3500.00	37.384	Ideal Gas	2	
4000.00	37.614	Ideal Gas	2	
4500.00	37.81	Ideal Gas	2	
5000.00	37.98	Ideal Gas	2	
Number	Source	
1	Lestz S.S.: Acoustic isotherms for nitrogen, argon, and krypton.. J.Chem.Phys. 38 (1963) 2830-2834	
2	Johnston H.L.; Davis C.O.: Heat capacity curves of the simpler gases. IV. Extension of the "free energy" formula of Giauque and overstreet to yield reliable approx.formulas for calc.of entropy and heat cap. from spectroscop.data. Entropy and capacity of Carbon Monoxide and of Nitrogen from near zero absolute to 5000°K. J.Am.Chem.Soc. 56 (1934) 271-276	
3	Esper G.; Lemming W.; Beckermann W.; Kohler F.: Acoustic Determination of Ideal Gas Capacity and Second Virial Coefficient of Small Hydrocarbons. Fluid Phase Equilib. 105 (1995) 173-192	
$$$Joule-Thomson Coefficient (isenthalpic dT/dP)	
T [K]	P [kPa]	Joule-Thomson Coefficient (isenthalpic dT/dP) [K/MPa]	State	Reference	
93.15	101.325	22.84730	Vapor	1	
103.15	101.325	19.14630	Vapor	1	
103.15	2026.500	-0.07402	Liquid	1	
103.15	3394.390	-0.35529	Liquid	1	
106.15	2026.500	0.00000	Liquid	1	
110.75	6079.500	0.00000	Liquid	1	
113.15	101.325	15.59340	Vapor	1	
113.15	2026.500	0.72045	Liquid	1	
113.15	3394.390	0.32568	Liquid	1	
113.15	6079.500	0.07402	Liquid	1	
113.15	10132.500	-0.07402	Liquid	1	
113.15	14185.500	-0.15791	Liquid	1	
113.15	18238.500	-0.23193	Liquid	1	
113.15	20265.000	-0.29114	Liquid	1	
116.65	10132.500	0.00000	Liquid	1	
123.15	101.325	12.08980	Vapor	1	
123.15	2026.500	10.82650	Vapor	1	
123.15	3394.390	1.75179	Liquid	1	
123.15	6079.500	0.61189	Liquid	1	
123.15	10132.500	0.21219	Liquid	1	
123.15	14185.500	-0.024673	Liquid	1	
123.15	18238.500	-0.17765	Liquid	1	
123.15	20265.000	-0.25166	Liquid	1	
125.15	14185.500	0.00000	Liquid	1	
135.65	101.325	9.52381	Vapor	1	
135.65	2026.500	8.98100	Vapor	1	
135.65	3394.390	7.80656	Vapor	1	
135.65	6079.500	2.46731	Vapor	1	
135.65	10132.500	0.67604	Vapor	1	
135.65	14185.500	0.20725	Vapor	1	
135.65	18238.500	-0.03948	Vapor	1	
135.65	20265.000	-0.13817	Vapor	1	
138.45	18238.500	0.00000	Vapor	1	
148.15	101.325	8.17172	Vapor	1	
148.15	2026.500	7.62398	Vapor	1	
148.15	3394.390	6.78016	Vapor	1	
148.15	6079.500	4.88034	Vapor	1	
148.15	10132.500	1.45571	Vapor	1	
148.15	14185.500	0.52307	Vapor	1	
148.15	18238.500	0.19738	Vapor	1	
148.15	20265.000	0.06908	Vapor	1	
155.95	22291.500	0.00000	Vapor	1	
160.65	101.325	7.09598	Vapor	1	
160.65	2026.500	6.55810	Vapor	1	
160.65	3394.390	5.97089	Vapor	1	
160.65	6079.500	4.81619	Vapor	1	
160.65	10132.500	2.34394	Vapor	1	
160.65	14185.500	0.96719	Vapor	1	
160.65	18238.500	0.50827	Vapor	1	
160.65	20265.000	0.37010	Vapor	1	
173.15	101.325	6.19788	Vapor	1	
173.15	2026.500	5.70935	Vapor	1	
173.15	3394.390	5.28497	Vapor	1	
173.15	6079.500	4.37207	Vapor	1	
173.15	10132.500	2.77325	Vapor	1	
173.15	14185.500	1.40637	Vapor	1	
173.15	18238.500	0.78954	Vapor	1	
173.15	20265.000	0.61189	Vapor	1	
176.75	26344.500	0.00000	Vapor	1	
185.65	101.325	5.45275	Vapor	1	
185.65	2026.500	5.02837	Vapor	1	
185.65	3394.390	4.66815	Vapor	1	
185.65	6079.500	3.96743	Vapor	1	
185.65	10132.500	2.78806	Vapor	1	
185.65	14185.500	1.65310	Vapor	1	
185.65	18238.500	0.96719	Vapor	1	
185.65	20265.000	0.75006	Vapor	1	
198.15	101.325	4.80632	Vapor	1	
198.15	2026.500	4.47570	Vapor	1	
198.15	3394.390	4.14508	Vapor	1	
198.15	6079.500	3.59240	Vapor	1	
198.15	10132.500	2.64495	Vapor	1	
198.15	14185.500	1.74685	Vapor	1	
198.15	18238.500	1.07575	Vapor	1	
198.15	20265.000	0.82902	Vapor	1	
204.45	30397.500	0.00000	Vapor	1	
223.15	101.325	3.78979	Vapor	1	
223.15	2026.500	3.57760	Vapor	1	
223.15	3394.390	3.32593	Vapor	1	
223.15	6079.500	2.95584	Vapor	1	
223.15	10132.500	2.28473	Vapor	1	
223.15	14185.500	1.67283	Vapor	1	
223.15	18238.500	1.13990	Vapor	1	
223.15	20265.000	0.92771	Vapor	1	
237.85	34450.500	0.00000	Vapor	1	
248.15	101.325	3.07920	Vapor	1	
248.15	2026.500	2.88675	Vapor	1	
248.15	3394.390	2.73871	Vapor	1	
248.15	6079.500	2.44264	Vapor	1	
248.15	10132.500	1.94917	Vapor	1	
248.15	14185.500	1.49025	Vapor	1	
248.15	18238.500	1.10535	Vapor	1	
248.15	20265.000	0.93758	Vapor	1	
263.15	36477.000	0.00000	Vapor	1	
273.15	101.325	2.53639	Vapor	1	
273.15	2026.500	2.38835	Vapor	1	
273.15	3394.390	2.27979	Vapor	1	
273.15	6079.500	2.01332	Vapor	1	
273.15	10132.500	1.63829	Vapor	1	
273.15	14185.500	1.29287	Vapor	1	
273.15	18238.500	1.00666	Vapor	1	
273.15	20265.000	0.88823	Vapor	1	
298.15	101.325	2.11695	Vapor	1	
298.15	2026.500	1.97385	Vapor	1	
298.15	3394.390	1.88009	Vapor	1	
298.15	6079.500	1.66790	Vapor	1	
298.15	10132.500	1.36195	Vapor	1	
298.15	14185.500	1.08562	Vapor	1	
298.15	18238.500	0.86356	Vapor	1	
298.15	20265.000	0.76980	Vapor	1	
313.15	38098.199	0.00000	Vapor	1	
323.15	101.325	1.77153	Vapor	1	
323.15	2026.500	1.63829	Vapor	1	
323.15	3394.390	1.55440	Vapor	1	
323.15	6079.500	1.39650	Vapor	1	
323.15	10132.500	1.13496	Vapor	1	
323.15	14185.500	0.89810	Vapor	1	
323.15	18238.500	0.72045	Vapor	1	
323.15	20265.000	0.65137	Vapor	1	
348.15	101.325	1.48532	Vapor	1	
348.15	2026.500	1.36195	Vapor	1	
348.15	3394.390	1.28300	Vapor	1	
348.15	6079.500	1.14977	Vapor	1	
348.15	10132.500	0.91784	Vapor	1	
348.15	14185.500	0.72539	Vapor	1	
348.15	18238.500	0.57241	Vapor	1	
348.15	20265.000	0.52800	Vapor	1	
366.85	36477.000	0.00000	Vapor	1	
373.15	101.325	1.23365	Vapor	1	
373.15	2026.500	1.12509	Vapor	1	
373.15	3394.390	1.05601	Vapor	1	
373.15	6079.500	0.94251	Vapor	1	
373.15	10132.500	0.75006	Vapor	1	
373.15	14185.500	0.57241	Vapor	1	
373.15	18238.500	0.45399	Vapor	1	
373.15	20265.000	0.40957	Vapor	1	
394.45	34450.500	0.00000	Vapor	1	
398.15	101.325	1.02147	Vapor	1	
398.15	2026.500	0.93264	Vapor	1	
398.15	3394.390	0.86849	Vapor	1	
398.15	6079.500	0.75993	Vapor	1	
398.15	10132.500	0.60696	Vapor	1	
398.15	14185.500	0.45399	Vapor	1	
398.15	18238.500	0.34049	Vapor	1	
398.15	20265.000	0.31582	Vapor	1	
423.15	101.325	0.82902	Vapor	1	
423.15	2026.500	0.74513	Vapor	1	
423.15	3394.390	0.70565	Vapor	1	
423.15	6079.500	0.60696	Vapor	1	
423.15	10132.500	0.47372	Vapor	1	
423.15	14185.500	0.34542	Vapor	1	
423.15	18238.500	0.24673	Vapor	1	
423.15	20265.000	0.22206	Vapor	1	
431.85	30397.500	0.00000	Vapor	1	
460.15	26344.500	0.00000	Vapor	1	
473.15	101.325	0.53294	Vapor	1	
473.15	2026.500	0.45399	Vapor	1	
473.15	3394.390	0.41451	Vapor	1	
473.15	6079.500	0.36023	Vapor	1	
473.15	10132.500	0.25660	Vapor	1	
473.15	14185.500	0.16778	Vapor	1	
473.15	18238.500	0.09869	Vapor	1	
473.15	20265.000	0.07402	Vapor	1	
