Formula	Molar Mass	CAS Registry Number	Name
2	Armenskaya S.E.; Lanshina L.V.: Untersuchung der Raylei-Lichtstreuung in Acetonitril-Chloroform-Lösungen. Vestn.Mosk.Univ.Ser.2 Khim. 14 (1973) 227-229
3	Antina E.V.; Vyugin A.I.; Krestov G.A.: Volum- und Viskosität-Charakteristiken von Tetraphenylporfirin-Lösungen bei verschiedenen Temperaturen. Viniti  (1986) 1-17
4	Sakhanov A.N.; Ryakhovskii N.A.: Viskosität von flüssigen Mischungen. Zh.Russ.Fiz.Khim.Obshch.Khim. 46 (1914) 78-88
5	Ganiev Yu.A.: Investigation of Thermal Conductivity of Liquids. Teplofiziceskie svojstva zidkostej  (1970) 95-98
6	Ninov J.I.; Stefanova T.K.; Petrov P.S.: Vapor-Liquid Equilibria at 101.3 kPa for Diethylamine + Chloroform. J.Chem.Eng.Data 40 (1995) 199-201
$$$Dielectric Constant
T [K]	Dielectric Constant [-]	State	Reference
211.65	6.47700	Liquid	6
225.65	6.12700	Liquid	6
243.65	5.70300	Liquid	6
267.65	5.25800	Liquid	6
293.15	4.77700	Liquid	6
293.15	4.80600	Liquid	2
293.15	4.81300	Liquid	5
298.15	4.39000	Liquid	4
298.15	4.67000	Liquid	3
298.15	4.77000	Liquid	1
Number	Source
1	Williams J.W.; Krchma I.J.: II. The Electric Moments of Certain Organic Molecules in Benzene Solution. J.Am.Chem.Soc. 49 (1927) 1676-1686
2	Goss F.R.: Part III. Polarisation and Association of Alcohols in the Liquid Phase. J.Chem.Soc.London  (1940) 888-894
3	Fialkov Yu.Ya.; Borovikov Yu.Ya.: Dielectric constant of binary liquid systems associated component-nonassociated component. Ukr.Khim.Zh.(Russ.Ed.) 32 (1966) 590-594
4	Pimenova N.I.; Afanas'ev V.N.; Davydova O.I.; Krestov G.A.: Dielectric Constant Measurement in Nonaqueous Systems on the Basis of Acetone. Izv.Vyssh.Uchebn.Zaved.Khim.Khim.Tekhnol. 27 (1984) 1043-1045
5	Luedde K.H.: Elektrisches Verhalten ätherischer Öle. Riechst. Aromen 10 (1960) 193-238
6	Philippe R.; Piette A.M.: VII. Contribution à l'étude de la constante diélectrique des composés organiques purs. Bull.Soc.Chim.Belg. 64 (1955) 600-627
$$$Dynamic Viscosity
T [K]	Dynamic Viscosity [mPas]	State	Reference
273.15	0.7000	Liquid	2
293.15	0.5667	Liquid	1
298.15	0.5380	Liquid	2
298.15	0.5418	Liquid	1
303.00	0.5249	Liquid	5
303.15	0.5070	Liquid	4
303.15	0.6350	Liquid	6
304.73	0.5086	Liquid	3
308.15	0.4942	Liquid	1
311.00	0.4893	Liquid	5
319.00	0.4571	Liquid	5
319.42	0.4434	Liquid	3
323.15	0.4330	Liquid	1
334.41	0.3898	Liquid	3
Number	Source
1	Antina E.V.; Vyugin A.I.; Krestov G.A.: Volum- und Viskosität-Charakteristiken von Tetraphenylporfirin-Lösungen bei verschiedenen Temperaturen. Viniti  (1986) 1-17
2	Sakhanov A.N.; Ryakhovskii N.A.: Viskosität von flüssigen Mischungen. Zh.Russ.Fiz.Khim.Obshch.Khim. 46 (1914) 78-88
3	Kumagai A.; Takahashi S.: Viscosity of Saturated Liquid Fluorocarbon Refrigerants from 273 to 353 K. Int.J.Thermophys. 12 (1991) 105-117
4	Oswal S.L.; Phalak R.P.: I. Binary Mixtures Containing p-Dioxane. Int.J.Thermophys. 13 (1992) 251-267
5	Crabtree A.M.; O'Brien J.F.: Excess Viscosities of Binary Mixtures of Chloroform and Alcohols. J.Chem.Eng.Data 36 (1991) 140-142
6	Raja Sekar P.; Venkatateswarlu R.; Reddy K.S.: Excess Volumes, Isentropic Compressibilities, and Viscosities of Binary Mixtures Containing Cyclohexene. Can.J.Chem. 68 (1990) 363-368
$$$Entropy
T [K]	Molar Entropy [J/(mol*K)]	State	Reference
298.00	295.47	Vapor	3
298.00	295.51	Vapor	4
298.00	295.56	Vapor	6
298.00	295.64	Vapor	1
298.00	296.31	Vapor	2
Number	Source
1	Cerny C.; Erdös E.: Thermodynamic functions of methane, silane and theis derivativatives*II. CH3Cl, SiH3Cl, CHCl3, SiHCl3.. Chem.Listy 47 (1953) 1745-1749
2	Stevenson D.P.; Beach J.Y.: The thermodynamic functions of the chloro- and bromomethanes, formaldehyde and phosgene.. J.Chem.Phys. 6 (1938) 25-29
3	Madigan J.R.; Cleveland F.F.: Substituted methanes: V. Infrared spectra and calculated thermodynamic properties for some trichloromethanes.. J.Chem.Phys. 19 (1951) 119-123
4	Rodgers A.S.; Chao J.; Wilhoit R.C.; Zwolinski B.J.: Ideal Gas Thermodynamic Properties of Eight Chloro- and Fluoromethanes. J.Phys.Chem.Ref.Data 3 (1974) 117-140
5	Gelles E.; Pitzer K.S.: Thermodynamic Functions of the Halogenated Methanes. J.Am.Chem.Soc. 75 (1953) 5259-5267
6	Sverdlin A.S.: Thermodynamic functions of methane derivatives. II. Thermodynamic functions of chloro- and iodo- methane derivatives. Zh.Fiz.Khim. 28 (1954) 780-784
$$$G-function (G-G0)/T
T [K]	G-function (G-G0)/T [J/(mol*K)]	State	Reference
100.00	-204.26	Vapor	1
100.00	-204.25	Vapor	4
150.00	-218.99	Vapor	4
200.00	-230.41	Vapor	5
200.00	-230.38	Vapor	4
200.00	-230.37	Vapor	1
250.00	-239.95	Vapor	5
273.15	-243.95	Vapor	4
291.10	-255.81	Vapor	2
298.10	-256.94	Vapor	2
298.15	-248.04	Vapor	4
298.16	-248.07	Vapor	1
298.20	-248.11	Vapor	6
300.00	-248.36	Vapor	1
300.00	-248.33	Vapor	4
350.00	-264.85	Vapor	2
400.00	-271.79	Vapor	2
400.00	-262.92	Vapor	6
400.00	-262.88	Vapor	1
400.00	-262.81	Vapor	4
400.00	-262.80	Vapor	3
500.00	-284.26	Vapor	2
500.00	-275.39	Vapor	6
500.00	-275.35	Vapor	1
500.00	-275.22	Vapor	3
600.00	-295.31	Vapor	2
600.00	-286.35	Vapor	1
600.00	-286.19	Vapor	3
700.00	-305.22	Vapor	2
700.00	-296.23	Vapor	1
700.00	-296.19	Vapor	6
700.00	-296.06	Vapor	3
800.00	-314.22	Vapor	2
800.00	-305.43	Vapor	1
800.00	-305.27	Vapor	5
800.00	-305.06	Vapor	3
800.00	-305.05	Vapor	4
900.00	-313.55	Vapor	1
900.00	-313.51	Vapor	6
900.00	-313.34	Vapor	3
900.00	-313.32	Vapor	4
1000.00	-321.25	Vapor	1
1000.00	-321.16	Vapor	6
1000.00	-321.00	Vapor	3
1000.00	-320.97	Vapor	4
1100.00	-328.40	Vapor	5
1100.00	-328.11	Vapor	4
1200.00	-335.10	Vapor	5
1200.00	-334.79	Vapor	4
1300.00	-341.37	Vapor	5
1300.00	-341.07	Vapor	4
1400.00	-347.31	Vapor	5
1400.00	-347.00	Vapor	4
1500.00	-352.96	Vapor	5
1500.00	-352.62	Vapor	4
Number	Source
1	Cerny C.; Erdös E.: Thermodynamic functions of methane, silane and theis derivativatives*II. CH3Cl, SiH3Cl, CHCl3, SiHCl3.. Chem.Listy 47 (1953) 1745-1749
2	Stevenson D.P.; Beach J.Y.: The thermodynamic functions of the chloro- and bromomethanes, formaldehyde and phosgene.. J.Chem.Phys. 6 (1938) 25-29
3	Madigan J.R.; Cleveland F.F.: Substituted methanes: V. Infrared spectra and calculated thermodynamic properties for some trichloromethanes.. J.Chem.Phys. 19 (1951) 119-123
4	Rodgers A.S.; Chao J.; Wilhoit R.C.; Zwolinski B.J.: Ideal Gas Thermodynamic Properties of Eight Chloro- and Fluoromethanes. J.Phys.Chem.Ref.Data 3 (1974) 117-140
5	Gelles E.; Pitzer K.S.: Thermodynamic Functions of the Halogenated Methanes. J.Am.Chem.Soc. 75 (1953) 5259-5267
6	Sverdlin A.S.: Thermodynamic functions of methane derivatives. II. Thermodynamic functions of chloro- and iodo- methane derivatives. Zh.Fiz.Khim. 28 (1954) 780-784
$$$Heat of Fusion
T [K]	Molar Enthalpy [J/mol]	State	Reference
209.50	9497.68	Solid-Liquid	1
209.65	9539.52	Solid-Liquid	2
Number	Source
1	Van de Vloed A.: Un nouvel Etat Mesomorphe. Bull.Soc.Chim.Belg. 48 (1939) 229-268
2	Timmermans J.: VI. Application de l'analyse thermique à la détermination des courbes de congélation de mélanges binaires de composés organiques fondant à basse température. Bull.Soc.Chim.Belg. 37 (1928) 409-423
$$$Heat of Vaporization
T [K]	Molar Enthalpy [J/mol]	State	Reference
292.45	31627.00	Vapor-Liquid	5
293.15	31732.00	Vapor-Liquid	4
293.15	31762.00	Vapor-Liquid	4
293.15	31812.00	Vapor-Liquid	4
293.15	31881.00	Vapor-Liquid	4
293.75	31392.00	Vapor-Liquid	5
294.85	31242.00	Vapor-Liquid	5
295.15	31512.00	Vapor-Liquid	5
298.15	31140.00	Vapor-Liquid	2
301.72	31012.00	Vapor-Liquid	5
302.72	30892.00	Vapor-Liquid	5
304.95	31062.00	Vapor-Liquid	5
312.95	30518.00	Vapor-Liquid	5
313.15	30360.00	Vapor-Liquid	2
313.15	30473.00	Vapor-Liquid	5
313.55	30628.00	Vapor-Liquid	5
316.45	30493.00	Vapor-Liquid	5
324.65	30123.00	Vapor-Liquid	5
325.05	30268.00	Vapor-Liquid	5
325.15	30068.00	Vapor-Liquid	5
325.75	29973.00	Vapor-Liquid	5
328.15	29560.00	Vapor-Liquid	2
333.29	29389.00	Vapor-Liquid	3
334.30	29200.00	Vapor-Liquid	1
343.15	28750.00	Vapor-Liquid	2
Number	Source
1	Matyushov D.V.; Schmid R.: Properties of Liquids at the Boiling Point: Equation of State, Internal Pressure and Vaporization Entropy. Int.J.Phys.Chem.Ber.Bunsen-Ges. 98 (1994) 1590-1595
2	Majer V.; Svab L.; Svoboda V.: Enthalpies of vaporization and cohesive energies for a group of chlorinated hydrocarbons. J.Chem.Thermodyn. 12 (1980) 843-847
3	Mathews J.H.: The Accurate Measurement of the Heats of Vaporization of Liquids. J.Am.Chem.Soc. 48 (1926) 562-576
4	Yarym-Agaev N.L.; Feodosev N.N.; Skorikov K.G.: Integral heats of vaporization of liquid mixtures. I. A new method for determination the integral heats of vaporization. (Russ). Zh.Fiz.Khim. 23 (1949) 1257-1265
5	Fletcher J.; Tyrer D.: The latent heats of chloroform and benzene and of their mixtures between 0°  and 80°. J.Chem.Soc.London 103 (1913) 517-528
$$$Ideal Gas Heat Capacity
T [K]	Ideal Gas Heat Capacity [J/(mol*K)]	State	Reference
100.00	40.25	Ideal Gas	2
100.00	40.32	Ideal Gas	4
150.00	46.57	Ideal Gas	5
150.00	47.76	Ideal Gas	4
200.00	54.30	Ideal Gas	4
200.00	54.48	Ideal Gas	2
250.00	60.54	Ideal Gas	5
273.15	62.79	Ideal Gas	4
273.15	63.22	Ideal Gas	1
283.15	64.27	Ideal Gas	1
293.15	65.35	Ideal Gas	1
298.15	65.38	Ideal Gas	4
298.15	65.81	Ideal Gas	1
298.16	65.40	Ideal Gas	3
298.16	65.73	Ideal Gas	2
298.20	65.44	Ideal Gas	6
300.00	65.56	Ideal Gas	3
300.00	65.57	Ideal Gas	4
300.00	65.94	Ideal Gas	2
303.15	66.32	Ideal Gas	1
313.15	67.32	Ideal Gas	1
323.15	68.28	Ideal Gas	1
333.15	69.20	Ideal Gas	1
353.15	70.96	Ideal Gas	1
373.15	72.63	Ideal Gas	1
400.00	74.25	Ideal Gas	4
400.00	74.27	Ideal Gas	3
400.00	74.31	Ideal Gas	6
400.00	74.60	Ideal Gas	2
473.15	79.50	Ideal Gas	1
500.00	80.61	Ideal Gas	4
500.00	80.63	Ideal Gas	3
500.00	80.67	Ideal Gas	6
500.00	80.92	Ideal Gas	2
573.15	84.48	Ideal Gas	1
600.00	85.23	Ideal Gas	3
600.00	85.26	Ideal Gas	4
600.00	85.31	Ideal Gas	6
600.00	85.52	Ideal Gas	2
673.15	88.20	Ideal Gas	1
700.00	88.77	Ideal Gas	4
700.00	88.78	Ideal Gas	3
700.00	88.99	Ideal Gas	2
773.15	91.09	Ideal Gas	1
800.00	91.50	Ideal Gas	3
800.00	91.51	Ideal Gas	4
800.00	91.55	Ideal Gas	6
800.00	91.67	Ideal Gas	2
900.00	93.71	Ideal Gas	4
900.00	93.72	Ideal Gas	3
900.00	93.76	Ideal Gas	6
900.00	93.85	Ideal Gas	2
1000.00	95.52	Ideal Gas	3
1000.00	95.53	Ideal Gas	4
1000.00	95.56	Ideal Gas	6
1000.00	95.65	Ideal Gas	2
1000.00	95.73	Ideal Gas	5
1100.00	97.03	Ideal Gas	4
1100.00	97.11	Ideal Gas	5
1200.00	98.30	Ideal Gas	4
1200.00	98.37	Ideal Gas	5
1300.00	99.37	Ideal Gas	4
1300.00	99.45	Ideal Gas	5
1400.00	100.30	Ideal Gas	4
1400.00	100.37	Ideal Gas	5
1500.00	101.09	Ideal Gas	4
1500.00	101.13	Ideal Gas	5
Number	Source
1	Vold R.D.: The Heat Capacity of Methane and its Halogen Derivatives from Spectroscopic Data.. J.Am.Chem.Soc. 57 (1935) 1192-1195
2	Cerny C.; Erdös E.: Thermodynamic functions of methane, silane and theis derivativatives*II. CH3Cl, SiH3Cl, CHCl3, SiHCl3.. Chem.Listy 47 (1953) 1745-1749
3	Madigan J.R.; Cleveland F.F.: Substituted methanes: V. Infrared spectra and calculated thermodynamic properties for some trichloromethanes.. J.Chem.Phys. 19 (1951) 119-123
4	Rodgers A.S.; Chao J.; Wilhoit R.C.; Zwolinski B.J.: Ideal Gas Thermodynamic Properties of Eight Chloro- and Fluoromethanes. J.Phys.Chem.Ref.Data 3 (1974) 117-140
5	Gelles E.; Pitzer K.S.: Thermodynamic Functions of the Halogenated Methanes. J.Am.Chem.Soc. 75 (1953) 5259-5267
6	Sverdlin A.S.: Thermodynamic functions of methane derivatives. II. Thermodynamic functions of chloro- and iodo- methane derivatives. Zh.Fiz.Khim. 28 (1954) 780-784
$$$Kinematic Viscosity
T [K]	Kinematic Viscosity [m2/s]	State	Reference
278.15	4.40999997409E-07	Liquid	1
288.15	4.04700017498E-07	Liquid	1
293.15	3.80800003086E-07	Liquid	3
293.15	3.89999996742E-07	Liquid	2
298.15	3.62299999779E-07	Liquid	4
298.15	3.76000002689E-07	Liquid	1
298.15	3.76999992113E-07	Liquid	2
303.15	3.49999993432E-07	Liquid	6
303.15	3.68000002027E-07	Liquid	2
308.15	3.43500005329E-07	Liquid	1
308.15	3.47999986161E-07	Liquid	2
318.15	3.18199994354E-07	Liquid	1
Number	Source
1	Nikiforov M.Yu.; Kondratev E.A.; Alper G.A.: Viskosität binärer chloroform- und acetonitrilhaltigen Nichtelektrolyt-Lösungen. Viniti  (1986) 1-7
2	Sovilj M.N.: Kinematic Viscosities of Binary and Ternary Liquid Mixtures Involving Chloroform, 2-Propanol, and 2-Butanol at Several Temperatures. J.Chem.Eng.Data 40 (1995) 1058-1061
3	Bauer H.; Meerlender G.: Newtonian reference materials with v < 1mm²/s and their application in extending the range of capillary viscometers. Rheologica Acta 21 (1982) 499-501
4	Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335
5	Wei I.-C.; Rowley R.L.: Ternary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 336-340
6	Nath J.; Mishra S.K.: Excess Molar Volumes and Kinematic Viscosities of Binary Liquid Mixtures of Cyclohexanone + Dichloromethane, + Trichloromethane, + 1,2-Dichloroethane, + Trichloroethene, + 1,1,1,-Trichloroethane, and + Cyclohexane. J.Chem.Eng.Data 43 (1998) 196-200
$$$Melting Point
T [K]	P [kPa]	State	Reference
209.15	101.325	Solid-Liquid	5
209.25		Solid-Liquid	6
209.46		Solid-Liquid	1
209.60	101.325	Solid-Liquid	2
209.64	101.325	Solid-Liquid	4
209.73	101.325	Solid-Liquid	3
Number	Source
1	Henning F.: Die Fixierung der Temperaturskala zwischen 0 und -193°. Ann.Physik 348 (1914) 282-294
2	Philippe R.; Clechet P.: I. Solid + liquid phase diagrams and i.r. spectroscopy. J.Chem.Thermodyn. 5 (1973) 421-429
3	Ott J.B.; Woodfield B.F.; Guanquan C.; Boerio-Goates J.; Goates J.R.: + trichlorofluoromethane, and + 1,1,1-trichlorotrifluoroethane. J.Chem.Thermodyn. 19 (1987) 177-184
4	Che G.; Ott B.J.; Goates J.R.: (Solid-liquid) phase equilibria and solid-compound formation in 1,2-dimethoxyethane + tetrachloromethane, + trichlorofluoromethane, and + trichloromethane. J.Chem.Thermodyn. 18 (1986) 31-37
5	Jackowski A.W.: Solid-liquid equilibria in four examples of (an unsaturated hexane + a chloromethane) at ordinary pressures. J.Chem.Thermodyn. 14 (1982) 357-360
6	Goates J.R.; Ott J.B.; Reeder J.; Lamb J.D.: Solid/Liquid Phase Equilibria and Solid Compound Formation in Mixtures of Dimethyl Sulphoxide with CCl4, CHCl3, and CCl3CHCl2. J.Chem.Soc.Faraday Trans.1 68 (1972) 2171-2174
$$$Molar Heat Capacity (cP)
T [K]	Molar Heat Capacity (cP) [J/(mol*K)]	State	Reference
258.15	116.40	Liquid	1
278.15	115.20	Liquid	1
293.15	116.16	Liquid	2
298.15	113.20	Liquid	3
298.15	113.84	Liquid	5
298.15	114.25	Liquid	4
298.15	115.50	Liquid	1
303.55	139.86	Liquid	6
313.15	118.19	Liquid	2
318.15	117.10	Liquid	1
333.15	119.98	Liquid	2
Number	Source
1	Peshekhodov P.B.; Nikiforov M.Yu.; Petrov A.N.; Alper G.A.: Wärmekapazität binärer Nichtelektrolyt-Lösungen mit Chloroform. Viniti  (1986) 1-6
2	Rastorguev Yu.L.; Ganiev Yu.A.: Untersuchung der Wärmekapazität von selektiven Lösungsmitteln. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1967) 79-82
3	Shehatta I.: Heat Capacity at Constant Pressure of some Halogen Compounds. Thermochim.Acta 213 (1993) 1-10
4	Grolier J.-P.E.; Roux-Desgranges G.; Berkane M.; Jimenez E.; Wilhelm E.: 2. Mixtures containing N,N-dimethylformamide. J.Chem.Thermodyn. 25 (1993) 41-50
5	Grolier J.-P.E.; Roux-Desgranges G.; Berkane M.; Wilhelm E.: 1. Mixtures containing acetonitrile. J.Chem.Thermodyn. 23 (1991) 421-429
6	Philip N.M.: Adiabatic and Isothermal Compressibilities of Liquids. Proc.Indian Acad.Sci.Sect.A 9 (1939) 109-120
$$$Molar Heat Capacity (cV)
T [K]	P [kPa]	Molar Heat Capacity (Cv) [J/(mol*K)]	State	Reference
334.35	101.325	70.93	Vapor	2
370.25		51.59	Vapor	1
407.15		54.58	Vapor	1
Number	Source
1	Jatkar S.K.K.; Lakshminarayanan D.: Part XII. Dispersion of Molecular Heats of Organic Vapours. J.Indian Inst.Sci.Sec.A Sci. 28 (1946) 29-39
2	McGovern E.W.: Chlorohydrocarbon Solvents. Ind.Eng.Chem. 35 (1943) 1230-1239
$$$Speed of Sound
T [K]	Ultrasonic Velocity [m/s]	State	Reference
273.15	1069.000	Liquid	5
273.15	1073.000	Liquid	1
283.15	1036.500	Liquid	5
283.15	1037.000	Liquid	1
293.15	987.500	Liquid	6
293.15	1001.000	Liquid	1
293.15	1002.500	Liquid	5
293.15	1005.000	Liquid	3
298.15	975.900	Liquid	6
298.15	984.000	Liquid	4
298.15	987.000	Liquid	2
303.15	957.800	Liquid	6
303.15	967.500	Liquid	5
303.15	967.700	Liquid	1
308.15	942.800	Liquid	6
313.15	925.000	Liquid	6
313.15	932.500	Liquid	5
313.15	933.400	Liquid	1
323.15	897.000	Liquid	5
323.15	899.900	Liquid	1
333.15	867.700	Liquid	1
Number	Source
1	Lagemann R.T.; McMillan D.R.Jr.; Woolf W.E.: Temperature Variation of Ultrasonic Velocity in Liquids. J.Chem.Phys. 17 (1949) 369-373
2	Willard G W.: Temperature Coefficients of Ultrasonic Velocity in Solutions. J.Acoust.Soc.Am. 19 (1947) 235-241
3	Schaaffs W.: I.Teil: Die Schallgeschwindigkeit in organischen Flüssigkeiten. Z.Phys.Chem.(Leipzig) 194 (1944) 28-38
4	Savaroglu G.; Aral E.: Ultrasonic Velocity and Isentropic Compressibilities of the Ternary Mixture Benzene + Acetone + Chloroform and their Corresponding Binary Mixtres at 298.15 K. J.Mol.Liq. 105 (2003) 79-92
5	Freyer E.B.; Hubbard J.C.; Andrews D.H.: Sonic Studies of the Physical Properties of Liquids. I. The Sonic Interferometer. The Velocity of Sound in Some Organic Liquids and Their Compressibilities. J.Am.Chem.Soc. 51 (1929) 759-770
6	Kannappan V.; Santhi R.J.; Malar E.J.P.: Ultrasonic studies on charge transfer complexes of cycloalkanones with chloroform in n-hexane solutions. Phys.Chem.Liq. 40 (2002) 507-525
$$$Std. Heat of Formation
T [K]	Molar Enthalpy [J/mol]	State	Reference
298.00	-134306.00	Liquid	1
298.15	-130541.00	Liquid	2
298.15	-98742.40	Vapor	2
Number	Source
1	Hu A.T.; Sinke G.C.: Combustion calorimetry of some chlorinated organic compounds.. J.Chem.Thermodyn. 1 (1969) 507-513
2	McGovern E.W.: Chlorohydrocarbon Solvents. Ind.Eng.Chem. 35 (1943) 1230-1239
$$$Surface Tension
T [K]	Surface Tension [mN/m]	State	Reference
287.15	28.2000	Liquid	5
288.15	28.0600	Liquid	6
293.00	27.1000	Liquid	2
293.15	27.2000	Liquid	1
293.15	27.2800	Liquid	6
298.15	26.5600	Liquid	3
303.15	25.8300	Liquid	4
303.15	25.8900	Liquid	6
308.15	25.0000	Liquid	1
313.15	24.4200	Liquid	4
323.15	23.0300	Liquid	4
Number	Source
1	Levichev S.A.: Oberflächenspannung, Dichte und Exzessvolumina in binären und ternären Lösungen. Fiziko-chimiceskie Svojstva Rastvorov (J.80)  (1964) 219-226
2	Abramzon A.A.: Interfacial Tension by Different Intermolecular Force of Phase Boundary. Zh.Prikl.Khim. 64 (1991) 2533-2537
3	Koefoed J.; Villadsen J.V.: Chloroform-Carbon Tetrachloride, Benyene-Diphenylmethane and Heptane-Hexadecane. Acta Chem.Scand. 12 (1958) 1124-1135
4	Agarwal D.K.; Gopal R.; Agarwal S.: Surface Tensions of Binary Liquid Mixtures of some Polar and Nonpolar Liquids with Dimethyl Sulfoxide (Me2soO). J.Chem.Eng.Data 24 (1979) 181-183
5	Green S.J.; Olden M.J.F.: The insoluble matter of coal tar. VII. Dilution of tars.. J.Appl.Chem. 1 (1951) 433-443
6	Hennaut-Roland L.; Lek M.: Methods and equipment used at the Bureau of Physico-Chem. Standards.IV. Surface tension of a series of org. substances.. Bull.Soc.Chim.Belg. 40 (1931) 177-188
$$$Thermal Conductivity
T [K]	P [kPa]	Thermal Conductivity [W/(m*K)]	State	Reference
293.15		0.1152	Liquid	1
293.15		0.1300	Liquid	6
298.15		0.1115	Liquid	2
303.15		0.1164	Liquid	5
303.15		0.1260	Liquid	6
304.85		0.1147	Liquid	5
304.85		0.1168	Liquid	5
313.15		0.1098	Liquid	1
313.15		0.1128	Liquid	4
313.15		0.1210	Liquid	6
323.15		0.1084	Liquid	5
323.15		0.1089	Liquid	5
323.15		0.1093	Liquid	5
323.15		0.1170	Liquid	6
333.15		0.1043	Liquid	1
333.35	101.000	0.008499	Vapor	3
352.15	101.000	0.009316	Vapor	3
399.15	101.000	0.011158	Vapor	3
422.15	101.000	0.01218	Vapor	3
Number	Source
1	Ganiev Yu.A.: Investigation of Thermal Conductivity of Liquids. Teplofiziceskie svojstva zidkostej  (1970) 95-98
2	Rowley R.L.; White G.L.; Chiu M.: Ternary Liquid Mixture Thermal Conductivities. Chem.Eng.Sci. 43 (1988) 361-371
3	Vines R.G.; Bennet L.A.: The Thermal Conductivity of Organic Vapors. The Relationship Betweenthermal Conductivity and Viscosity, and the Significance of the Eucken Factor.. J.Chem.Phys. 22 (1954) 360-366
4	Geller Z.I.; Rastorguev Yu.L.; Ganiev Yu.A.: Thermal Conductivity of Binary Systems. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1966) 88-90
5	Mason H.L.: Thermal Conductivity of some Industrial Liquids from 0 to 100 C.. Trans. ASME 76 (1954) 817-821
6	Bates O.K.; Hazzard G.; Palmer G.: Twelve Industrial Chlorinated Hydrocarbons. Ind.Eng.Chem. Ind.Ed. 33 (1941) 375-376
$$$Transition Temperature
T [K]	P [kPa]	State	Reference
105.85		Glass > Crystal	1
Number	Source
1	Lesikar A.V.: Effect of Association Complexes on the Glass Transition in Organic Halide Mixtures. J.Phys.Chem. 80 (1976) 1005-1011
$$$Vapor Pressure
T [K]	P [kPa]	State	Reference
283.15	13.386	Vapor-Liquid	1
293.15	21.098	Vapor-Liquid	6
293.15	21.172	Vapor-Liquid	1
298.15	26.236	Vapor-Liquid	6
298.15	26.271	Vapor-Liquid	4
300.15	29.731	Vapor-Liquid	3
303.15	32.517	Vapor-Liquid	1
306.15	38.264	Vapor-Liquid	3
308.15	39.345	Vapor-Liquid	5
308.15	39.572	Vapor-Liquid	6
308.15	39.617	Vapor-Liquid	4
308.15	39.910	Vapor-Liquid	1
311.15	45.596	Vapor-Liquid	3
313.15	48.033	Vapor-Liquid	5
313.15	48.316	Vapor-Liquid	1
315.95	55.462	Vapor-Liquid	3
318.15	57.801	Vapor-Liquid	5
318.15	57.907	Vapor-Liquid	6
318.15	57.915	Vapor-Liquid	1
320.15	62.382	Vapor-Liquid	1
320.15	64.128	Vapor-Liquid	3
323.15	69.129	Vapor-Liquid	4
323.15	69.218	Vapor-Liquid	5
323.65	73.327	Vapor-Liquid	3
326.95	82.127	Vapor-Liquid	3
328.15	82.372	Vapor-Liquid	5
328.15	82.478	Vapor-Liquid	6
329.15	88.526	Vapor-Liquid	3
