Formula	Molar Mass	CAS Registry Number	Name	
CH4O	32.042	67-56-1	Methanol	
$$$Boiling Point	
T [K]	P [kPa]	State	Reference	
337.60		Vapor-Liquid	1	
Number	Source	
1	Karunanithi B.; Bogeshwaran K.; Sofia K.: Isobaric Vapour Liquid Equilibrium for Acetone + Methanol + Calcium Bromide at Different Concentration. Int.J.Eng.Res.Develop.IJERD 3 (2012) 45-49	
$$$Compressibility (isentropic)	
T [K]	Compressibility (isentropic) [/kPa]	State	Reference	
308.15	1.10399992082E-006	Liquid	1	
Number	Source	
1	Reddy V.K.; Rambabu K.; Devarajulu T.; Krishnaiah A.: Volume of Mixing, Speed of Sound, and Viscosity of Methyl Cellosolve with Aliphatic Alcohols at 308.15 K. J.Chem.Eng.Data 40 (1995) 124-127	
$$$Compressibility (isothermal)	
T [K]	P [kPa]	Compressibility (isothermal) [/kPa]	State	Reference	
298.16		787.000	Liquid	4	
308.15		777.000	Liquid	1	
308.15		777.300	Liquid	3	
318.15		765.610	Liquid	3	
318.15		767.800	Liquid	2	
T [K]	P [kPa]	Density [kg/m3]	State	Reference	
298.20	15.200	0.240	Vapor Phase of VLE	6	
313.20	34.300	0.460	Vapor Phase of VLE	6	
323.20	54.400	0.680	Vapor Phase of VLE	6	
Number	Source	
1	Levichev S.A.: Oberflächenspannung, Dichte und Exzessvolumina in binären und ternären Lösungen. Fiziko-chimiceskie Svojstva Rastvorov (J.80)  (1964) 219-226	
2	Rusanov A.I.; Levichev S.A.: Composition and Surface Layer Thickness of Hexan-Alcohols Solutions. Vestn.Leningr.Univ.  (1967) 124-130	
3	Kudryavtsev S.G.; Strakhov A.N.; Ershova O.V.; Krestov G.A.: Volumeneigenschaften des Systems Wasser-Methanol bei 278-318 K. Zh.Fiz.Khim. 60 (1986) 2202-2205	
4	Perelygin V.M.; Smirnov V.S.; Guskova T.V.: Dichte und Brechungszahl einiger binärer Systeme für Alkoholherstellung. Oniitekhim  (1983) 1-16	
5	Komarenko V.G.; Manzheli V.G.; Radtsig A.V.: Viskosität und Dichte von einwertigen n-Alkoholen bei niedrigen Temperaturen. Ukr.Fiz.Zh.(Russ.Ed.) 12 (1967) 681-685	
6	Tsymarnyi V.A.; Palaguta V.M.: Pressure and Density of Saturation of Aliphatic Alcohol Vapour. Zh.Prikl.Khim. 63 (1990) 1080-1084	
$$$Dielectric Constant	
T [K]	P [kPa]	Dielectric Constant [-]	State	Reference	
176.60		73.08000	Liquid	1	
180.70		70.91000	Liquid	1	
182.00		70.52000	Liquid	1	
190.90		65.64000	Liquid	1	
193.50		65.10000	Liquid	1	
204.60		59.85000	Liquid	1	
212.30		56.51000	Liquid	1	
223.10		52.50000	Liquid	1	
232.70		49.19000	Liquid	1	
250.60		43.52000	Liquid	1	
260.00		40.85000	Liquid	1	
262.00		40.48000	Liquid	1	
274.20		37.68000	Liquid	1	
279.50		36.45000	Liquid	1	
283.15	101.325	35.65000	Liquid	5	
288.00		34.00000	Liquid	2	
288.15		34.00000	Liquid	3	
288.15		35.53000	Liquid	4	
293.15		33.45000	Liquid	6	
293.15		33.95000	Liquid	4	
293.15	101.325	33.71000	Liquid	5	
294.20		33.42000	Liquid	1	
298.00		33.10000	Liquid	2	
298.15		33.05000	Liquid	4	
298.15		33.10000	Liquid	3	
303.15		31.62000	Liquid	4	
303.15	101.325	31.71000	Liquid	5	
308.00		32.12000	Liquid	2	
308.15		30.08000	Liquid	4	
308.15		32.12000	Liquid	3	
313.15		28.20000	Liquid	6	
313.15	101.325	29.98000	Liquid	5	
318.00		28.44000	Liquid	2	
318.15		28.44000	Liquid	3	
318.15		29.54000	Liquid	4	
323.15		28.53000	Liquid	4	
323.15	101.325	28.24000	Liquid	5	
Number	Source	
1	Davidson D.W.: The Dielectric Properties of Methanol and Methanol-D. Can.J.Chem. 35 (1957) 458-473	
2	Shirke R.M.; Chaudhari A.; More N.M.; Patil P.B.: Dielectric Measurements on Methyl Acetate + Alcohol Mixtures at (288, 298, 308, and 318) K Using the Time Domain Technique. J.Chem.Eng.Data 45 (2000) 917-919	
3	Shirke R.M.; Chaudhari A.; More N.M.; Patil P.B.: Temperature Dependent Dielectric Relaxation Study of Ethyl Acetate - Alcohol Mixtures using Time Domain Technique. J.Mol.Liq. 94 (2001) 27-36	
4	Khimenko M.T.; Aleksandrov V.V.; Gritsenko N.N.: Polarizability and radii of molecules of some pure liquids. Zh.Fiz.Khim. 47 (1973) 2914-2915	
5	Pereira S.M.; Iglesias T.P.; Legido J.L.; Rivas M.A.; Real J.N.: Relative permittivity increments for xCH3OH + (1-x)CH3OCH2(CH2OCH2)3CH2OCH3 from T = 283.15 K to T = 323.15 K. J.Chem.Thermodyn. 33 (2001) 433-440	
6	Granzhan V.A.; Kirillova O.G.: Physico-chemical study of N-methyl-2-pyrrolidone-methanol system. Zh.Prikl.Khim. 43 (1970) 1875-1877	
$$$Diffusion Coefficient	
T [K]	Diffusion Coefficient [cm2/s]	State	Reference	
303.15	2.63000001723E-0005	Liquid	1	
Number	Source	
1	Chen X.; Hu R.; Feng H.; Chen L.; Lüdemann H.-D.: Intradiffusion, Density, and Viscosity Studies in Binary Liquid Systems of Acetylacetone + Alkanols at 303.15 K. J.Chem.Eng.Data 57 (2012) 2401-2408	
$$$Dynamic Viscosity	
T [K]	P [kPa]	Dynamic Viscosity [mPas]	State	Reference	
176.15		12.3000	Liquid	2	
183.15		8.5900	Liquid	2	
193.15		5.5500	Liquid	2	
203.15		3.8650	Liquid	2	
213.15		2.8200	Liquid	2	
223.15		2.1400	Liquid	2	
233.15		1.6900	Liquid	2	
243.15		1.3570	Liquid	2	
253.15		1.1110	Liquid	2	
263.15		0.9230	Liquid	2	
273.15		0.7790	Liquid	2	
293.15		0.5750	Liquid	2	
293.15		0.6140	Liquid	1	
298.15		0.5330	Liquid	2	
303.15		0.5350	Liquid	1	
303.15	100.000	0.5120	Liquid	3	
303.15	101.320	0.5120	Liquid	3	
303.15	2500.000	0.5190	Liquid	3	
303.15	5000.000	0.5230	Liquid	3	
303.15	7500.000	0.5290	Liquid	3	
303.15	10000.000	0.5350	Liquid	3	
303.15	12500.000	0.5400	Liquid	3	
303.15	15000.000	0.5470	Liquid	3	
303.15	17500.000	0.5550	Liquid	3	
303.15	20000.000	0.5620	Liquid	3	
303.15	22500.000	0.5680	Liquid	3	
303.15	25000.000	0.5750	Liquid	3	
303.15	27500.000	0.5810	Liquid	3	
303.15	30000.000	0.5870	Liquid	3	
313.15		0.0113	Vapor Phase of VLE	1	
313.15		0.4700	Liquid	1	
323.15		0.0114	Vapor Phase of VLE	1	
323.15		0.4130	Liquid	1	
323.15	100.000	0.3920	Liquid	3	
323.15	101.320	0.3920	Liquid	3	
323.15	2510.000	0.3970	Liquid	3	
323.15	5070.000	0.4010	Liquid	3	
323.15	7510.000	0.4060	Liquid	3	
323.15	9990.000	0.4120	Liquid	3	
323.15	12510.000	0.4160	Liquid	3	
323.15	14990.000	0.4210	Liquid	3	
323.15	17480.000	0.4260	Liquid	3	
323.15	19920.000	0.4320	Liquid	3	
333.15		0.0118	Vapor Phase of VLE	1	
333.15		0.3630	Liquid	1	
343.15		0.0120	Vapor Phase of VLE	1	
343.15		0.3210	Liquid	1	
353.15		0.0121	Vapor Phase of VLE	1	
353.15		0.2850	Liquid	1	
363.15		0.0124	Vapor Phase of VLE	1	
363.15		0.2530	Liquid	1	
373.15		0.0125	Vapor Phase of VLE	1	
373.15		0.2250	Liquid	1	
383.15		0.0126	Vapor Phase of VLE	1	
383.15		0.2010	Liquid	1	
393.15		0.0127	Vapor Phase of VLE	1	
393.15		0.1800	Liquid	1	
403.15		0.0129	Vapor Phase of VLE	1	
403.15		0.1650	Liquid	1	
413.15		0.0132	Vapor Phase of VLE	1	
413.15		0.1480	Liquid	1	
423.15		0.0135	Vapor Phase of VLE	1	
423.15		0.1360	Liquid	1	
433.15		0.0138	Vapor Phase of VLE	1	
433.15		0.1270	Liquid	1	
443.15		0.0141	Vapor Phase of VLE	1	
443.15		0.1190	Liquid	1	
453.15		0.0144	Vapor Phase of VLE	1	
463.15		0.0147	Vapor Phase of VLE	1	
473.15		0.0151	Vapor Phase of VLE	1	
483.15		0.0160	Vapor Phase of VLE	1	
493.15		0.0168	Vapor Phase of VLE	1	
503.15		0.0196	Vapor Phase of VLE	1	
507.15		0.0212	Vapor Phase of VLE	1	
511.15		0.0245	Vapor Phase of VLE	1	
Number	Source	
1	Khalilov Kh.: Viskosität von Flüssigkeiten und gesättigten Dämpfen bei hohen Temperaturen und Drücken. Zh.Eksp.Teor.Fiz. 9 (1939) 335-345	
2	Komarenko V.G.; Manzheli V.G.; Radtsig A.V.: Viskosität und Dichte von einwertigen n-Alkoholen bei niedrigen Temperaturen. Ukr.Fiz.Zh.(Russ.Ed.) 12 (1967) 681-685	
3	Matsuo S.; Makita T.: Viscosity of Methanol and 2-Methyl-2-Propanol Mixtures Under High Pressures. Int.J.Thermophys. 12 (1991) 459-468	
$$$Entropy	
T [K]	Molar Entropy [J/(mol*K)]	State	Reference	
298.00	237.23	Vapor	1	
298.00	239.70	Vapor	2	
298.00	239.81	Vapor	6	
Number	Source	
1	Leermakers J.A.; Ramsperger H.C.: The gas phase equilibrium between methyl nitrite, hydrogen chloride, methyl alcohol and nitrosyl chloride. The absorption spectrum of nitrosyl chloride.. J.Am.Chem.Soc. 54 (1932) 1837-1845	
2	Green J.H.S.: Thermodynamic properties of the normal alcohols C1-C12.. J.Appl.Chem. 11 (1961) 397-404	
3	Smith J.M.: Thermodynamic properties of methyl alcohol.. Chem.Eng.Prog.(CEP) 44 (1948) 521-528	
4	Palm A.; Kilpatrick M.: Barrier height and thermodynamic functions of gaseous HNO3 and DNO3.. J.Chem.Phys. 23 (1955) 1562-1563	
5	Chen S.S.; Wilhoit R.C.; Zwolinski B.J.: Thermodynamic properties of normal and deuterated methanols.. J.Phys.Chem.Ref.Data 6 (1977) 105-112	
6	Chao J.; Hall K.R.; Marsh K.N.; Wilhoit R.C.: Thermodynamic properties of key organic oxygen compounds in the carbon range C1 to C4. Part 2. Ideal gas properties.. J.Phys.Chem.Ref.Data 15 (1986) 1369-1436	
$$$Flash Point	
T [K]	P [kPa]	State	Reference	
282.25		Liquid	3	
282.65		Liquid	3	
283.15		Liquid	1	
283.45		Liquid	5	
283.70		Liquid	4	
285.15		Liquid	6	
Number	Source	
1	Liaw H.-J.; Gerbaud V.; Chiu C.-Y.: Flash Point for Ternary Partially Miscible Mixtures of Flammable Solvents. J.Chem.Eng.Data 55 (2010) 134-146	
2	Liaw H.-J.; Gerbaud V.; Li Y.-H.: Prediction of miscible mixtures flash-point from UNIFAC group contribution methods. Fluid Phase Equilib. 300 (2011) 70-82	
3	Choe M.-H.: Experimentelle und theoretische Untersuchungen zur Flammpunktbestimmung von Flüssigkeitsgemischen. Thesis  (1988)	
4	Wu D.T.; Finkelman R.: A Mathematical Mode for Prediction of Closed Cup Flash Points. Org.Coat.Plastics Chem. 38 (1978) 61-68	
5	DeMicheli S.; Delogu P.: . Tech.Rep.  (1980) 1-6	
6	Höring V.: . Master's Thesis  (1989)	
$$$G-function (G-G0)/T	
T [K]	G-function (G-G0)/T [J/(mol*K)]	State	Reference	
100.00	-161.58	Vapor	4	
100.00	-161.54	Vapor	2	
100.00	-161.50	Vapor	3	
150.00	-175.94	Vapor	2	
150.00	-175.91	Vapor	4	
150.00	-175.90	Vapor	3	
200.00	-186.40	Vapor	2	
200.00	-186.38	Vapor	4	
250.00	-194.72	Vapor	2	
273.15	-198.01	Vapor	4	
273.15	-197.99	Vapor	3	
273.16	-198.03	Vapor	1	
298.15	-201.35	Vapor	4	
298.15	-201.33	Vapor	3	
298.16	-201.38	Vapor	1	
300.00	-201.63	Vapor	1	
300.00	-201.59	Vapor	3	
300.00	-201.58	Vapor	4	
350.00	-207.61	Vapor	2	
400.00	-212.97	Vapor	1	
400.00	-212.93	Vapor	4	
400.00	-212.92	Vapor	3	
500.00	-222.34	Vapor	1	
500.00	-222.33	Vapor	4	
600.00	-230.59	Vapor	4	
600.00	-230.58	Vapor	1	
700.00	-238.09	Vapor	4	
700.00	-238.07	Vapor	1	
800.00	-245.04	Vapor	4	
800.00	-245.02	Vapor	3	
800.00	-244.97	Vapor	1	
900.00	-251.55	Vapor	4	
900.00	-251.54	Vapor	3	
900.00	-251.50	Vapor	1	
1000.00	-257.70	Vapor	4	
1000.00	-257.69	Vapor	3	
1000.00	-257.65	Vapor	1	
1100.00	-263.55	Vapor	3	
1100.00	-263.54	Vapor	4	
1200.00	-269.13	Vapor	4	
1200.00	-269.12	Vapor	3	
1300.00	-274.47	Vapor	3	
1400.00	-279.62	Vapor	3	
1400.00	-279.61	Vapor	4	
1500.00	-284.55	Vapor	3	
Number	Source	
1	Green J.H.S.: Thermodynamic properties of the normal alcohols C1-C12.. J.Appl.Chem. 11 (1961) 397-404	
2	Palm A.; Kilpatrick M.: Barrier height and thermodynamic functions of gaseous HNO3 and DNO3.. J.Chem.Phys. 23 (1955) 1562-1563	
3	Chen S.S.; Wilhoit R.C.; Zwolinski B.J.: Thermodynamic properties of normal and deuterated methanols.. J.Phys.Chem.Ref.Data 6 (1977) 105-112	
4	Chao J.; Hall K.R.; Marsh K.N.; Wilhoit R.C.: Thermodynamic properties of key organic oxygen compounds in the carbon range C1 to C4. Part 2. Ideal gas properties.. J.Phys.Chem.Ref.Data 15 (1986) 1369-1436	
5	Ivash E.; Li J.C.M.; Pitzer K.S.: Thermodynamic properties of ideal gaseous methanol.. J.Chem.Phys. 23 (1955) 1814-1818	
6	Chermin H.A.G.: Part 28. Gaseous Normal Alcohols. Petrol.Refiner 40 (1961) 127-130	
$$$Heat of Fusion	
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference	
175.22		3167.29	Solid-Liquid	1	
175.30	101.325	3179.00	Solid-Liquid	2	
175.37		3159.34	Solid-Liquid	5	
175.93		3208.00	Solid-Liquid	4	
176.15	101.325	2200.00	Solid-Liquid	3	
Number	Source	
1	Kelley K.K.: The Heat Capacity of Methyl Alcohol from 16 K to 298 °K and the Corresponding Entropy and Free Energy. J.Am.Chem.Soc. 51 (1929) 180-187	
2	Parks G.S.: Thermal Data on Organic Compounds I. The Heat Capacities and Free Energies of Methyl, Ethyl and Normal-Butyl Alcohols. J.Am.Chem.Soc. 47 (1925) 338-345	
3	Maass O.; Waldbauer L.J.: The specific heats and latent heats of fusion of ice and several organic compounds.. J.Am.Chem.Soc. 47 (1925) 1-9	
