Formula	Molar Mass	CAS Registry Number	Name
CH4	16.043	74-82-8	Methane
$$$Compressibility Factor (isothermal)
T [K]	P [kPa]	Compressibility Factor (isothermal) [-]	State	Reference
3	Sakonidou E.P.; van den Berg H.R.; ten Seldam C. A.; Sengers J.V.: The Thermal Conductivity of Methane in the Critical Region. J.Chem.Phys. 105 (1996) 10535-10555
4	Talitskikh S.K.; Khalatur P.G.: Application of Rism-Theory for the Calculation of Heat of Vaporization of Liquid Hydrocarbons. Zh.Fiz.Khim. 66 (1992) 137-139
5	Mardolcar U.V.; de Castro C.A.N.: The Thermal Conductivity of Liquid Methane. Ber.Bunsen-Ges.Phys.Chem. 91 (1987) 152-156
$$$Dielectric Constant
T [K]	P [kPa]	Dielectric Constant [-]	State	Reference
91.00		1.67619	Vapor-Liquid	1
91.00		1.67620	Liquid	4
95.00		1.66668	Vapor-Liquid	1
100.00		1.65440	Liquid	4
100.00		1.65456	Vapor-Liquid	1
100.00	50.000	1.65456	Liquid	5
100.00	2110.000	1.65725	Liquid	5
100.00	3960.000	1.65965	Liquid	5
100.00	5900.000	1.66201	Liquid	5
100.00	8100.000	1.66475	Liquid	5
100.00	9940.000	1.66690	Liquid	5
100.00	11930.000	1.66920	Liquid	5
100.00	13970.000	1.67150	Liquid	5
100.00	15870.000	1.67364	Liquid	5
100.00	18120.000	1.67603	Liquid	5
100.00	19920.000	1.67795	Liquid	5
105.00		1.64225	Vapor-Liquid	1
108.00		1.63470	Liquid	4
110.00		1.62970	Vapor-Liquid	1
115.00		1.61688	Vapor-Liquid	1
115.00		1.61690	Liquid	4
120.00		1.60372	Vapor-Liquid	1
125.00		1.59024	Vapor-Liquid	1
130.00		1.57638	Vapor-Liquid	1
130.00		1.57640	Vapor-Liquid	1
135.00		1.56204	Vapor-Liquid	1
140.00		1.54719	Vapor-Liquid	1
145.00		1.53167	Vapor-Liquid	1
150.00		1.51539	Vapor-Liquid	1
150.00		1.51546	Vapor-Liquid	1
155.00		1.49819	Vapor-Liquid	1
160.00		1.47979	Vapor-Liquid	1
165.00		1.45992	Vapor-Liquid	1
170.00		1.43800	Vapor-Liquid	1
175.00		1.41319	Vapor-Liquid	1
175.00		1.41329	Vapor-Liquid	1
180.00		1.38377	Vapor-Liquid	1
180.00		1.39391	Vapor-Liquid	1
184.00		1.35418	Vapor-Liquid	1
184.00		1.35430	Vapor-Liquid	1
186.00		1.33543	Vapor-Liquid	1
188.00		1.31117	Vapor-Liquid	1
273.15	2026.500	1.01918	Vapor	2
273.15	4053.000	1.04044	Vapor	2
273.15	6079.500	1.06439	Vapor	2
273.15	8106.000	1.09082	Vapor	2
273.15	10132.500	1.11980	Vapor	2
298.15	7003.270	1.06409	Vapor	3
298.15	8006.160	1.07466	Vapor	3
298.15	9011.040	1.08556	Vapor	3
298.15	10036.500	1.09690	Vapor	3
298.15	11897.500	1.11810	Vapor	3
298.15	13517.601	1.13673	Vapor	3
298.15	15041.200	1.15416	Vapor	3
298.15	16542.900	1.17092	Vapor	3
298.15	18096.500	1.18764	Vapor	3
298.15	19569.701	1.20277	Vapor	3
298.15	21191.900	1.21850	Vapor	3
298.15	23266.801	1.23714	Vapor	3
298.15	25226.500	1.25325	Vapor	3
298.15	29155.801	1.28167	Vapor	3
298.15	33735.301	1.30941	Vapor	3
298.15	40042.301	1.34058	Vapor	3
373.15	2026.500	1.01345	Vapor	2
373.15	4053.000	1.02750	Vapor	2
373.15	6079.500	1.04164	Vapor	2
373.15	8106.000	1.05615	Vapor	2
373.15	10132.500	1.07113	Vapor	2
373.15	12665.601	1.09005	Vapor	2
373.15	15198.800	1.10890	Vapor	2
373.15	17731.900	1.12750	Vapor	2
Number	Source
1	Straty G.C.; Goodwin R.D.: Dielectric constant and polarizability of saturated and compressed fluid methane. Cryogenics  (1973) 712-715
2	Uhlig H.H.; Kirkwood J.G.; Keyes F.G.: The Dependence of the Dielectric Constants of Gases on Temperature and Density. J.Chem.Phys. 1 (1933) 155-159
3	Malbrunot P.; Vermesse J.; Vidal D.; Bose T.K.; Hourri A.; Arnaud J.M.St.: Determination of Densities and Dielectric Polarizabilities of Methane at 298.15 K for Pressures up to 710 MPa. Fluid Phase Equilib. 96 (1994) 173-183
4	Pan W.P.; Mady M.H.; Miller R.C.: Systems Containing Nitrogen, Argon and Light Hydrocarbons. AIChE J. 21 (1975) 283-289
5	Singh S.P.; Miller R.C.: Compressed-Liquid Dielectric Constants and Derived Excess Volumes for Simple Liquid Mixtures: N2 + CH4 and Ar + CH4. J.Chem.Thermodyn. 10 (1978) 747-763
$$$Diffusion Coefficient
T [K]	Diffusion Coefficient [cm2/s]	State	Reference
90.15	0.0266	Vapor	1
194.65	0.0992	Vapor	1
273.15	0.2060	Vapor	1
298.15	0.2400	Vapor	1
353.15	0.3180	Vapor	1
Number	Source
1	Winn E.B.: The Temperature Dependence of the Self-Diffusion Coefficients of Argon, Neon, Nitrogen, Oxygen, Carbon Dioxide, and Methane. Phys.Rev. 80 (1950) 1024-1027
$$$Dynamic Viscosity
T [K]	P [kPa]	Dynamic Viscosity [mPas]	State	Reference
223.15	1961.330	0.009022	Vapor	1
223.15	5883.990	0.01314	Vapor	1
223.15	9806.649	0.021575	Vapor	1
233.15	1961.330	0.009414	Vapor	1
233.15	5883.990	0.010885	Vapor	1
233.15	9806.649	0.019417	Vapor	1
253.15	1961.330	0.010591	Vapor	1
253.15	5883.990	0.01069	Vapor	1
253.15	9806.649	0.0152	Vapor	1
253.15	14710.000	0.020398	Vapor	1
253.15	19613.301	0.023536	Vapor	1
273.15	1961.330	0.010983	Vapor	1
273.15	5883.990	0.012062	Vapor	1
273.15	9806.649	0.01363	Vapor	1
273.15	14710.000	0.01775	Vapor	1
273.15	19613.301	0.021575	Vapor	1
298.15	1961.330	0.01162	Vapor	1
298.15	5883.990	0.012454	Vapor	1
298.15	9806.649	0.013827	Vapor	1
298.15	14710.000	0.01667	Vapor	1
298.15	19613.301	0.01981	Vapor	1
323.15	1961.330	0.012013	Vapor	1
323.15	5883.990	0.01314	Vapor	1
323.15	9806.649	0.01466	Vapor	1
323.15	14710.000	0.017946	Vapor	1
323.15	19613.301	0.02069	Vapor	1
Number	Source
1	Pavlovich N.V.; Timrot D.L.: Experimentelle Untersuchung der Viskosität von Methan. Teploenergetika 5 (1958) 61-65
$$$Enthalpy
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference
110.00	5000.000	0.00	Liquid	1
120.00	5000.000	0.00	Liquid	2
120.00	5000.000	532.62	Liquid	1
130.00	5000.000	554.44	Liquid	2
130.00	5000.000	1100.53	Liquid	1
140.00	3200.000	0.00	Liquid	2
140.00	5000.000	1125.40	Liquid	2
140.00	5000.000	1673.26	Liquid	1
150.00	3200.000	596.79	Liquid	2
150.00	5000.000	1719.78	Liquid	2
150.00	5000.000	2266.84	Liquid	1
160.00	3200.000	1241.71	Liquid	2
160.00	5000.000	2345.45	Liquid	2
160.00	5000.000	2566.84	Liquid	1
170.00	3200.000	1954.01	Liquid	2
170.00	5000.000	3022.46	Liquid	2
170.00	5000.000	3561.49	Liquid	1
175.00	3200.000	2382.35	Liquid	2
180.00	3200.000	7001.06	Liquid	2
180.00	5000.000	3803.74	Liquid	2
180.00	5000.000	4379.67	Liquid	1
185.00	3200.000	7416.57	Liquid	2
185.00	5000.000	4273.79	Liquid	2
190.00	3200.000	7751.86	Supercritical	2
190.00	5000.000	4925.13	Liquid	2
190.00	5000.000	5518.71	Liquid	1
195.00	5000.000	7241.70	Supercritical	2
200.00	3200.000	8322.98	Supercritical	2
200.00	5000.000	546.00	Supercritical	1
200.00	5000.000	8128.87	Supercritical	2
210.00	3200.000	8778.60	Supercritical	2
210.00	5000.000	605.00	Supercritical	1
210.00	5000.000	9025.66	Supercritical	2
220.00	5000.000	640.00	Supercritical	1
220.00	5000.000	9638.49	Supercritical	2
230.00	5000.000	673.00	Supercritical	1
230.00	5000.000	10169.50	Supercritical	2
240.00	5000.000	704.00	Supercritical	1
240.00	5000.000	10658.80	Supercritical	2
250.00	5000.000	732.00	Supercritical	1
250.00	5000.000	11119.20	Supercritical	2
255.00	5000.000	11343.80	Supercritical	2
Number	Source
1	Lammers J.N.J.J.; van Kasteren P.H.G.; Kroon G.F.; Zeldenrust H.: Enthalpy Measurements of Natural Gas Components and Mixed Refrigerants with a Flow Calorimeter. Proceedings, fifty-seventh Annual Convention GPA 57 (1978) 18-24
2	van Kasteren P.H.G.; Zeldenrust H.: 1. Design and Evaluation. Ind.Eng.Chem. Fundam. 18 (1979) 333-339
$$$Enthalpy (H-H0)
T [K]	Molar Enthalpy [J/mol]	State	Reference
300.00		Vapor	1
350.00		Vapor	1
400.00		Vapor	1
450.00		Vapor	1
500.00		Vapor	1
Number	Source
1	Bailey D.M.; Holste J.C.; Eubank P.T.; Hall K.R.: Part 6: Near-Equimolar Mixture with H2S + CH4 + Toluene + Methylcyclohexane. Hydrocarbon Process. 66 (1987) 101-102
$$$Entropy
T [K]	Molar Entropy [J/(mol*K)]	State	Reference
298.00	185.56	Vapor	2
298.00	186.00	Vapor	5
298.00	186.19	Vapor	1
298.00	186.61	Vapor	3
298.00	188.66	Vapor	6
Number	Source
1	Cerny C.; Erdös E.: Thermodynamic functions of methane, silane and their chloro derivatives. I. CH4, SiH4, CCl4, SiCl4.. Chem.Listy 47 (1953) 1742-1744
2	Giauque W.F.; Blue R.W.; Overstreet R.: The entropies of methane and ammonia.. Phys.Rev. 38 (1931) 196-197
3	Pitzer K.S.: Thermodynamics of gaseous hydrocarbons: Ethane, ethylene, propane, propylene, n-butane, isobutane, 1-butene, cis and trans 2-butenes, isobutene, and neopentane (tetramethylmethane).. J.Chem.Phys. 5 (1937) 473-479
4	Pitzer K.S.: Thermodynamics of Gaseous Paraffins. Specific Heat and Related Properties.. Ind.Eng.Chem. 36 (1944) 829-831
5	McDowell R.S.; Kruse F.H.: Thermodynamic functions of methane.. J.Chem.Eng.Data 8 (1963) 547-548
6	Colwell J.H.; Gill E.K.; Morrison J.A.: Thermodynamic Properties of CH4 and CD4. Interpretation of the Properties of the Solids. J.Chem.Phys. 39 (1963) 635-653
$$$G-function (G-G0)/T
T [K]	G-function (G-G0)/T [J/(mol*K)]	State	Reference
60.00	-99.47	Vapor	3
80.00	-108.97	Vapor	3
90.67	-113.11	Vapor	3
100.00	-116.36	Vapor	3
100.00	-116.19	Vapor	1
111.67	-120.01	Vapor	3
120.00	-122.39	Vapor	3
140.00	-127.50	Vapor	3
160.00	-131.93	Vapor	3
180.00	-135.84	Vapor	3
200.00	-139.34	Vapor	3
200.00	-139.24	Vapor	1
220.00	-142.51	Vapor	3
240.00	-145.40	Vapor	3
260.00	-148.07	Vapor	3
273.15	-149.72	Vapor	3
280.00	-150.55	Vapor	3
298.15	-152.65	Vapor	3
298.16	-152.55	Vapor	1
300.00	-152.86	Vapor	3
300.00	-152.76	Vapor	1
320.00	-155.04	Vapor	3
340.00	-157.09	Vapor	3
360.00	-159.04	Vapor	3
380.00	-160.89	Vapor	3
400.00	-162.66	Vapor	3
400.00	-162.59	Vapor	1
450.00	-166.80	Vapor	3
500.00	-170.59	Vapor	3
500.00	-170.50	Vapor	1
550.00	-174.12	Vapor	3
600.00	-177.43	Vapor	3
600.00	-177.36	Vapor	1
650.00	-180.57	Vapor	3
700.00	-183.56	Vapor	3
700.00	-183.47	Vapor	1
750.00	-186.44	Vapor	3
800.00	-189.20	Vapor	3
800.00	-189.16	Vapor	2
800.00	-189.12	Vapor	1
850.00	-191.88	Vapor	3
900.00	-194.47	Vapor	3
900.00	-194.35	Vapor	1
950.00	-197.00	Vapor	3
1000.00	-199.45	Vapor	3
1000.00	-199.37	Vapor	2
1000.00	-199.33	Vapor	1
1050.00	-201.84	Vapor	3
1100.00	-204.18	Vapor	3
1150.00	-206.47	Vapor	3
1200.00	-208.71	Vapor	3
1300.00	-213.05	Vapor	3
1400.00	-217.24	Vapor	3
1500.00	-221.27	Vapor	3
1500.00	-221.08	Vapor	2
1600.00	-225.18	Vapor	3
1700.00	-228.96	Vapor	3
1800.00	-232.62	Vapor	3
1900.00	-236.18	Vapor	3
2000.00	-239.64	Vapor	3
2100.00	-243.00	Vapor	3
2200.00	-246.27	Vapor	3
2300.00	-249.46	Vapor	3
2400.00	-252.56	Vapor	3
2500.00	-255.59	Vapor	3
2600.00	-258.55	Vapor	3
2700.00	-261.44	Vapor	3
2800.00	-264.26	Vapor	3
2900.00	-267.02	Vapor	3
3000.00	-269.72	Vapor	3
3200.00	-274.95	Vapor	3
3400.00	-279.97	Vapor	3
3600.00	-284.79	Vapor	3
3800.00	-289.44	Vapor	3
4000.00	-293.92	Vapor	3
4200.00	-298.24	Vapor	3
4400.00	-302.43	Vapor	3
4600.00	-306.48	Vapor	3
4800.00	-310.40	Vapor	3
5000.00	-314.21	Vapor	3
Number	Source
1	Cerny C.; Erdös E.: Thermodynamic functions of methane, silane and their chloro derivatives. I. CH4, SiH4, CCl4, SiCl4.. Chem.Listy 47 (1953) 1742-1744
2	Pitzer K.S.: Thermodynamics of Gaseous Paraffins. Specific Heat and Related Properties.. Ind.Eng.Chem. 36 (1944) 829-831
3	McDowell R.S.; Kruse F.H.: Thermodynamic functions of methane.. J.Chem.Eng.Data 8 (1963) 547-548
$$$Heat of Fusion
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference
90.50	101.325	973.40	Solid-Liquid	2
90.60		937.80	Solid-Liquid	3
90.68		928.40	Solid-Liquid-Vapor	1
90.68		928.43	Solid-Liquid	1
Number	Source
1	Colwell J.H.; Gill E.K.; Morrison J.A.: Thermodynamic Properties of CH4 and CD4. Interpretation of the Properties of the Solids. J.Chem.Phys. 39 (1963) 635-653
2	Eucken A.; Karwat E.: Die Bestimmung des Wärmeinhaltes einiger kondensierter Gase. Z.Phys.Chem.(Leipzig) 112 (1924) 467-485
3	Clusius K.: Über die spezifische Wärme einiger kondensierter Gase zwischen 10° abs.und ihrem Tripelpunkt.. Z.Phys.Chem.Abt.B 3 (1929) 41-79
$$$Heat of Transition
T [K]	Molar Enthalpy [J/mol]	State	Reference
20.40	65.73	Crystal 2 > Crystal 1	3
20.44	65.73	Crystal 2 > Crystal 1	2
20.44	75.78	Solid-Solid	1
Number	Source
1	Clusius K.: Über die spezifische Wärme einiger kondensierter Gase zwischen 10° abs.und ihrem Tripelpunkt.. Z.Phys.Chem.Abt.B 3 (1929) 41-79
2	Kruis A.; Popp L.; Clusius K.: Über Umwandlungen in festen Hydriden und Deuteriden. Z.Elektrochem.Angew.Physik.Chem. 43 (1937) 664-666
3	Clusius K.; Popp L.; Frank A.: Über Umwandlungen des festen Mono- und Tetradeuteromethans. Die Entropieverhältnisse des Monodeuteromethans CH3D und des Deuteriumhydrids HD. Physica A (Amsterdam) 4 (1937) 1105-1115
$$$Heat of Vaporization
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference
99.54	32.811	8518.62	Vapor-Liquid	4
100.00		8514.40	Vapor-Liquid	2
100.00		8514.44	Vapor-Liquid	5
111.50	101.325	8179.72	Vapor-Liquid	4
111.66	101.325	8201.00	Vapor-Liquid	1
111.85		8142.10	Vapor-Liquid	3
111.88		8163.00	Vapor-Liquid	3
