Formula	Molar Mass	CAS Registry Number	Name
C8H10	106.167	108-38-3	m-Xylene
$$$Compressibility (isentropic)
T [K]	P [kPa]	Compressibility (isentropic) [/kPa]	State	Reference
300.65		Liquid	2
306.65		Liquid	4
307.15		Liquid	3
Number	Source
1	Ha D.-M.; Lee S.: Prediction and Measurement of the Lower Flash Points for Flammable Binary Solutions by using a Setaflash Closed Cup Tester. Korean J.Chem.Eng. 28 (2011) 1161-1165
2	Choe M.-H.: Experimentelle und theoretische Untersuchungen zur Flammpunktbestimmung von Flüssigkeitsgemischen. Thesis  (1988)
3	Ellis W.H.: Solvent Flash Points -  Expected and Unexpected. J.Coat.Technol. 48 (1976) 44-57
4	Ha D.-M.; Lee S.-J.; Jeong K.-S.: The Measurement and Estimation of Lower Flash Point for o-Xylene + n-Pentanol and m-Xylene+n-Hexanol Systems Using Tag Open-Cup Tester. J.Korean Inst.Gas 14 (2010) 19-25
5	Ha D.-M.; Han J.-G.: Prediction and Measurement of Flash Point and Fire Point of Aromatic Hydrocarbons. J.Korean Inst.Gas 9 (2005) 21-26
$$$G-function (G-G0)/T
T [K]	G-function (G-G0)/T [J/(mol*K)]	State	Reference
298.16	-284.05	Vapor	2
298.16	-282.96	Vapor	1
300.00	-283.42	Vapor	1
400.00	-308.57	Vapor	2
400.00	-307.52	Vapor	1
500.00	-331.42	Vapor	2
500.00	-330.33	Vapor	1
600.00	-353.26	Vapor	2
600.00	-352.29	Vapor	1
700.00	-373.55	Vapor	1
800.00	-395.05	Vapor	2
800.00	-394.05	Vapor	1
900.00	-413.84	Vapor	1
1000.00	-433.97	Vapor	2
1000.00	-432.96	Vapor	1
1100.00	-451.41	Vapor	1
1200.00	-469.24	Vapor	1
1300.00	-486.47	Vapor	1
1400.00	-503.29	Vapor	1
1500.00	-520.66	Vapor	2
1500.00	-519.28	Vapor	1
Number	Source
1	Taylor W.J.; Wagman D.D.; Williams M.G.; Pitzer K.S.; Rossini F.D.: Heats, equilibrium constants, and free energies of formation of the alkylbenzenes.. J.Res. NBS 37 (1946) 95-122
2	Pitzer K.S.; Scott D.W.: The Thermodynamics and Molecular Structure of Benzene and Its Methyl Derivatives. J.Am.Chem.Soc. 65 (1943) 803-829
$$$Gibbs Energy of Form./T
T [K]	Energy of formation/T [J/(K*mol)]	State	Reference
250.00	411.79	Vapor	1
260.00	408.55	Vapor	1
280.00	403.06	Vapor	1
298.15	399.16	Vapor	1
300.00	398.74	Vapor	1
320.00	395.41	Vapor	1
340.00	392.67	Vapor	1
360.00	390.59	Vapor	1
380.00	388.85	Vapor	1
400.00	387.52	Vapor	1
420.00	386.52	Vapor	1
440.00	385.69	Vapor	1
460.00	385.10	Vapor	1
480.00	384.69	Vapor	1
500.00	384.36	Vapor	1
520.00	384.11	Vapor	1
540.00	383.94	Vapor	1
550.00	383.86	Vapor	1
Number	Source
1	Chirico R.D.; Knipmeyer S.E.; Nguyen A.; Reynolds J.W.; Steele W.V.: Thermodynamic equilibria in xylene isomerization. 2. The thermodynamic properties of m-xylene. J.Chem.Eng.Data 42 (1997) 475-487
$$$Heat of Fusion
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference
219.65	101.325	11460.00	Solid-Liquid	1
224.10		11715.20	Solid-Liquid	4
225.25	101.325	11560.00	Solid-Liquid	3
225.30		11644.00	Solid-Liquid	2
Number	Source
1	Parks G.S.; Huffman H.M.: Some Fusion and Transition Data for Hydrocarbons. Ind.Eng.Chem. Ind.Ed. 23 (1931) 1138-1139
2	Chirico R.D.; Knipmeyer S.E.; Nguyen A.; Reynolds J.W.; Steele W.V.: Thermodynamic equilibria in xylene isomerization. 2. The thermodynamic properties of m-xylene. J.Chem.Eng.Data 42 (1997) 475-487
3	Rossini F.D.: A simple calorimeter for heats of fusion. Data on the fusion of pseudocumene, mesitylene (alpha and beta), hemimellitene, o- and m-xylene, and on two transitions of hemimellitene.. Bur.Stand.J.Res. 11 (1933) 553-559
4	Nakatsuchi A.: I. Fusion Curves of the Systems o-Xylene - m-Xylene and o-Xylene - p-Xylene. J.Soc.Chem.Ind.Jap. 32 (1929) 333-559
$$$Heat of Vaporization
T [K]	Molar Enthalpy [J/mol]	State	Reference
298.15	42570.00	Vapor-Liquid	5
298.15	42652.90	Vapor-Liquid	2
320.00	41480.00	Vapor-Liquid	6
340.00	40350.00	Vapor-Liquid	6
360.00	39220.00	Vapor-Liquid	6
380.00	38050.00	Vapor-Liquid	6
400.00	36830.00	Vapor-Liquid	6
411.45	36383.00	Vapor-Liquid	3
412.20	36400.00	Vapor-Liquid	1
413.05	34759.80	Vapor-Liquid	4
420.00	35550.00	Vapor-Liquid	6
440.00	34170.00	Vapor-Liquid	6
Number	Source
1	Matyushov D.V.; Schmid R.: Properties of Liquids at the Boiling Point: Equation of State, Internal Pressure and Vaporization Entropy. Int.J.Phys.Chem.Ber.Bunsen-Ges. 98 (1994) 1590-1595
2	Osborne N.S.; Ginnings D.C.: Measurements of Heat of Vaporization and Heat Capacity of a Number of Hydrocarbons.. J.Res. NBS 39 (1947) 453-477
3	Mathews J.H.: The Accurate Measurement of the Heats of Vaporization of Liquids. J.Am.Chem.Soc. 48 (1926) 562-576
4	Schiff R.: Verdampfungswärmen homologer Kohlenstoffverbindungen. Justus Liebigs Ann.Chem. 234 (1886) 338-350
5	Kusano K.; Saito Y.: Enthalpies of Vaporization of Benzene and its Derivatives. 9th Conference on Chemical Thermodynamics and Thermal Analysis, Japan  (1974) 55-56
6	Chirico R.D.; Knipmeyer S.E.; Nguyen A.; Reynolds J.W.; Steele W.V.: Thermodynamic equilibria in xylene isomerization. 2. The thermodynamic properties of m-xylene. J.Chem.Eng.Data 42 (1997) 475-487
$$$Ideal Gas Heat Capacity
T [K]	Ideal Gas Heat Capacity [J/(mol*K)]	State	Reference
50.00	43.30	Ideal Gas	2
100.00	55.70	Ideal Gas	2
150.00	71.14	Ideal Gas	2
200.00	87.94	Ideal Gas	2
273.00	117.61	Ideal Gas	4
273.15	115.70	Ideal Gas	2
291.00	124.81	Ideal Gas	4
298.00	127.57	Ideal Gas	4
298.15	125.70	Ideal Gas	2
298.16	127.11	Ideal Gas	3
298.16	127.57	Ideal Gas	1
300.00	126.50	Ideal Gas	2
300.00	127.57	Ideal Gas	1
300.00	128.28	Ideal Gas	4
400.00	166.30	Ideal Gas	2
400.00	166.48	Ideal Gas	1
400.00	167.40	Ideal Gas	3
400.00	167.49	Ideal Gas	4
500.00	201.08	Ideal Gas	1
500.00	201.80	Ideal Gas	2
500.00	202.63	Ideal Gas	4
500.00	202.76	Ideal Gas	3
600.00	230.79	Ideal Gas	1
600.00	231.60	Ideal Gas	2
600.00	232.25	Ideal Gas	4
600.00	232.46	Ideal Gas	3
700.00	255.73	Ideal Gas	1
700.00	256.60	Ideal Gas	2
700.00	257.02	Ideal Gas	4
800.00	276.73	Ideal Gas	1
800.00	277.40	Ideal Gas	2
800.00	277.86	Ideal Gas	4
800.00	278.28	Ideal Gas	3
900.00	294.51	Ideal Gas	1
900.00	295.20	Ideal Gas	2
900.00	295.52	Ideal Gas	4
1000.00	309.70	Ideal Gas	1
1000.00	310.30	Ideal Gas	2
1000.00	310.58	Ideal Gas	4
1000.00	310.83	Ideal Gas	3
1100.00	322.71	Ideal Gas	1
1100.00	323.20	Ideal Gas	2
1100.00	323.47	Ideal Gas	4
1200.00	333.88	Ideal Gas	1
1200.00	334.30	Ideal Gas	2
1200.00	334.51	Ideal Gas	4
1300.00	343.47	Ideal Gas	1
1300.00	343.90	Ideal Gas	2
1300.00	344.01	Ideal Gas	4
1400.00	351.75	Ideal Gas	1
1400.00	352.10	Ideal Gas	2
1400.00	352.25	Ideal Gas	4
1500.00	358.95	Ideal Gas	1
1500.00	359.30	Ideal Gas	2
1500.00	359.36	Ideal Gas	4
1500.00	359.62	Ideal Gas	3
1750.00	373.30	Ideal Gas	2
2000.00	383.50	Ideal Gas	2
2250.00	391.00	Ideal Gas	2
2500.00	396.60	Ideal Gas	2
2750.00	400.90	Ideal Gas	2
3000.00	404.30	Ideal Gas	2
Number	Source
1	Taylor W.J.; Wagman D.D.; Williams M.G.; Pitzer K.S.; Rossini F.D.: Heats, equilibrium constants, and free energies of formation of the alkylbenzenes.. J.Res. NBS 37 (1946) 95-122
2	Chao J.; Hall K.R.; Yao J.-M.: Chemical Thermodynamic Properties of Toluene, o-, m- and p-Xylenes. Thermochim.Acta 72 (1984) 323-334
3	Pitzer K.S.; Scott D.W.: The Thermodynamics and Molecular Structure of Benzene and Its Methyl Derivatives. J.Am.Chem.Soc. 65 (1943) 803-829
4	Kobe K.A.; Pennington R.E.: Thermochemistry for the petrochemical industry. XIV. Some miscellaneous hydrocarbons.. Petrol.Refiner 29 (1950) 93-96
$$$Kinematic Viscosity
T [K]	Kinematic Viscosity [m2/s]	State	Reference
273.15	9.15999976314E-07	Liquid	1
278.15	8.56999974985E-07	Liquid	1
283.15	8.08999971014E-07	Liquid	1
288.15	7.59999977618E-07	Liquid	1
293.15	7.18999956462E-07	Liquid	1
298.15	6.85999964389E-07	Liquid	1
303.15	6.50000004043E-07	Liquid	1
Number	Source
1	Serrano L.; Silva J.A.; Farelo F.: Densities and Viscosities of Binary and Ternary Liquid Systems Containing Xylenes. J.Chem.Eng.Data 35 (1990) 288-291
$$$Melting Point
T [K]	P [kPa]	State	Reference
219.60	101.325	Solid-Liquid	3
222.65		Solid-Liquid	4
224.15		Solid-Liquid	5
225.27	101.325	Solid-Liquid	1
225.35		Solid-Liquid	6
298.15	44000.000	Solid-Liquid	2
Number	Source
1	Pitzer K.S.; Scott D.W.: The Thermodynamics and Molecular Structure of Benzene and Its Methyl Derivatives. J.Am.Chem.Soc. 65 (1943) 803-829
2	Yokoyama C.; Moriya S.; Takahashi S.: PVTx Relationships and Solid-Liquid Equilibria for the m-Xylene-p-Xylene System under High Pressures. Fluid Phase Equilib. 60 (1990) 295-308
3	Huffman H.M.; Parks G.S.; Daniels A.C.: VII. The Heat Capacities, Entropies and Free Energies of Twelve Aromatic Hydrocarbons. J.Am.Chem.Soc. 52 (1930) 1547-1558
4	Nagata-Cho; Chiyoda-Ku: On the Freezing Curves for Benzene - m-Xylene, Toluene - m-Xylene, and m-Xylene and p-Xylene Systems. Kogyo Kagaku Zasshi 29 (1926) 29-31
5	Nagata C.; Chiyoda K.: 1. Analytical Method of Xylol Isomers. Kogyo Kagaku Zasshi 32 (1929) 1081-1083
6	Maeda K.; Nagahama K.: Vapor-Liquid-Solid Equilibrium for Systems of Binary Xylene Isomers and Ternaries Containing Liquefied Gas Component. Kagaku Kogaku Ronbunshu 18 (1992) 714-722
$$$Molar Heat Capacity (cP)
T [K]	P [kPa]	Molar Heat Capacity (cP) [J/(mol*K)]	State	Reference
483.90	500.000	208.71	Vapor	1
484.73	500.000	208.77	Vapor	1
487.10	500.000	209.35	Vapor	1
492.18	500.000	210.47	Vapor	1
501.54	500.000	212.68	Vapor	1
512.67	500.000	215.13	Vapor	1
523.57	500.000	217.67	Vapor	1
524.51	1000.000	235.68	Vapor	1
525.58	1000.000	235.58	Vapor	1
530.94	1000.000	235.02	Vapor	1
540.76	1000.000	234.74	Vapor	1
548.16	500.000	223.39	Vapor	1
551.33	1500.000	262.65	Vapor	1
552.10	1500.000	262.13	Vapor	1
555.58	1500.000	259.70	Vapor	1
561.99	500.000	227.27	Vapor	1
562.35	1500.000	256.06	Vapor	1
562.50	1000.000	236.03	Vapor	1
572.13	1500.000	253.13	Vapor	1
572.21	2000.000	293.91	Vapor	1
572.56	2000.000	292.86	Vapor	1
574.78	2000.000	288.19	Vapor	1
575.10	1000.000	237.93	Vapor	1
579.41	2000.000	282.00	Vapor	1
579.58	500.000	231.27	Vapor	1
583.86	1500.000	251.36	Vapor	1
586.10	2000.000	274.80	Vapor	1
588.56	1000.000	239.75	Vapor	1
589.36	2500.000	334.03	Vapor	1
589.58	2500.000	330.56	Vapor	1
590.53	2500.000	325.50	Vapor	1
592.57	2500.000	316.39	Vapor	1
593.86	2000.000	269.78	Vapor	1
594.77	2000.000	268.99	Vapor	1
595.97	1500.000	250.75	Vapor	1
596.76	2500.000	305.61	Vapor	1
601.33	2500.000	296.59	Vapor	1
601.96	2500.000	296.25	Vapor	1
602.78	1000.000	242.32	Vapor	1
604.96	2000.000	265.19	Vapor	1
605.93	500.000	234.88	Vapor	1
606.77	3000.000	389.12	Vapor	1
606.96	3000.000	378.58	Vapor	1
607.17	3000.000	360.11	Vapor	1
607.18	3000.000	387.18	Vapor	1
607.31	3000.000	352.81	Vapor	1
608.10	3000.000	345.56	Vapor	1
608.11	3000.000	366.80	Vapor	1
609.40	1500.000	251.32	Vapor	1
609.43	2500.000	287.12	Vapor	1
609.53	3000.000	333.00	Vapor	1
609.65	2500.000	286.47	Vapor	1
611.33	3000.000	321.14	Vapor	1
616.10	1000.000	244.70	Vapor	1
617.24	500.000	239.66	Vapor	1
617.91	3000.000	308.51	Vapor	1
618.57	2000.000	262.46	Vapor	1
618.96	2500.000	279.66	Vapor	1
621.73	1500.000	252.03	Vapor	1
624.76	3000.000	298.54	Vapor	1
627.50	2500.000	275.44	Vapor	1
628.13	2500.000	274.89	Vapor	1
631.56	2000.000	261.73	Vapor	1
631.96	1000.000	247.75	Vapor	1
632.53	500.000	243.88	Vapor	1
634.97	3000.000	289.04	Vapor	1
635.98	1500.000	253.92	Vapor	1
